identifier,date_,open_,close_
00657K,2020-09-02,28.76,28.72
00660,2020-09-02,23.65,23.65
00661,2020-09-02,29.35,29.35
00662,2020-09-02,46.89,46.83
00663L,2020-09-02,58.2,56.9
00664R,2020-09-02,9.46,9.51
00665L,2020-09-02,22.2,21.89
00666R,2020-09-02,12.83,12.85
00668,2020-09-02,30.69,30.71
00668K,2020-09-02,10.42,10.42
00669R,2020-09-02,10.13,10.13
00670L,2020-09-02,78.15,78.1
00671R,2020-09-02,6.94,6.94
00673R,2020-09-02,28.8,28.77
00674R,2020-09-02,12.43,12.47
00675L,2020-09-02,25.03,24.78
00676R,2020-09-02,5.13,5.15
00677U,2020-09-02,4.99,5.04
00678,2020-09-02,25.7,25.46
00680L,2020-09-02,31.49,31.44
00681R,2020-09-02,12.53,12.53
00682U,2020-09-02,18.42,18.46
00683L,2020-09-02,17.23,17.51
00684R,2020-09-02,19.09,19.11
00685L,2020-09-02,22.26,22.04
00686R,2020-09-02,5.6,5.66
00688L,2020-09-02,31.91,31.86
00689R,2020-09-02,12.88,12.88
00690,2020-09-02,25.41,25.24
00692,2020-09-02,26.59,26.39
00693U,2020-09-02,14.98,14.9
00700,2020-09-02,18.88,18.88
00701,2020-09-02,21.11,20.96
00702,2020-09-02,16.53,16.53
00703,2020-09-02,24.7,24.8
00706L,2020-09-02,17.58,17.55
00707R,2020-09-02,19.22,19.22
00708L,2020-09-02,33.94,33.74
00709,2020-09-02,20.02,20.0
00710B,2020-09-02,19.16,19.17
00711B,2020-09-02,22.74,22.76
00712,2020-09-02,11.32,11.25
00713,2020-09-02,33.52,33.37
00714,2020-09-02,18.92,18.88
00715L,2020-09-02,4.28,4.26
00717,2020-09-02,17.02,16.99
00728,2020-09-02,22.0,21.98
00730,2020-09-02,17.71,17.65
00731,2020-09-02,47.11,46.71
00732,2020-09-02,38.75,38.75
00733,2020-09-02,25.3,25.13
00735,2020-09-02,24.35,24.18
00736,2020-09-02,20.69,20.63
00737,2020-09-02,26.29,26.45
00738U,2020-09-02,30.3,30.0
00739,2020-09-02,26.65,26.62
00742,2020-09-02,21.0,20.94
00743,2020-09-02,26.82,26.88
00752,2020-09-02,29.47,29.65
00753L,2020-09-02,36.05,36.05
00757,2020-09-02,42.2,42.62
00762,2020-09-02,32.91,32.9
00763U,2020-09-02,20.25,20.11
00770,2020-09-02,32.94,33.04
00771,2020-09-02,19.34,19.31
00774B,2020-09-02,39.15,39.15
00775B,2020-09-02,45.9,45.9
00783,2020-09-02,22.8,22.67
008201,2020-09-02,120.0,121.0
00830,2020-09-02,21.56,21.64
00850,2020-09-02,25.84,25.63
00851,2020-09-02,29.92,29.81
00852L,2020-09-02,15.0,15.04
00861,2020-09-02,24.15,24.33
00865B,2020-09-02,38.74,38.75
00866,2020-09-02,21.34,21.38
00875,2020-09-02,28.04,28.09
00876,2020-09-02,21.33,21.41
00878,2020-09-02,14.89,14.83
01001T,2020-09-02,17.26,17.26
01002T,2020-09-02,18.02,18.02
01003T,2020-09-02,19.8,19.79
01004T,2020-09-02,15.3,15.32
01007T,2020-09-02,18.37,18.4
1101,2020-09-02,43.0,42.65
1102,2020-09-02,42.1,41.6
1103,2020-09-02,16.8,16.55
1104,2020-09-02,19.95,20.3
1108,2020-09-02,10.95,10.9
1109,2020-09-02,18.45,18.45
1110,2020-09-02,16.25,16.25
1201,2020-09-02,20.7,20.6
1203,2020-09-02,32.1,32.3
1210,2020-09-02,44.45,44.5
1213,2020-09-02,9.96,9.86
1215,2020-09-02,68.2,68.1
1305,2020-09-02,18.7,18.95
1216,2020-09-02,66.4,65.2
1217,2020-09-02,8.01,7.83
1218,2020-09-02,22.75,22.45
1219,2020-09-02,19.4,19.3
1220,2020-09-02,11.6,11.65
1225,2020-09-02,33.7,33.35
1227,2020-09-02,63.5,63.5
1229,2020-09-02,42.45,42.45
1231,2020-09-02,42.0,41.9
1232,2020-09-02,119.0,120.0
1233,2020-09-02,37.0,36.95
1234,2020-09-02,32.2,32.05
1235,2020-09-02,25.6,25.3
1236,2020-09-02,13.2,13.2
1256,2020-09-02,225.0,231.0
1301,2020-09-02,77.7,78.0
1303,2020-09-02,60.8,60.8
1304,2020-09-02,13.15,13.45
1307,2020-09-02,20.95,20.75
1308,2020-09-02,18.3,18.1
1309,2020-09-02,22.95,23.45
1310,2020-09-02,15.9,16.0
1312,2020-09-02,19.1,19.15
1312A,2020-09-02,30.6,30.65
1313,2020-09-02,13.1,13.05
1314,2020-09-02,8.6,8.5
1315,2020-09-02,53.9,53.3
1316,2020-09-02,12.0,11.9
1319,2020-09-02,39.5,38.6
1321,2020-09-02,36.55,35.65
1323,2020-09-02,33.7,33.65
1324,2020-09-02,9.93,10.0
1325,2020-09-02,154.0,155.5
1326,2020-09-02,68.0,67.6
1337,2020-09-02,5.59,5.92
1338,2020-09-02,62.8,61.3
1339,2020-09-02,45.55,45.5
1340,2020-09-02,10.6,10.75
1402,2020-09-02,26.4,26.55
1449,2020-09-02,18.25,18.2
1409,2020-09-02,11.45,11.15
1410,2020-09-02,34.25,33.9
1413,2020-09-02,8.28,8.23
1414,2020-09-02,7.69,7.56
1416,2020-09-02,15.0,14.9
1417,2020-09-02,9.2,9.19
1418,2020-09-02,7.97,8.0
1419,2020-09-02,45.65,45.2
1423,2020-09-02,14.3,14.45
1432,2020-09-02,9.7,9.62
1434,2020-09-02,31.15,30.7
1435,2020-09-02,10.1,10.85
1436,2020-09-02,36.5,36.7
1437,2020-09-02,22.95,22.85
1438,2020-09-02,12.85,13.0
1439,2020-09-02,28.95,28.95
1440,2020-09-02,11.6,11.45
1441,2020-09-02,7.1,7.1
1442,2020-09-02,17.15,17.2
1443,2020-09-02,8.92,8.96
1444,2020-09-02,9.56,9.36
1445,2020-09-02,8.7,8.8
1446,2020-09-02,33.4,33.3
1447,2020-09-02,6.76,6.63
1451,2020-09-02,16.45,16.6
1452,2020-09-02,15.3,15.35
1453,2020-09-02,8.32,8.23
1454,2020-09-02,8.17,8.21
1455,2020-09-02,8.75,8.82
1456,2020-09-02,9.73,9.84
1457,2020-09-02,13.65,13.55
1459,2020-09-02,7.61,7.67
1460,2020-09-02,9.58,9.48
1463,2020-09-02,12.75,12.55
1464,2020-09-02,18.25,18.15
1465,2020-09-02,15.7,15.6
1466,2020-09-02,16.3,16.2
1467,2020-09-02,20.35,20.2
1468,2020-09-02,11.8,11.8
1471,2020-09-02,3.87,3.93
1472,2020-09-02,11.3,11.3
1473,2020-09-02,18.15,18.0
1474,2020-09-02,12.65,12.45
1475,2020-09-02,18.0,19.9
1476,2020-09-02,383.5,373.0
1477,2020-09-02,198.0,200.5
1503,2020-09-02,48.95,48.9
1504,2020-09-02,29.6,29.75
1506,2020-09-02,11.55,11.45
1507,2020-09-02,55.0,54.5
1512,2020-09-02,4.48,4.49
1513,2020-09-02,40.0,42.15
1514,2020-09-02,30.5,29.85
1515,2020-09-02,99.0,97.2
1516,2020-09-02,16.0,16.0
1517,2020-09-02,11.45,11.3
1519,2020-09-02,40.3,40.65
1521,2020-09-02,55.2,54.9
1522,2020-09-02,22.7,22.5
1524,2020-09-02,9.8,9.73
1525,2020-09-02,74.0,74.6
1526,2020-09-02,45.4,46.2
1527,2020-09-02,39.2,38.85
1528,2020-09-02,8.09,8.16
1529,2020-09-02,15.6,15.6
1530,2020-09-02,30.35,30.05
1531,2020-09-02,11.2,11.1
1532,2020-09-02,26.9,26.8
