identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-07-23,9.58,9.58,100.0,16.986,11.3295
00660,2020-07-23,24.18,24.13,9000.0,24.144,23.7065
00661,2020-07-23,28.8,28.8,0.0,28.776,28.402500000000003
00662,2020-07-23,41.15,41.2,272193.0,40.998000000000005,40.043
00663L,2020-07-23,53.55,53.85,22000.0,52.56,49.982
00664R,2020-07-23,9.92,9.9,2473002.0,10.024,10.3175
00665L,2020-07-23,23.52,23.25,323000.0,23.384,23.4185
00666R,2020-07-23,12.59,12.58,97000.0,12.562,12.68
00668,2020-07-23,28.73,28.79,302640.0,28.656,28.063
00668K,2020-07-23,9.74,9.71,3400.0,9.712,9.504000000000001
00669R,2020-07-23,10.87,10.84,4314000.0,10.934000000000001,11.208000000000002
00670L,2020-07-23,60.05,60.3,813074.0,59.529999999999994,56.9225
00671R,2020-07-23,7.97,7.95,1233000.0,8.024,8.232
00673R,2020-07-23,29.77,29.55,429000.0,30.258,30.889
00674R,2020-07-23,13.05,13.06,483000.0,13.384,13.556000000000001
00675L,2020-07-23,23.25,23.33,463000.0,22.808,21.708499999999997
00676R,2020-07-23,5.38,5.37,1954000.0,5.436,5.5915
00677U,2020-07-23,5.45,5.39,167016561.0,5.612,5.9465
00678,2020-07-23,27.33,27.18,600364.0,27.321999999999996,26.7435
00680L,2020-07-23,33.25,33.2,46000.0,32.972,32.260000000000005
00681R,2020-07-23,12.32,12.34,47000.0,12.392,12.536
00682U,2020-07-23,18.97,18.97,81000.0,19.119999999999997,19.314
00683L,2020-07-23,18.47,18.44,227000.0,18.721999999999998,19.031
00684R,2020-07-23,18.65,18.66,21000.0,18.474,18.3715
00685L,2020-07-23,20.3,20.45,58000.0,19.794,18.7435
00686R,2020-07-23,5.88,5.87,78000.0,5.93,6.099500000000001
00688L,2020-07-23,33.64,33.66,122000.0,33.428,32.712
00689R,2020-07-23,12.63,12.62,120000.0,12.686,12.852
00690,2020-07-23,25.45,25.36,219302.0,25.046,24.490000000000002
00692,2020-07-23,25.4,25.34,2265679.0,25.088,24.2775
00693U,2020-07-23,14.0,14.01,5685233.0,14.014000000000001,14.3625
00700,2020-07-23,19.57,19.45,112032.0,19.458,19.407000000000004
00701,2020-07-23,21.24,21.24,1059974.0,21.226,21.128999999999998
00702,2020-07-23,16.34,16.4,33278.0,16.346,16.250999999999998
00703,2020-07-23,23.55,23.44,304062.0,23.364,23.024
00706L,2020-07-23,17.28,17.27,86000.0,17.276,17.237000000000002
00707R,2020-07-23,19.44,19.44,1000.0,19.442,19.468
00708L,2020-07-23,31.7,31.64,6208150.0,30.189999999999998,29.589499999999997
00709,2020-07-23,19.93,19.95,141750.0,19.77,19.3435
00710B,2020-07-23,18.76,18.77,180000.0,18.718,18.6265
00711B,2020-07-23,22.78,22.78,117150.0,22.486,22.1135
00712,2020-07-23,10.82,10.94,2740571.0,10.654,10.424000000000001
00713,2020-07-23,32.82,32.78,81691.0,32.726,32.35
00714,2020-07-23,18.26,18.25,56164.0,18.096,18.2625
00715L,2020-07-23,4.58,4.62,11738000.0,4.394,5.2695
00717,2020-07-23,16.41,16.4,658017.0,16.416000000000004,16.377
00728,2020-07-23,22.1,22.1,223795.0,21.674,21.283
00730,2020-07-23,17.7,17.69,434901.0,17.642000000000003,17.596
00731,2020-07-23,47.25,47.24,1057000.0,47.278,46.854
00732,2020-07-23,37.9,37.9,100000.0,38.00599999999999,37.8015
00733,2020-07-23,24.68,24.81,245683.0,24.238,23.967499999999998
00735,2020-07-23,23.04,23.11,102000.0,22.826,22.2835
00736,2020-07-23,19.95,19.96,278000.0,19.808,19.424
00737,2020-07-23,24.34,24.38,478554.0,24.156,23.714999999999996
00738U,2020-07-23,25.05,24.75,10245400.0,22.774,20.8605
00739,2020-07-23,25.4,25.08,1028010.0,24.938,24.1885
00742,2020-07-23,21.39,21.42,445000.0,21.491999999999997,21.497
00743,2020-07-23,25.38,25.17,112866.0,24.944,24.2335
00752,2020-07-23,27.76,27.44,1522862.0,27.236,26.742
00753L,2020-07-23,32.5,32.24,1037000.0,31.915999999999997,31.0365
00757,2020-07-23,34.38,34.39,265000.0,34.178,32.643499999999996
00762,2020-07-23,29.98,30.05,389243.0,29.746,29.1455
00763U,2020-07-23,19.74,19.59,309000.0,19.704,19.069
00770,2020-07-23,29.01,29.08,190000.0,28.848000000000003,28.341
00771,2020-07-23,18.75,18.67,37000.0,18.694,18.4895
00774B,2020-07-23,38.5,38.5,2000.0,38.44,38.4415
00775B,2020-07-23,47.9,47.9,2031.0,47.574,46.6085
00783,2020-07-23,21.78,21.76,1961000.0,21.419999999999998,20.829
008201,2020-07-23,117.1,117.1,0.0,115.25999999999999,111.005
00830,2020-07-23,19.7,19.73,523017.0,19.592,19.122999999999998
00850,2020-07-23,24.79,24.78,2806004.0,24.418,23.6375
00851,2020-07-23,26.43,26.37,21000.0,26.160000000000004,25.353
