identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-05-07,8.28,8.28,100.0,11.565999999999999,10.587
00660,2020-05-07,20.0015,20.33,38000.0,20.1353,20.004465000000003
00661,2020-05-07,24.9,24.9,285000.0,25.064,24.509999999999998
00662,2020-05-07,34.88,34.88,352300.0,34.32000000000001,33.482000000000006
00663L,2020-05-07,38.91,38.91,341000.0,38.553999999999995,36.242000000000004
00664R,2020-05-07,11.78,11.78,2623500.0,11.852,12.282
00665L,2020-05-07,20.35,20.35,363000.0,20.518,20.5995
00666R,2020-05-07,13.97,13.97,938009.0,13.782,13.819999999999999
00668,2020-05-07,8.62,8.62,100.0,12.114,16.281
00668K,2020-05-07,8.62,8.62,100.0,8.669999999999998,8.577
00669R,2020-05-07,12.68,12.68,7555000.0,12.538,12.7345
00670L,2020-05-07,42.19,42.19,1400000.0,41.35,39.2975
00671R,2020-05-07,9.74,9.74,2641000.0,9.84,10.193999999999999
00673R,2020-05-07,43.0,43.0,1436040.0,43.99400000000001,37.910000000000004
00674R,2020-05-07,14.41,14.41,642000.0,14.288,14.235
00675L,2020-05-07,17.03,17.03,477175.0,16.862000000000002,15.837
00676R,2020-05-07,6.37,6.37,2520000.0,6.4079999999999995,6.6385000000000005
00677U,2020-05-07,7.01,7.01,127546566.0,7.048,7.3725
00678,2020-05-07,24.7,24.7,497000.0,24.204,23.6225
00680L,2020-05-07,32.15,32.15,607000.0,33.272,33.7505
00681R,2020-05-07,12.77,12.77,50000.0,12.572000000000001,12.520999999999999
00682U,2020-05-07,19.87,19.87,18000.0,19.85,19.925
00683L,2020-05-07,20.49,20.49,12000.0,20.31,20.383000000000003
00684R,2020-05-07,17.77,17.77,15000.0,17.938000000000002,17.982499999999998
00685L,2020-05-07,14.81,14.81,13000.0,14.597999999999999,13.836499999999997
00686R,2020-05-07,6.96,6.96,994000.0,6.986,7.239
00688L,2020-05-07,32.6,32.6,114000.0,33.736000000000004,34.338499999999996
00689R,2020-05-07,13.04,13.04,106000.0,12.844,12.805000000000001
00690,2020-05-07,21.0382,21.65,190020.0,21.04398,20.38368
00692,2020-05-07,21.72,21.72,1905813.0,21.695999999999998,21.147
00693U,2020-05-07,13.67,13.67,5506000.0,13.907999999999998,13.845999999999998
00700,2020-05-07,18.3,18.3,104000.0,18.268,18.336499999999997
00701,2020-05-07,19.9,19.9,1329654.0,19.958,19.5
00702,2020-05-07,15.4112,15.61,82129.0,15.73108,15.73108
00703,2020-05-07,19.65,19.65,56000.0,19.738,19.8585
00706L,2020-05-07,17.76,17.76,176000.0,17.646,17.447499999999998
00707R,2020-05-07,19.34,19.34,1000.0,19.383999999999997,19.5375
00708L,2020-05-07,26.8,26.8,7190900.0,27.28,27.773999999999994
00709,2020-05-07,16.9,16.9,103000.0,17.014,16.919999999999998
00710B,2020-05-07,17.3124,18.03,326000.0,17.11072,17.50006
00711B,2020-05-07,19.8945,20.5,112000.0,19.75674,19.582055
00712,2020-05-07,8.782,9.4,2502631.0,8.953899999999999,8.787589999999998
00713,2020-05-07,28.8251,30.28,61379.0,28.76224,28.002094999999997
00714,2020-05-07,16.7549,16.99,23000.0,17.074399999999997,17.360400000000002
00715L,2020-05-07,5.85,5.85,24729300.0,5.952,5.636
00717,2020-05-07,16.0218,16.35,771176.0,16.01592,15.923725000000001
