identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-11-25,11.46,11.46,100.0,15.351999999999999,20.8185
00660,2020-11-25,24.56,24.56,66100.0,24.342,23.0705
00661,2020-11-25,33.03,33.03,38000.0,32.471999999999994,31.182499999999997
00662,2020-11-25,44.45,44.45,392889.0,43.972,43.266000000000005
00663L,2020-11-25,69.15,69.15,108000.0,69.72,64.175
00664R,2020-11-25,8.59,8.59,3632000.0,8.568000000000001,8.965
00665L,2020-11-25,24.32,24.32,209000.0,24.268,23.516
00666R,2020-11-25,11.78,11.78,242000.0,11.803999999999998,12.07
00668,2020-11-25,30.93,30.93,247029.0,30.464,29.531
00668K,2020-11-25,10.86,10.86,100.0,10.666,10.327499999999999
00669R,2020-11-25,9.48,9.48,6500000.0,9.63,9.992999999999999
00670L,2020-11-25,72.85,72.85,1469476.0,71.35999999999999,69.14750000000001
00671R,2020-11-25,6.9,6.9,7311100.0,6.980000000000001,7.1255
00673R,2020-11-25,26.52,26.52,1793501.0,27.986,30.159
00674R,2020-11-25,13.44,13.44,985000.0,13.13,12.8935
00675L,2020-11-25,29.7,29.7,417000.0,29.992,27.692499999999995
00676R,2020-11-25,4.67,4.67,4391000.0,4.654,4.867999999999999
00677U,2020-11-25,3.86,3.86,172286406.0,3.936,4.234
00678,2020-11-25,25.52,25.52,403223.0,25.572000000000003,25.425
00680L,2020-11-25,29.51,29.51,59000.0,30.04,29.639499999999998
00681R,2020-11-25,12.7,12.7,109000.0,12.584,12.703
00682U,2020-11-25,18.38,18.38,149002.0,18.406,18.477
00683L,2020-11-25,17.32,17.32,1223000.0,17.400000000000002,17.574
00684R,2020-11-25,18.93,18.93,2000.0,18.869999999999997,18.7755
00685L,2020-11-25,26.15,26.15,21000.0,26.354000000000003,24.329500000000003
00686R,2020-11-25,5.1,5.1,286000.0,5.084,5.3155
00688L,2020-11-25,29.66,29.66,126000.0,30.204,29.7935
00689R,2020-11-25,13.07,13.07,170000.0,12.941999999999998,13.0585
00690,2020-11-25,27.6,27.6,274025.0,27.46648,25.999675000000003
00692,2020-11-25,28.42,28.42,2733244.0,28.534000000000002,27.7315
00693U,2020-11-25,18.43,18.43,7129000.0,18.34,17.4145
00700,2020-11-25,19.47,19.47,115391.0,19.428,19.125999999999998
00701,2020-11-25,21.53,21.53,1074444.0,21.574,21.103
00702,2020-11-25,17.69,17.69,64679.0,17.228,16.485
00703,2020-11-25,25.38,25.38,125000.0,25.196,25.071
00706L,2020-11-25,17.92,17.92,6000.0,18.104000000000003,17.978
00707R,2020-11-25,18.67,18.67,0.0,18.670000000000005,18.8315
00708L,2020-11-25,27.79,27.79,7836345.0,29.169999999999998,30.392499999999995
00709,2020-11-25,20.66,20.66,111772.0,20.47,19.549
00710B,2020-11-25,18.4586,18.7,627001.0,18.42502,18.27201
00711B,2020-11-25,21.9984,22.18,127000.0,22.10358,21.835289999999997
00712,2020-11-25,12.6648,12.84,5272282.0,12.094719999999999,11.18677
00713,2020-11-25,33.76,33.76,181712.0,34.086,33.59418000000001
00714,2020-11-25,18.79,18.79,55160.0,18.796,18.357
00715L,2020-11-25,4.51,4.51,191811000.0,3.8659999999999997,3.3005000000000004
00717,2020-11-25,16.83,16.83,1057764.0,16.796,16.6025
00728,2020-11-25,24.5,24.5,278997.0,24.572000000000003,23.3615
00730,2020-11-25,17.34,17.34,890384.0,17.375999999999998,16.9845
00731,2020-11-25,47.0,47.0,1076587.0,47.07,46.082764999999995
00732,2020-11-25,39.25,39.25,100000.0,39.258,39.0345
00733,2020-11-25,24.95,24.95,236964.0,24.808,24.246000000000002
00735,2020-11-25,27.7,27.7,190000.0,27.514,26.22
00736,2020-11-25,21.94,21.94,151001.0,21.762,21.1055
00737,2020-11-25,28.68,28.68,361495.0,28.056,26.641000000000002
00738U,2020-11-25,24.48,24.48,3893760.0,25.183999999999997,25.652499999999996
00739,2020-11-25,26.46,26.46,311510.0,26.547999999999995,26.091499999999996
00742,2020-11-25,20.5606,21.55,104500.0,20.5606,20.227115
00743,2020-11-25,27.68,27.68,148199.0,27.712,27.105
00752,2020-11-25,30.62,30.62,1157359.0,30.369999999999997,30.307499999999997
00753L,2020-11-25,38.6,38.6,942200.0,38.489999999999995,38.0685
00757,2020-11-25,40.29,40.29,1043280.0,39.756,39.5975
00762,2020-11-25,33.38,33.38,184286.0,33.102,32.389
00763U,2020-11-25,21.89,21.89,449000.0,21.52,20.863
00770,2020-11-25,31.44,31.44,81983.0,31.088,30.587
00771,2020-11-25,19.21,19.21,40028.0,19.222,19.089
00774B,2020-11-25,38.5,38.5,403000.0,38.544,38.349000000000004
00775B,2020-11-25,45.3,45.3,402000.0,45.524,44.822154999999995
00783,2020-11-25,21.88,21.88,339100.0,21.944,21.5125
008201,2020-11-25,125.0,125.0,3100.0,125.2,122.31999999999998
00830,2020-11-25,23.73,23.73,750226.0,23.374000000000002,22.4135
00850,2020-11-25,27.38,27.38,3343664.0,27.644,26.918
00851,2020-11-25,27.72,27.72,77181.0,27.48,27.192500000000003
00852L,2020-11-25,15.97,15.97,7439063.0,15.528,14.587
00861,2020-11-25,25.26,25.26,2015459.0,25.144,24.250999999999998
00865B,2020-11-25,37.65,37.65,398000.0,37.564,37.6285
00866,2020-11-25,22.05,22.05,40000.0,21.747999999999998,21.123
00875,2020-11-25,26.7,26.7,1502998.0,26.444,25.7575
00876,2020-11-25,24.62,24.62,5438499.0,24.276,23.1195
00878,2020-11-25,15.34,15.34,12737400.0,15.308000000000002,14.905999999999997
01001T,2020-11-25,18.4,18.4,5000.0,18.395999999999997,18.380000000000003
01002T,2020-11-25,18.8,18.8,781000.0,18.726,18.5315
01003T,2020-11-25,19.42,19.42,45000.0,19.516,19.670499999999997
01004T,2020-11-25,16.91,16.91,35000.0,16.874000000000002,16.6365
01007T,2020-11-25,19.6,19.6,23000.0,19.485999999999997,19.042835
