identifier,date_,open_,close_
00657K,2020-08-24,9.69,9.69
00660,2020-08-24,23.51,23.47
00661,2020-08-24,28.87,28.87
00662,2020-08-24,43.74,43.9
00663L,2020-08-24,56.2,56.8
00664R,2020-08-24,9.59,9.57
00665L,2020-08-24,22.94,23.22
00666R,2020-08-24,12.57,12.51
00668,2020-08-24,29.85,29.85
00668K,2020-08-24,10.13,10.13
00669R,2020-08-24,10.43,10.42
00670L,2020-08-24,68.4,68.7
00671R,2020-08-24,7.42,7.41
00673R,2020-08-24,29.29,29.4
00674R,2020-08-24,12.68,12.68
00675L,2020-08-24,24.34,24.51
00676R,2020-08-24,5.2,5.18
00677U,2020-08-24,4.68,4.68
00678,2020-08-24,25.42,25.35
00680L,2020-08-24,32.73,32.79
00681R,2020-08-24,12.33,12.32
00682U,2020-08-24,18.6,18.67
00683L,2020-08-24,17.65,17.84
00684R,2020-08-24,18.83,18.83
00685L,2020-08-24,21.6,21.8
00686R,2020-08-24,5.68,5.66
00688L,2020-08-24,33.17,33.24
00689R,2020-08-24,12.69,12.67
00690,2020-08-24,25.35,25.4
00692,2020-08-24,26.35,26.44
00693U,2020-08-24,14.13,14.14
00700,2020-08-24,19.4,19.39
00701,2020-08-24,21.24,21.16
00702,2020-08-24,16.48,16.46
00703,2020-08-24,23.9,23.94
00706L,2020-08-24,17.71,17.66
00707R,2020-08-24,19.19,19.19
00708L,2020-08-24,32.85,32.79
00709,2020-08-24,19.78,19.85
00710B,2020-08-24,19.04,19.05
00711B,2020-08-24,23.0,23.0
00712,2020-08-24,11.16,11.13
00713,2020-08-24,32.96,33.05
00714,2020-08-24,18.67,18.69
00715L,2020-08-24,4.27,4.19
00717,2020-08-24,16.98,16.96
00728,2020-08-24,22.02,22.0
00730,2020-08-24,17.55,17.66
00731,2020-08-24,47.73,47.59
00732,2020-08-24,38.23,38.23
00733,2020-08-24,25.0,25.2
00735,2020-08-24,24.07,24.14
00736,2020-08-24,20.2,20.29
00737,2020-08-24,24.95,24.93
00738U,2020-08-24,28.65,28.46
00739,2020-08-24,25.67,25.84
00742,2020-08-24,21.2,21.3
00743,2020-08-24,25.99,26.15
00752,2020-08-24,27.93,28.03
00753L,2020-08-24,33.71,34.01
00757,2020-08-24,38.47,38.71
00762,2020-08-24,30.62,30.58
00763U,2020-08-24,19.65,19.62
00770,2020-08-24,30.7,30.77
00771,2020-08-24,19.3,19.31
00774B,2020-08-24,38.8,38.75
00775B,2020-08-24,46.8,46.8
00783,2020-08-24,22.34,22.34
008201,2020-08-24,117.5,118.0
00830,2020-08-24,20.58,20.64
00850,2020-08-24,25.68,25.7
00851,2020-08-24,27.75,27.77
00852L,2020-08-24,14.24,14.26
00861,2020-08-24,23.72,23.8
00865B,2020-08-24,38.77,38.77
00866,2020-08-24,20.65,20.65
00875,2020-08-24,26.9,26.86
00876,2020-08-24,21.16,21.11
