identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-01-08,9.53,9.53,100.0,9.662,9.7595
00660,2020-01-08,25.8357,26.26,2100.0,26.09542,26.06444
00661,2020-01-08,29.49,29.49,3000.0,29.714,29.814999999999998
00662,2020-01-08,33.9,33.9,158983.0,33.906,33.479
00663L,2020-01-08,46.19,46.19,53000.0,47.406,47.5175
00664R,2020-01-08,11.57,11.57,1897000.0,11.418,11.4095
00665L,2020-01-08,27.7,27.7,196000.0,28.316000000000003,27.532500000000006
00666R,2020-01-08,12.62,12.62,86000.0,12.488,12.725
00668,2020-01-08,30.8,30.8,10103.0,30.97,30.791999999999994
00668K,2020-01-08,10.21,10.21,100.0,10.291999999999998,10.2185
00669R,2020-01-08,11.51,11.51,5761000.0,11.418,11.469
00670L,2020-01-08,44.03,44.03,393000.0,44.084,42.902499999999996
00671R,2020-01-08,10.87,10.87,1314000.0,10.838,10.994
00673R,2020-01-08,12.73,12.73,34027000.0,12.847999999999999,13.282
00674R,2020-01-08,15.8,15.8,419000.0,16.124000000000002,16.671
00675L,2020-01-08,20.0,20.0,124000.0,20.5,20.573
00676R,2020-01-08,6.27,6.27,1704000.0,6.194000000000001,6.194
00677U,2020-01-08,3.01,3.01,392654071.0,2.928,2.9535
00678,2020-01-08,23.1,23.1,105131.0,23.232,23.553
00680L,2020-01-08,24.13,24.13,474000.0,23.968,23.8815
00681R,2020-01-08,15.74,15.74,6000.0,15.868,15.920999999999998
00682U,2020-01-08,19.29,19.29,55099.0,19.204,19.294
00683L,2020-01-08,19.29,19.29,76000.0,19.137999999999998,19.229499999999998
00684R,2020-01-08,18.63,18.63,40000.0,18.689999999999998,17.667
00685L,2020-01-08,17.71,17.71,19000.0,18.148,18.221
00686R,2020-01-08,6.83,6.83,82000.0,6.7540000000000004,6.7440000000000015
00688L,2020-01-08,24.42,24.42,233000.0,24.266,24.157000000000004
00689R,2020-01-08,16.12,16.12,103000.0,16.176,15.388500000000002
00690,2020-01-08,23.2148,23.89,223292.0,23.41502,23.49665
00692,2020-01-08,23.8,23.8,3851587.0,24.014,24.0125
00693U,2020-01-08,15.41,15.41,683000.0,15.520000000000001,15.416000000000002
00700,2020-01-08,20.8,20.8,108143.0,21.026000000000003,20.741
00701,2020-01-08,21.7654,23.54,1089159.0,21.86712,21.892085
00702,2020-01-08,20.6711,21.17,7000.0,20.907400000000003,20.981080000000002
00703,2020-01-08,21.52,21.52,139000.0,21.558,21.115000000000002
00706L,2020-01-08,17.66,17.66,203000.0,17.636000000000003,17.5
00707R,2020-01-08,19.8,19.8,41000.0,19.804000000000002,19.95
00708L,2020-01-08,24.65,24.65,17152000.0,23.625999999999998,22.152
00709,2020-01-08,21.41,21.41,106000.0,21.498,20.4105
00710B,2020-01-08,19.1484,20.25,286000.0,19.110599999999998,19.159625
00711B,2020-01-08,21.3053,22.24,135000.0,21.24204,21.200385
00712,2020-01-08,16.5795,18.18,177000.0,16.57578,16.53845
00713,2020-01-08,30.1959,31.72,128314.0,30.460520000000002,30.606149999999996
00714,2020-01-08,21.1925,21.84,219000.0,21.36712,21.274440000000002
00715L,2020-01-08,26.69,26.69,73000.0,26.07,24.228
00717,2020-01-08,18.9068,19.72,1166857.0,18.866500000000002,18.79553
00728,2020-01-08,20.6319,21.41,993650.0,20.97884,20.9273
00730,2020-01-08,17.3753,18.26,394504.0,17.4762,17.482860000000002
00731,2020-01-08,45.9393,47.99,256000.0,46.305,46.465815000000006
00732,2020-01-08,38.76,38.76,102000.0,38.638,36.594
