identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-12-04,11.63,11.63,100.0,24.448,21.6435
00660,2020-12-04,24.7,24.7,17000.0,24.668,24.208499999999997
00661,2020-12-04,33.39,33.39,0.0,33.318,32.461
00662,2020-12-04,45.49,45.49,233852.0,45.406,44.345
00663L,2020-12-04,73.55,73.55,251140.0,71.35,68.44
00664R,2020-12-04,8.33,8.33,5924000.0,8.462,8.6575
00665L,2020-12-04,24.25,24.25,81000.0,24.406,24.341
00666R,2020-12-04,11.76,11.76,87000.0,11.76,11.8005
00668,2020-12-04,30.59,30.59,50381.0,30.65,30.421
00668K,2020-12-04,10.8,10.8,100.0,10.758,10.6525
00669R,2020-12-04,9.47,9.47,3326400.0,9.532,9.6385
00670L,2020-12-04,77.65,77.65,1203025.0,76.35,72.7175
00671R,2020-12-04,6.66,6.66,3613000.0,6.728,6.912999999999999
00673R,2020-12-04,25.79,25.79,1290000.0,26.546,28.05
00674R,2020-12-04,13.15,13.15,358000.0,13.41,13.104499999999998
00675L,2020-12-04,31.67,31.67,247070.0,30.738,29.494999999999997
00676R,2020-12-04,4.53,4.53,9304799.0,4.598000000000001,4.704000000000001
00677U,2020-12-04,3.85,3.85,70412602.0,3.85,3.9295
00678,2020-12-04,26.68,26.68,664386.0,26.612000000000002,25.909499999999998
00680L,2020-12-04,28.85,28.85,129100.0,29.254,29.413
00681R,2020-12-04,12.75,12.75,95000.0,12.708,12.712
00682U,2020-12-04,18.04,18.04,148000.0,18.166,18.342499999999998
00683L,2020-12-04,16.59,16.59,1228000.0,16.91,17.284
00684R,2020-12-04,19.23,19.23,9000.0,19.07,18.9125
00685L,2020-12-04,27.73,27.73,21000.0,26.97,25.9015
00686R,2020-12-04,4.94,4.94,420000.0,5.023999999999999,5.1375
00688L,2020-12-04,29.03,29.03,204000.0,29.396000000000004,29.556
00689R,2020-12-04,13.14,13.14,100000.0,13.096,13.084
00690,2020-12-04,27.3,27.3,129400.0,26.9,26.780630000000002
00692,2020-12-04,29.16,29.16,2193355.0,28.752,28.406
00693U,2020-12-04,18.02,18.02,9438128.0,18.022,17.9655
00700,2020-12-04,19.23,19.23,123789.0,19.451999999999998,19.449
00701,2020-12-04,21.58,21.58,1065356.0,21.494,21.472
00702,2020-12-04,17.48,17.48,6000.0,17.462,17.1285
00703,2020-12-04,24.99,24.99,64000.0,25.0,25.184
00706L,2020-12-04,18.08,18.08,71000.0,18.0,17.9775
00707R,2020-12-04,18.77,18.77,0.0,18.75,18.777
00708L,2020-12-04,28.79,28.79,5239480.0,27.833999999999996,29.3065
00709,2020-12-04,20.85,20.85,102048.0,20.79,20.4055
00710B,2020-12-04,18.4487,18.69,1103083.0,18.47044,18.403304999999996
00711B,2020-12-04,21.9092,22.09,480047.0,22.0143,22.010345
00712,2020-12-04,12.3196,12.49,1618476.0,12.25648,11.835305000000002
00713,2020-12-04,33.98,33.98,102577.0,33.922,34.022710000000004
00714,2020-12-04,18.6,18.6,39200.0,18.645999999999997,18.713
00715L,2020-12-04,4.52,4.52,137703999.0,4.276,3.8085
00717,2020-12-04,16.84,16.84,852651.0,16.833999999999996,16.753999999999998
00728,2020-12-04,24.78,24.78,239490.0,24.486,24.109
00730,2020-12-04,17.96,17.96,595924.0,17.756,17.3755
00731,2020-12-04,47.68,47.68,1079583.0,47.272000000000006,47.0488
00732,2020-12-04,39.15,39.15,100000.0,39.256,39.2065
00733,2020-12-04,26.19,26.19,225192.0,25.970000000000006,24.908
00735,2020-12-04,29.32,29.32,243250.0,28.380000000000003,27.322000000000003
00736,2020-12-04,22.08,22.08,143000.0,21.878,21.6265
00737,2020-12-04,29.5,29.5,638254.0,29.436,28.067499999999995
00738U,2020-12-04,25.37,25.37,2727340.0,24.558,25.3375
00739,2020-12-04,27.06,27.06,517846.0,27.014,26.565499999999997
00742,2020-12-04,20.6846,21.68,127100.0,20.53768,20.486159999999998
00743,2020-12-04,28.0,28.0,106195.0,28.21,27.6935
00752,2020-12-04,30.04,30.04,1509422.0,30.188,30.352000000000004
00753L,2020-12-04,38.36,38.36,405013.0,38.257999999999996,38.4685
00757,2020-12-04,41.38,41.38,1004580.0,41.24,40.2465
00762,2020-12-04,34.55,34.55,276943.0,34.462,33.325
00763U,2020-12-04,23.08,23.08,647020.0,22.936,21.701500000000003
00770,2020-12-04,31.9,31.9,236558.0,31.983999999999998,31.3485
00771,2020-12-04,19.14,19.14,137000.0,19.182000000000002,19.1955
00774B,2020-12-04,38.7,38.7,102000.0,38.712,38.551500000000004
00775B,2020-12-04,45.25,45.25,103000.0,45.54,45.237275
00783,2020-12-04,22.0,22.0,953000.0,21.974,21.807499999999997
008201,2020-12-04,129.95,129.95,0.0,127.74000000000001,125.0925
00830,2020-12-04,24.62,24.62,1423795.0,24.424,23.473999999999997
00850,2020-12-04,28.0,28.0,2756127.0,27.651999999999997,27.49
00851,2020-12-04,28.13,28.13,51220.0,28.118000000000002,27.667
00852L,2020-12-04,15.91,15.91,4428032.0,15.774000000000001,15.503499999999999
00861,2020-12-04,25.99,25.99,1061146.0,25.826,25.1175
00865B,2020-12-04,37.25,37.25,201000.0,37.524,37.572
00866,2020-12-04,21.96,21.96,31000.0,22.023999999999997,21.734500000000004
00875,2020-12-04,27.32,27.32,901609.0,27.174,26.483999999999998
00876,2020-12-04,25.5,25.5,3638779.0,25.434,24.293
00878,2020-12-04,15.76,15.76,13857150.0,15.544,15.25
01001T,2020-12-04,18.45,18.45,20000.0,18.418,18.3925
01002T,2020-12-04,18.7,18.7,128000.0,18.753999999999998,18.668
01003T,2020-12-04,19.6,19.6,116000.0,19.6,19.564
01004T,2020-12-04,17.01,17.01,65500.0,16.942,16.810499999999998
01007T,2020-12-04,19.89,19.89,64000.0,19.77,19.368485
1101,2020-12-04,43.65,43.65,18267468.0,43.28,42.720000000000006
1102,2020-12-04,43.95,43.95,7010672.0,43.48,43.68
1103,2020-12-04,18.3,18.3,962981.0,18.26,17.6475
1104,2020-12-04,22.4,22.4,1744911.0,22.72,22.557499999999997
1108,2020-12-04,11.75,11.75,1273570.0,11.770000000000001,11.5125
1109,2020-12-04,21.15,21.15,1453910.0,20.71,20.19
1110,2020-12-04,17.6,17.6,87145.0,,
1305,2020-12-04,23.6,23.6,16160619.0,23.15,23.1075
1201,2020-12-04,21.3,21.3,707531.0,21.389999999999997,20.917499999999997
1203,2020-12-04,37.05,37.05,56062.0,36.65,36.3975
1210,2020-12-04,46.4,46.4,2449598.0,46.39,46.42
1213,2020-12-04,8.31,8.31,23009.0,8.370000000000001,8.617999999999999
1215,2020-12-04,71.2,71.2,454800.0,71.04,71.46000000000001
1216,2020-12-04,66.3,66.3,7543164.0,65.68,66.70500000000001
1217,2020-12-04,8.23,8.23,3418330.0,8.258,8.027000000000001
1218,2020-12-04,23.7,23.7,800762.0,23.55,23.2175
1219,2020-12-04,19.4,19.4,669686.0,19.5,19.202499999999997
1220,2020-12-04,12.55,12.55,364271.0,12.45,12.265
