identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-12-24,32.82,32.83,101000.0,20.098000000000003,23.334
00660,2020-12-24,24.9,25.0,57000.0,24.705999999999996,24.752
00661,2020-12-24,33.17,33.06,2000.0,33.01800000000001,33.0875
00662,2020-12-24,45.71,45.77,215060.0,45.94,45.484
00663L,2020-12-24,75.45,75.9,37000.0,75.14000000000001,73.7225
00664R,2020-12-24,8.2,8.18,4762000.0,8.239999999999998,8.3255
00665L,2020-12-24,23.59,23.31,145000.0,23.477999999999998,23.899499999999996
00666R,2020-12-24,11.9,11.9,80000.0,11.876000000000001,11.824
00668,2020-12-24,30.6,30.57,14000.0,30.618000000000002,30.6635
00668K,2020-12-24,10.87,10.87,100.0,10.872,10.831
00669R,2020-12-24,9.39,9.39,2025000.0,9.404,9.4465
00670L,2020-12-24,79.3,79.6,220000.0,79.77000000000001,77.7025
00671R,2020-12-24,6.59,6.57,2637600.0,6.574,6.666500000000001
00673R,2020-12-24,24.86,24.63,2889000.0,25.012,25.7665
00674R,2020-12-24,12.86,12.86,419000.0,12.85,13.120499999999998
00675L,2020-12-24,32.4,32.58,185000.0,32.257999999999996,31.710500000000003
00676R,2020-12-24,4.47,4.46,3201800.0,4.489999999999999,4.5305
00677U,2020-12-24,3.94,3.98,121870340.0,4.012,3.8919999999999995
00678,2020-12-24,28.23,28.43,444000.0,28.119999999999997,27.26
00680L,2020-12-24,28.64,28.63,66000.0,28.848000000000003,29.0045
00681R,2020-12-24,12.78,12.76,42000.0,12.744,12.728
00682U,2020-12-24,17.92,17.97,15000.0,17.95,18.0905
00683L,2020-12-24,16.55,16.5,217000.0,16.506,16.741
00684R,2020-12-24,19.33,19.33,1000.0,19.29,19.186500000000002
00685L,2020-12-24,28.41,28.5,8000.0,28.294,27.839
00686R,2020-12-24,4.87,4.87,121000.0,4.89,4.938000000000001
00688L,2020-12-24,28.79,28.8,104000.0,28.932,29.1235
00689R,2020-12-24,13.15,13.16,102000.0,13.107999999999999,13.107499999999998
00690,2020-12-24,27.6,27.6,0.0,27.560000000000002,27.324
00692,2020-12-24,29.43,29.48,1371646.0,29.445999999999998,29.237000000000002
00693U,2020-12-24,19.22,19.42,5560000.0,18.93,18.226499999999998
00700,2020-12-24,18.85,18.75,105000.0,18.85,19.0545
00701,2020-12-24,21.46,21.5,443001.0,21.524,21.511
00702,2020-12-24,17.27,17.31,22000.0,17.344,17.514
00703,2020-12-24,24.53,24.57,46100.0,24.804000000000002,24.878
00706L,2020-12-24,18.21,18.21,0.0,18.21,18.0715
00707R,2020-12-24,18.6,18.6,0.0,18.588,18.705000000000002
00708L,2020-12-24,29.7,29.84,1189000.0,29.863999999999997,28.866000000000003
00709,2020-12-24,21.11,21.22,248000.0,20.936,20.8295
00710B,2020-12-24,18.37,18.4,337000.0,18.372,18.573999999999998
00711B,2020-12-24,21.84,21.86,121001.0,21.85,21.994
00712,2020-12-24,12.61,12.71,2650000.0,12.548,12.5655
00713,2020-12-24,34.08,34.18,48001.0,34.166,34.0875
00714,2020-12-24,18.31,18.29,20000.0,18.45,18.5325
00715L,2020-12-24,4.48,4.57,111247000.0,4.5280000000000005,4.4345
00717,2020-12-24,16.8,16.8,656850.0,16.852,16.825
00728,2020-12-24,25.06,25.07,209000.0,25.002000000000002,24.816499999999998
00730,2020-12-24,17.82,17.89,349457.0,17.808,17.835500000000003
00731,2020-12-24,47.69,48.0,1082143.0,47.757999999999996,47.614
00732,2020-12-24,39.08,39.08,100000.0,38.976,39.094
00733,2020-12-24,26.11,26.38,212201.0,26.094,26.064
00735,2020-12-24,29.57,29.71,177000.0,29.330000000000002,29.134000000000004
00736,2020-12-24,22.03,22.0,155226.0,22.088,22.0505
00737,2020-12-24,30.54,30.7,341200.0,30.438,29.845999999999997
00738U,2020-12-24,26.92,27.13,3185000.0,27.122000000000003,25.661
00739,2020-12-24,27.08,27.02,402000.0,27.098000000000003,26.9375
00742,2020-12-24,21.48,21.55,142305.0,21.68,21.599
00743,2020-12-24,27.79,27.64,2000.0,27.663999999999998,27.6955
00752,2020-12-24,29.64,29.49,1092912.0,29.72,29.921
00753L,2020-12-24,37.54,37.02,239000.0,37.596,37.752
00757,2020-12-24,43.6,43.47,718155.0,43.803999999999995,42.1785
00762,2020-12-24,35.25,35.21,87080.0,35.306,34.753499999999995
00763U,2020-12-24,23.31,23.32,399000.0,23.574,23.154
00770,2020-12-24,32.06,32.08,20065.0,32.206,31.924
00771,2020-12-24,19.1,19.08,42000.0,19.169999999999998,19.161499999999997
00774B,2020-12-24,38.54,38.58,104000.0,38.45399999999999,38.5155
00775B,2020-12-24,44.85,44.65,102000.0,44.746,45.06099999999999
00783,2020-12-24,21.37,21.19,890035.0,21.39,21.5825
008201,2020-12-24,121.9,121.9,0.0,120.58,125.4325
00830,2020-12-24,24.5,24.54,627173.0,24.702,24.6705
00850,2020-12-24,28.26,28.33,1741733.0,28.242,28.104999999999997
00851,2020-12-24,28.3,28.34,5133.0,28.444,28.1325
00852L,2020-12-24,15.97,15.98,1147000.0,15.957999999999998,15.909
00861,2020-12-24,25.93,25.99,807878.0,25.986,25.940999999999995
00865B,2020-12-24,37.05,37.05,202000.0,36.99400000000001,37.1565
00866,2020-12-24,21.78,21.82,27000.0,21.786,21.845999999999997
00875,2020-12-24,30.64,30.59,1476000.0,29.812,28.163999999999998
00876,2020-12-24,25.43,25.55,1362182.0,25.535999999999998,25.5185
00878,2020-12-24,15.77,15.83,6758368.0,15.807999999999998,15.773
01001T,2020-12-24,18.0,18.4,8000.0,18.284000000000002,18.3735
01002T,2020-12-24,18.69,18.69,83000.0,18.698,18.691499999999998
01003T,2020-12-24,19.65,19.6,192000.0,19.624000000000002,19.576
01004T,2020-12-24,17.15,17.11,158000.0,17.119999999999997,17.056
01007T,2020-12-24,19.9,19.89,10000.0,19.9,19.855
1101,2020-12-24,43.0,42.7,9068767.0,42.94,43.1425
1102,2020-12-24,42.55,42.3,4480453.0,42.62,43.32
1103,2020-12-24,18.3,18.75,1015161.0,18.48,18.2625
1104,2020-12-24,22.5,22.75,359416.0,22.75,22.707500000000003
1108,2020-12-24,12.3,12.25,4625821.0,11.879999999999999,11.7
1109,2020-12-24,20.0,19.95,212578.0,20.000000000000004,20.425
1110,2020-12-24,17.5,17.6,123215.0,17.6,
1305,2020-12-24,24.2,24.45,8359426.0,23.8,23.5875
1201,2020-12-24,22.1,21.95,3126099.0,21.46,21.2175
1203,2020-12-24,36.15,35.85,30325.0,36.83,36.675000000000026
1210,2020-12-24,46.85,46.8,1006259.0,46.410000000000004,46.4875
1213,2020-12-24,7.68,7.8,7100.0,7.574000000000001,7.819
1215,2020-12-24,70.6,70.5,619958.0,70.56,71.07
1216,2020-12-24,66.1,66.0,2845648.0,66.35999999999999,65.785
1217,2020-12-24,9.36,9.64,15141768.0,9.026,8.461
1218,2020-12-24,27.2,26.65,2482953.0,26.43,24.52
1219,2020-12-24,22.35,21.9,3559816.0,20.860000000000003,19.6975
1220,2020-12-24,12.75,12.7,462051.0,12.46,12.405
1225,2020-12-24,35.9,37.6,550695.0,33.68,32.3625
1227,2020-12-24,60.2,60.4,550207.0,60.28000000000001,61.05999999999999
1229,2020-12-24,41.3,41.25,1258799.0,41.43,41.404999999999994
1231,2020-12-24,45.05,45.1,94718.0,45.06,44.980000000000004
1232,2020-12-24,126.5,126.0,87422.0,127.7,125.375
1233,2020-12-24,35.9,35.9,10000.0,35.79,35.7375
1234,2020-12-24,32.95,33.0,133018.0,33.03,33.0375
1235,2020-12-24,24.4,24.45,10482.0,24.27,25.250535
1236,2020-12-24,14.0,14.1,28775.0,14.01,13.9025
1256,2020-12-24,298.5,296.5,10152.0,300.2,303.125
1301,2020-12-24,91.9,92.6,3549849.0,90.84,89.19500000000001
1307,2020-12-24,22.5,22.7,259100.0,22.290000000000003,22.475
1303,2020-12-24,68.4,69.2,3464389.0,68.35999999999999,67.25
1304,2020-12-24,21.05,21.9,20247356.0,20.95,20.57
1308,2020-12-24,21.1,21.1,8389174.0,20.32,19.675000000000004
1309,2020-12-24,34.0,35.15,33029237.0,33.510000000000005,32.690000000000005
1310,2020-12-24,18.95,19.35,10696759.0,18.5,17.9025
1312,2020-12-24,22.5,22.65,13593451.0,22.040000000000003,22.5025
1312A,2020-12-24,30.7,31.0,77000.0,30.730000000000008,30.7
1313,2020-12-24,18.05,18.25,10009732.0,17.89,17.357499999999998
1314,2020-12-24,10.6,11.4,349149665.0,9.908,9.435
1449,2020-12-24,32.5,30.8,819761.0,31.370000000000005,29.989659999999997
1315,2020-12-24,70.1,70.4,71776.0,70.44,71.58
1316,2020-12-24,12.25,12.15,537356.0,12.37,12.355
