identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-12-22,11.62,11.62,100.0,15.943999999999999,21.206
00660,2020-12-22,24.4,24.4,228000.0,24.776,24.741999999999997
00661,2020-12-22,33.02,33.02,1000.0,33.018,33.1145
00662,2020-12-22,46.0,45.73,255480.0,45.886,45.364
00663L,2020-12-22,76.0,74.25,1124000.0,75.16,73.275
00664R,2020-12-22,8.22,8.29,7280060.0,8.246,8.3525
00665L,2020-12-22,23.27,23.08,133000.0,23.580000000000002,24.0075
00666R,2020-12-22,11.91,11.91,80000.0,11.832,11.804499999999999
00668,2020-12-22,30.62,30.55,64250.0,30.657999999999998,30.7065
00668K,2020-12-22,10.86,10.86,100.0,10.892,10.8285
00669R,2020-12-22,9.41,9.44,4898000.0,9.382000000000001,9.4495
00670L,2020-12-22,79.7,79.3,698185.0,79.67999999999999,77.1225
00671R,2020-12-22,6.58,6.61,5935000.0,6.578,6.6935
00673R,2020-12-22,25.13,25.17,853300.0,24.913999999999998,25.889
00674R,2020-12-22,12.83,12.85,223000.0,12.89,13.172
00675L,2020-12-22,32.53,31.85,340332.0,32.282000000000004,31.5245
00676R,2020-12-22,4.47,4.52,4359000.0,4.492,4.5445
00677U,2020-12-22,4.07,4.19,351674219.0,3.944,3.868
00678,2020-12-22,28.2,28.14,469328.0,27.962,27.009499999999996
00680L,2020-12-22,28.88,28.87,16000.0,28.836000000000002,29.051499999999997
00681R,2020-12-22,12.75,12.75,1000.0,12.746,12.727
00682U,2020-12-22,17.9,17.99,31000.0,17.96,18.131999999999998
00683L,2020-12-22,16.53,16.54,263000.0,16.486,16.812
00684R,2020-12-22,19.24,19.24,0.0,19.273999999999997,19.151500000000002
00685L,2020-12-22,28.51,28.0,27000.0,28.314,27.669999999999998
00686R,2020-12-22,4.87,4.93,84000.0,4.888,4.9545
00688L,2020-12-22,29.0,29.0,100000.0,28.956,29.174500000000002
00689R,2020-12-22,13.12,13.09,102000.0,13.11,13.106
00690,2020-12-22,27.76,27.43,229279.0,27.528000000000002,27.353
00692,2020-12-22,29.63,29.34,2356275.0,29.454,29.1595
00693U,2020-12-22,19.02,19.09,9441881.0,18.518,18.1425
00700,2020-12-22,18.8,18.8,100000.0,18.86,19.1255
00701,2020-12-22,21.57,21.48,1089779.0,21.538,21.526500000000002
00702,2020-12-22,17.36,17.16,9000.0,17.474,17.558
00703,2020-12-22,24.9,24.81,37000.0,24.706,24.9525
00706L,2020-12-22,18.24,18.24,0.0,18.201999999999998,18.0505
00707R,2020-12-22,18.58,18.58,0.0,18.618,18.711999999999996
00708L,2020-12-22,29.98,29.9,3786938.0,29.738,28.7015
00709,2020-12-22,20.8,20.78,209651.0,20.919999999999998,20.804499999999997
00710B,2020-12-22,18.38,18.35,560234.0,18.436,18.6075
00711B,2020-12-22,21.85,21.83,213115.0,21.876,22.0315
00712,2020-12-22,12.51,12.41,1884135.0,12.592,12.5875
00713,2020-12-22,34.43,34.16,360265.0,34.164,34.053000000000004
00714,2020-12-22,18.28,18.25,231030.0,18.534,18.5835
00715L,2020-12-22,4.45,4.43,95876719.0,4.593999999999999,4.4319999999999995
00717,2020-12-22,16.93,16.83,1261914.0,16.843999999999998,16.827
00728,2020-12-22,25.11,24.95,231140.0,24.996,24.7825
00730,2020-12-22,17.88,17.75,784387.0,17.804,17.7995
00731,2020-12-22,48.05,47.64,1079579.0,47.652,47.552499999999995
00732,2020-12-22,38.95,38.95,100000.0,38.970000000000006,39.1175
00733,2020-12-22,26.24,25.83,209978.0,26.094,25.9735
00735,2020-12-22,29.31,29.15,135020.0,29.395999999999997,28.982999999999997
00736,2020-12-22,21.96,21.9,133104.0,22.114,22.050500000000003
00737,2020-12-22,30.4,30.18,651658.0,30.195999999999998,29.680500000000002
00738U,2020-12-22,27.7,27.63,6887369.0,26.881999999999998,25.444
00739,2020-12-22,27.17,27.1,661698.0,26.964,26.887
00742,2020-12-22,21.75,21.62,212123.0,21.808,21.6065
00743,2020-12-22,27.75,27.69,67441.0,27.514,27.703500000000002
00752,2020-12-22,29.74,29.6,848799.0,29.656,30.04
00753L,2020-12-22,37.72,37.15,214000.0,37.35,37.9375
00757,2020-12-22,44.0,43.81,1263941.0,43.474000000000004,41.864999999999995
00762,2020-12-22,35.32,35.12,179361.0,35.238,34.588
00763U,2020-12-22,23.5,23.42,656000.0,23.583999999999996,23.020500000000002
00770,2020-12-22,32.23,32.13,75344.0,32.07,31.872499999999995
00771,2020-12-22,19.23,19.23,1000.0,19.163999999999998,19.167
00774B,2020-12-22,38.4,38.38,116000.0,38.334,38.519
00775B,2020-12-22,44.63,44.85,102000.0,44.766000000000005,45.1235
00783,2020-12-22,21.59,21.48,829000.0,21.357999999999997,21.652499999999996
008201,2020-12-22,121.9,121.9,0.0,120.35,125.6425
00830,2020-12-22,24.69,24.64,995050.0,24.846,24.598000000000003
00850,2020-12-22,28.39,28.11,2521217.0,28.264,28.0425
00851,2020-12-22,28.48,28.39,19000.0,28.344,28.078999999999997
00852L,2020-12-22,15.95,15.85,2169000.0,16.02,15.922999999999998
00861,2020-12-22,26.0,25.86,1143155.0,26.03,25.886000000000003
00865B,2020-12-22,37.09,37.05,298000.0,36.964,37.214
00866,2020-12-22,21.78,21.72,38000.0,21.746000000000002,21.872999999999998
00875,2020-12-22,29.8,29.81,1267270.0,28.948,27.798499999999997
00876,2020-12-22,25.6,25.36,2600965.0,25.637999999999998,25.4505
00878,2020-12-22,15.82,15.7,7076720.0,15.857999999999999,15.739
01001T,2020-12-22,18.3,18.45,41000.0,18.314,18.4015
01002T,2020-12-22,18.69,18.72,99310.0,18.698,18.7025
01003T,2020-12-22,19.61,19.64,83844.0,19.604000000000003,19.545499999999997
01004T,2020-12-22,17.11,17.11,139000.0,17.104,17.035000000000004
01007T,2020-12-22,19.89,19.89,5000.0,19.908,19.828
1101,2020-12-22,43.2,42.95,15013608.0,42.910000000000004,43.1325
1102,2020-12-22,42.7,42.7,5451139.0,42.9,43.440000000000005
1103,2020-12-22,19.05,18.3,2066830.0,18.419999999999998,18.2275
1104,2020-12-22,23.1,22.4,706710.0,22.85,22.835
1108,2020-12-22,12.0,11.75,3711847.0,11.690000000000001,11.622499999999999
1109,2020-12-22,20.05,20.0,691000.0,19.98,20.45
1110,2020-12-22,17.65,17.3,41202.0,17.74,
1305,2020-12-22,23.8,23.9,49983492.0,23.37,23.432499999999997
1201,2020-12-22,21.15,21.5,7695976.0,21.01,21.145
1203,2020-12-22,36.75,36.55,55230.0,37.28000000000001,36.72500000000002
1210,2020-12-22,46.6,46.25,2587848.0,46.120000000000005,46.49
1213,2020-12-22,7.53,7.59,23001.0,7.530000000000001,7.927
1215,2020-12-22,70.7,70.5,612962.0,70.62,71.185
1216,2020-12-22,66.5,66.1,6552263.0,66.24,65.935
1217,2020-12-22,9.52,9.15,26128891.0,8.64,8.3625
1218,2020-12-22,26.6,27.25,7886416.0,25.54,24.1375
1219,2020-12-22,21.9,21.8,10266823.0,19.75,19.44
1220,2020-12-22,12.55,12.7,1977203.0,12.24,12.345
1225,2020-12-22,32.7,35.95,460216.0,32.25,32.0875
1227,2020-12-22,60.1,60.0,1267824.0,60.46,61.29
1229,2020-12-22,41.55,41.35,2568705.0,41.45,41.4175
1231,2020-12-22,45.0,45.05,247267.0,44.99,44.9125
1232,2020-12-22,128.0,127.0,93196.0,127.9,125.25
1233,2020-12-22,35.5,35.6,19020.0,35.809999999999995,35.755
1234,2020-12-22,33.05,32.95,235250.0,33.07,33.05
1235,2020-12-22,24.1,24.1,11094.0,24.16,25.318035000000002
1236,2020-12-22,14.1,14.2,87195.0,13.969999999999999,13.855
1256,2020-12-22,300.0,297.5,36348.0,295.8,304.875
1301,2020-12-22,92.3,92.1,16873871.0,90.0,88.78999999999999
1307,2020-12-22,22.4,22.35,2231580.0,22.12,22.520000000000003
1303,2020-12-22,69.5,68.6,7504983.0,68.28,66.955
1304,2020-12-22,20.8,21.45,97236855.0,20.580000000000002,20.425
1308,2020-12-22,20.0,21.0,36725795.0,19.59,19.482499999999998
1309,2020-12-22,33.4,34.5,58052682.0,32.519999999999996,32.5
