identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-07-20,28.11,28.11,104000.0,13.26,11.307500000000001
00660,2020-07-20,23.5532,23.94,7000.0,23.49614,23.155715
00661,2020-07-20,28.73,28.73,0.0,28.704,28.3265
00662,2020-07-20,40.33,40.33,320535.0,40.44,39.528999999999996
00663L,2020-07-20,51.5,51.5,1126000.0,51.54,48.7435
00664R,2020-07-20,10.13,10.13,2863000.0,10.142000000000001,10.45
00665L,2020-07-20,23.45,23.45,357000.0,23.4,23.011999999999997
00666R,2020-07-20,12.54,12.54,231000.0,12.597999999999999,12.7895
00668,2020-07-20,28.43,28.43,178375.0,28.451999999999998,27.8955
00668K,2020-07-20,9.65,9.65,100.0,9.648,9.4655
00669R,2020-07-20,11.04,11.04,3719000.0,11.032,11.291500000000001
00670L,2020-07-20,57.45,57.45,557000.0,57.870000000000005,55.5225
00671R,2020-07-20,8.17,8.17,2910000.0,8.154,8.347
00673R,2020-07-20,30.71,30.71,216007.0,30.709999999999997,31.1495
00674R,2020-07-20,13.53,13.53,46000.0,13.541999999999998,13.653
00675L,2020-07-20,22.33,22.33,603000.0,22.323999999999998,21.194
00676R,2020-07-20,5.49,5.49,3943000.0,5.494,5.656000000000001
00677U,2020-07-20,5.73,5.73,268279499.0,5.964,6.118
00678,2020-07-20,27.3,27.3,365402.0,26.936,26.555500000000002
00680L,2020-07-20,32.91,32.91,86000.0,32.891999999999996,32.0375
00681R,2020-07-20,12.41,12.41,78000.0,12.416,12.603
00682U,2020-07-20,19.19,19.19,27000.0,19.23,19.3685
00683L,2020-07-20,18.85,18.85,42000.0,18.927999999999997,19.134500000000003
00684R,2020-07-20,18.41,18.41,0.0,18.406,18.3525
00685L,2020-07-20,19.46,19.46,40000.0,19.467999999999996,18.305500000000002
00686R,2020-07-20,5.99,5.99,239000.0,5.992,6.175
00688L,2020-07-20,33.37,33.37,104000.0,33.312,32.443999999999996
00689R,2020-07-20,12.72,12.72,102000.0,12.73,12.9215
00690,2020-07-20,24.138,24.84,311121.0,24.11468,23.56371
00692,2020-07-20,24.98,24.98,2962876.0,24.94,23.997999999999998
00693U,2020-07-20,14.07,14.07,6800000.0,14.218,14.413
00700,2020-07-20,19.63,19.63,130489.0,19.458,19.29
00701,2020-07-20,21.18,21.18,1536308.0,21.19,21.065
00702,2020-07-20,16.37,16.37,96000.0,16.20574,16.081265000000002
00703,2020-07-20,23.25,23.25,318451.0,23.252000000000002,22.709500000000002
00706L,2020-07-20,17.22,17.22,1000.0,17.264,17.259
00707R,2020-07-20,19.48,19.48,1000.0,19.454,19.47
00708L,2020-07-20,29.59,29.59,3368000.0,29.568,29.208500000000004
00709,2020-07-20,19.56,19.56,113000.0,19.436,19.189500000000002
00710B,2020-07-20,18.1861,18.68,258000.0,18.147160000000003,18.11455
00711B,2020-07-20,21.972,22.38,111000.0,21.78744,21.58175
00712,2020-07-20,10.1839,10.58,1446673.0,10.01646,10.045855
00713,2020-07-20,31.1002,32.67,138798.0,31.050720000000002,30.59282
00714,2020-07-20,18.0278,18.13,62000.0,17.90882,18.06946
00715L,2020-07-20,4.18,4.18,17318200.0,4.5280000000000005,5.494
00717,2020-07-20,16.1198,16.45,1732444.0,16.062959999999997,16.05659
00728,2020-07-20,21.44,21.44,408873.0,21.483999999999998,21.047
00730,2020-07-20,16.7283,17.58,533656.0,16.80442,16.684035
00731,2020-07-20,45.0778,47.09,1112107.0,45.10458,44.64892
00732,2020-07-20,38.08,38.08,105000.0,37.96,37.7455
00733,2020-07-20,23.3998,23.75,225381.0,23.622480000000003,23.32247
00735,2020-07-20,22.53,22.53,110000.0,22.618000000000002,21.985999999999997
00736,2020-07-20,19.67,19.67,184000.0,19.594,19.2065
00737,2020-07-20,23.73,23.73,417852.0,23.762,23.542
00738U,2020-07-20,21.21,21.21,2266300.0,21.086000000000002,20.19
00739,2020-07-20,24.559,25.05,1495799.0,24.58254,23.314885
00742,2020-07-20,20.4461,21.43,700084.0,20.5644,20.428414999999998
00743,2020-07-20,25.11,25.11,184290.0,25.096000000000004,23.792
00752,2020-07-20,26.85,26.85,1706425.0,27.080000000000002,26.3555
00753L,2020-07-20,31.6,31.6,1625000.0,31.648000000000003,30.162
