identifier,date_,open_,close_
00657K,2020-05-19,25.48,25.45
00660,2020-05-19,20.75,20.77
00662,2020-05-19,36.25,36.11
00663L,2020-05-19,39.73,39.39
00664R,2020-05-19,11.64,11.7
00665L,2020-05-19,20.91,20.92
00666R,2020-05-19,13.98,13.73
00668,2020-05-19,26.66,26.78
00668K,2020-05-19,8.85,8.85
00669R,2020-05-19,12.19,12.21
00670L,2020-05-19,45.03,45.03
00671R,2020-05-19,9.35,9.37
00673R,2020-05-19,37.35,38.01
00674R,2020-05-19,14.01,14.03
00675L,2020-05-19,17.34,17.16
00676R,2020-05-19,6.29,6.33
00677U,2020-05-19,6.21,6.24
00678,2020-05-19,26.79,25.92
00680L,2020-05-19,31.93,32.05
00681R,2020-05-19,12.75,12.76
00682U,2020-05-19,19.7,19.69
00683L,2020-05-19,20.14,20.17
00684R,2020-05-19,17.86,17.8
00685L,2020-05-19,14.81,14.7
00686R,2020-05-19,6.86,6.89
00688L,2020-05-19,32.51,32.52
00689R,2020-05-19,13.07,13.07
00690,2020-05-19,21.89,21.85
00692,2020-05-19,21.85,21.77
00693U,2020-05-19,13.76,13.71
00700,2020-05-19,18.4,18.55
00701,2020-05-19,20.1,20.06
00702,2020-05-19,15.71,15.89
00703,2020-05-19,20.46,20.79
00706L,2020-05-19,17.37,17.32
00707R,2020-05-19,19.56,19.56
00708L,2020-05-19,28.24,28.12
00709,2020-05-19,17.36,17.42
00710B,2020-05-19,18.01,18.04
00711B,2020-05-19,20.97,21.05
00712,2020-05-19,9.38,9.32
00713,2020-05-19,30.55,30.71
00714,2020-05-19,17.08,17.12
00715L,2020-05-19,6.0,5.6
00717,2020-05-19,16.29,16.23
00728,2020-05-19,18.89,18.89
00730,2020-05-19,16.71,16.69
00731,2020-05-19,44.39,44.26
00732,2020-05-19,38.0,38.02
00733,2020-05-19,20.59,20.47
00735,2020-05-19,19.42,19.38
00736,2020-05-19,17.01,17.17
00737,2020-05-19,21.45,21.65
00738U,2020-05-19,19.26,19.12
00739,2020-05-19,21.0,20.9
00742,2020-05-19,20.27,20.24
00743,2020-05-19,20.84,20.79
00752,2020-05-19,23.34,23.56
00753L,2020-05-19,23.71,24.25
00757,2020-05-19,27.93,27.85
00762,2020-05-19,26.4,26.34
00763U,2020-05-19,16.65,16.5
00770,2020-05-19,25.8,25.82
00771,2020-05-19,18.53,18.5
00774B,2020-05-19,39.54,39.47
00775B,2020-05-19,44.3,44.3
00783,2020-05-19,18.35,18.33
008201,2020-05-19,96.1,96.1
00830,2020-05-19,16.83,16.89
00850,2020-05-19,21.15,21.03
00851,2020-05-19,22.22,22.23
00852L,2020-05-19,11.21,11.26
00861,2020-05-19,19.95,19.89
00865B,2020-05-19,39.53,39.55
00866,2020-05-19,17.97,17.99
00875,2020-05-19,22.98,22.8
01001T,2020-05-19,16.16,16.15
01002T,2020-05-19,17.2,17.2
01003T,2020-05-19,18.71,18.71
01004T,2020-05-19,14.23,14.23
01007T,2020-05-19,17.54,17.54
1101,2020-05-19,42.9,43.0
1102,2020-05-19,43.95,44.05
1103,2020-05-19,16.15,16.2
1104,2020-05-19,17.55,17.6
1108,2020-05-19,8.94,8.81
1109,2020-05-19,17.5,17.4
1110,2020-05-19,16.4,15.85
1201,2020-05-19,22.65,22.3
1203,2020-05-19,28.3,28.4
1210,2020-05-19,44.5,44.8
1213,2020-05-19,5.85,5.85
1305,2020-05-19,19.0,19.9
1215,2020-05-19,71.5,71.0
1216,2020-05-19,71.1,70.2
1217,2020-05-19,7.21,7.14
1218,2020-05-19,24.6,24.35
1219,2020-05-19,19.5,19.2
1220,2020-05-19,10.45,10.5
1225,2020-05-19,38.4,37.8
1227,2020-05-19,67.6,66.7
1229,2020-05-19,42.0,42.3
1231,2020-05-19,41.5,41.4
1232,2020-05-19,118.0,118.0
1233,2020-05-19,35.6,35.55
1234,2020-05-19,31.95,32.05
1235,2020-05-19,25.2499,25.5
1236,2020-05-19,11.95,11.85
1256,2020-05-19,201.5,203.0
1301,2020-05-19,86.6,86.2
1303,2020-05-19,64.5,63.6
1304,2020-05-19,12.0,12.4
1307,2020-05-19,25.5,24.25
1308,2020-05-19,17.955,18.69
1309,2020-05-19,10.9,11.65
1310,2020-05-19,16.3,16.85
1312,2020-05-19,14.45,15.15
1312A,2020-05-19,30.8,30.8
1313,2020-05-19,9.35,9.52
1314,2020-05-19,8.32,8.42
1315,2020-05-19,50.9,51.7
1316,2020-05-19,11.25,11.2
1319,2020-05-19,36.0,36.35
1321,2020-05-19,30.0,30.3
1323,2020-05-19,33.2,32.8
1324,2020-05-19,9.01,9.26
1325,2020-05-19,136.0,136.0
1326,2020-05-19,73.5,73.2
1337,2020-05-19,5.07,5.26
1338,2020-05-19,50.6,50.7
1339,2020-05-19,40.2,42.0
1340,2020-05-19,10.05,10.2
1449,2020-05-19,14.1,15.4
1402,2020-05-19,27.55,27.4
1409,2020-05-19,11.1,11.05
1410,2020-05-19,30.95,30.8
1413,2020-05-19,7.04,7.08
1414,2020-05-19,6.53,6.47
1416,2020-05-19,11.25,11.2
1417,2020-05-19,7.77,7.98
1418,2020-05-19,5.13,5.13
1419,2020-05-19,40.6,41.75
1423,2020-05-19,10.85,10.75
1432,2020-05-19,5.79,5.84
1434,2020-05-19,34.1,33.9
1435,2020-05-19,8.21,8.18
1436,2020-05-19,37.8,37.2
1437,2020-05-19,20.35,20.6
1438,2020-05-19,12.95,13.55
1439,2020-05-19,34.6,34.8
1440,2020-05-19,8.67,8.75
1441,2020-05-19,7.05,6.97
1442,2020-05-19,17.25,17.45
1443,2020-05-19,8.68,8.68
1444,2020-05-19,6.72,7.05
1445,2020-05-19,8.31,8.32
1446,2020-05-19,28.8,29.2
1447,2020-05-19,5.82,5.81
1451,2020-05-19,14.5,14.5
1452,2020-05-19,16.9,16.85
1453,2020-05-19,6.86,6.87
1454,2020-05-19,7.86,7.95
1455,2020-05-19,7.19,7.15
1456,2020-05-19,8.03,8.1
1457,2020-05-19,12.15,12.05
1459,2020-05-19,6.84,6.96
1460,2020-05-19,7.43,7.39
1463,2020-05-19,11.5,11.4
1464,2020-05-19,20.35,20.6
1465,2020-05-19,15.4,15.2
1466,2020-05-19,7.85,7.88
1467,2020-05-19,10.4,10.05
1468,2020-05-19,9.86,9.98
1470,2020-05-19,19.25,19.0
1471,2020-05-19,2.31,2.55
1472,2020-05-19,11.75,12.05
1473,2020-05-19,20.0,19.8
1474,2020-05-19,9.55,9.39
1475,2020-05-19,14.5,14.15
1476,2020-05-19,282.5,278.5
1477,2020-05-19,125.0,127.0
1503,2020-05-19,44.35,45.15
1504,2020-05-19,27.2,27.0
1506,2020-05-19,13.4,13.3
1507,2020-05-19,57.5,57.7
1512,2020-05-19,5.09,5.12
1513,2020-05-19,27.7,27.7
1514,2020-05-19,20.75,20.5
1515,2020-05-19,72.1,70.4
1516,2020-05-19,13.4,13.75
1517,2020-05-19,8.09,7.91
1519,2020-05-19,26.15,26.0
1521,2020-05-19,57.6,57.8
1522,2020-05-19,23.05,23.25
1524,2020-05-19,8.83,8.74
1525,2020-05-19,44.05,44.2
1526,2020-05-19,20.9,21.85
1527,2020-05-19,39.55,39.85
1528,2020-05-19,7.53,7.53
1529,2020-05-19,14.4,14.1
1530,2020-05-19,32.05,32.1
1531,2020-05-19,12.75,12.95
1532,2020-05-19,28.3,28.05
1533,2020-05-19,25.9,26.25
1535,2020-05-19,33.8,33.2
1536,2020-05-19,94.0,95.5
1537,2020-05-19,141.5,142.0
1538,2020-05-19,2.84,2.85
1539,2020-05-19,17.45,17.35
1540,2020-05-19,16.15,15.8
1541,2020-05-19,40.2,39.9
1558,2020-05-19,131.0,132.0
1560,2020-05-19,60.6,60.4
1568,2020-05-19,14.75,14.7
1582,2020-05-19,81.4,81.6
1583,2020-05-19,61.0,59.6
1587,2020-05-19,13.4,13.05
1589,2020-05-19,60.8,61.0
1590,2020-05-19,558.0,541.0
1592,2020-05-19,11.9,11.2
1598,2020-05-19,40.15,39.75
1603,2020-05-19,27.5,26.6
1604,2020-05-19,19.8,19.75
1605,2020-05-19,12.6,12.6
1608,2020-05-19,9.2,9.16
1609,2020-05-19,10.85,10.75
1611,2020-05-19,13.25,13.2
1612,2020-05-19,10.1,10.1
1614,2020-05-19,30.9,30.9
1615,2020-05-19,22.45,21.9
1616,2020-05-19,4.21,4.22
1617,2020-05-19,11.05,11.15
1618,2020-05-19,7.68,7.71
1626,2020-05-19,25.6,25.6
1760,2020-05-19,151.5,140.0
1701,2020-05-19,22.4,21.8
1702,2020-05-19,44.05,44.25
1707,2020-05-19,194.0,192.5
1708,2020-05-19,24.1,23.9
1709,2020-05-19,13.25,13.1
1710,2020-05-19,16.7,16.85
1711,2020-05-19,15.1,14.8
1712,2020-05-19,18.2,18.15
1713,2020-05-19,17.9,17.95
1714,2020-05-19,7.38,7.33
1717,2020-05-19,31.5,31.35
1718,2020-05-19,6.35,6.36
1720,2020-05-19,41.0,40.0
1721,2020-05-19,9.98,9.91
1722,2020-05-19,49.3,49.0
1723,2020-05-19,102.0,102.0
1724,2020-05-19,12.25,12.3
1725,2020-05-19,14.55,14.5
1726,2020-05-19,68.6,69.3
1727,2020-05-19,9.01,9.1
1730,2020-05-19,71.0,71.4
1731,2020-05-19,14.1,13.75
1732,2020-05-19,32.6,30.75
1733,2020-05-19,26.2,25.7
1734,2020-05-19,21.25,20.8
1735,2020-05-19,16.75,16.7
1736,2020-05-19,66.8,63.8
1737,2020-05-19,30.85,30.95
1762,2020-05-19,67.8,63.1
1773,2020-05-19,98.0,97.0
1776,2020-05-19,17.15,17.15
1783,2020-05-19,27.95,27.85
1786,2020-05-19,64.0,62.4
1789,2020-05-19,33.0,32.05
1795,2020-05-19,79.6,77.3
1802,2020-05-19,8.78,8.91
1805,2020-05-19,8.0,8.32
1806,2020-05-19,4.9,4.94
1808,2020-05-19,59.1,58.8
1809,2020-05-19,8.98,9.19
1810,2020-05-19,7.3,7.27
1817,2020-05-19,29.8,30.4
1902,2020-05-19,20.65,20.65
1903,2020-05-19,41.2,44.0
1904,2020-05-19,23.55,23.6
1905,2020-05-19,7.81,7.75
1906,2020-05-19,11.95,12.2
1907,2020-05-19,13.45,13.35
1909,2020-05-19,12.45,12.8
2002,2020-05-19,19.9,19.8
2002A,2020-05-19,53.1,53.4
2006,2020-05-19,23.4,23.5
2007,2020-05-19,3.93,3.85
2008,2020-05-19,12.35,12.4
2009,2020-05-19,7.26,7.35
2010,2020-05-19,9.38,9.35
2012,2020-05-19,17.65,17.6
2013,2020-05-19,24.95,24.4
2014,2020-05-19,7.34,7.26
2015,2020-05-19,52.3,52.2
2017,2020-05-19,6.75,6.73
2020,2020-05-19,17.8,17.65
2022,2020-05-19,4.21,4.27
2023,2020-05-19,8.4,8.39
2024,2020-05-19,12.35,12.5
2025,2020-05-19,1.88,1.76
2027,2020-05-19,25.7,25.8
2028,2020-05-19,9.4,9.4
2029,2020-05-19,15.8,16.0
2030,2020-05-19,10.1,10.2
2031,2020-05-19,24.05,24.0
2032,2020-05-19,8.17,8.29
2033,2020-05-19,9.4,9.47
2034,2020-05-19,23.9,23.7001
2038,2020-05-19,7.1,6.89
2049,2020-05-19,292.5,289.0
2059,2020-05-19,316.0,313.0
2062,2020-05-19,19.35,19.25
2069,2020-05-19,16.55,16.3
2101,2020-05-19,38.6,38.75
2102,2020-05-19,15.6,15.8
2103,2020-05-19,16.6,16.75
2104,2020-05-19,20.3,20.1
2105,2020-05-19,33.65,33.3
2106,2020-05-19,30.8,30.3
2107,2020-05-19,18.05,18.25
2108,2020-05-19,37.15,35.7
2109,2020-05-19,13.0,13.0
2114,2020-05-19,80.9,80.6
2115,2020-05-19,41.0,40.7
2201,2020-05-19,18.9,19.7
2204,2020-05-19,35.1,36.6
2206,2020-05-19,20.15,20.05
2207,2020-05-19,530.0,538.0
2208,2020-05-19,25.0,24.5
2227,2020-05-19,259.5,261.5
2228,2020-05-19,85.5,87.2
2231,2020-05-19,156.5,160.0
2233,2020-05-19,60.1,61.5
2236,2020-05-19,15.1999,15.25
2239,2020-05-19,59.3,59.4
2351,2020-05-19,43.55,44.65
2243,2020-05-19,10.0,10.1
2301,2020-05-19,46.7,46.8
2302,2020-05-19,7.06,7.07
2303,2020-05-19,15.3,14.95
2305,2020-05-19,5.19,5.21
2308,2020-05-19,141.0,141.0
2312,2020-05-19,11.95,12.0
2313,2020-05-19,40.4,39.3
2314,2020-05-19,22.0,21.2
2316,2020-05-19,30.35,29.9
2317,2020-05-19,75.4,74.8
2321,2020-05-19,1.34,1.37
2323,2020-05-19,7.81,7.52
2324,2020-05-19,18.65,18.5
2327,2020-05-19,378.5,373.0
2328,2020-05-19,18.0,18.05
2329,2020-05-19,11.45,11.3
2330,2020-05-19,294.0,291.5
2331,2020-05-19,11.5,11.7
2332,2020-05-19,12.7,12.55
2337,2020-05-19,33.3,32.8
2338,2020-05-19,27.1,25.6
2340,2020-05-19,20.95,20.7
2342,2020-05-19,27.5,28.9
2344,2020-05-19,13.05,12.9
2345,2020-05-19,222.0,212.0
2347,2020-05-19,43.0,43.15
2348,2020-05-19,60.8,60.4
2349,2020-05-19,6.0,5.79
2352,2020-05-19,16.35,16.45
2353,2020-05-19,16.5,16.35
2354,2020-05-19,55.0,54.5
2355,2020-05-19,22.15,23.9
2356,2020-05-19,24.0,23.75
2357,2020-05-19,207.0,210.5
2358,2020-05-19,13.85,13.75
2359,2020-05-19,18.4,18.35
2360,2020-05-19,135.0,131.0
2362,2020-05-19,30.25,29.95
2363,2020-05-19,12.3,11.9
2364,2020-05-19,2.04,2.1
2365,2020-05-19,7.79,7.8
2367,2020-05-19,22.0,21.8
2368,2020-05-19,32.95,33.5
2369,2020-05-19,9.34,9.36
2371,2020-05-19,20.7,20.35
2373,2020-05-19,88.5,88.6
2374,2020-05-19,11.7,11.8
2375,2020-05-19,36.4,36.75
2376,2020-05-19,64.0,62.6
2377,2020-05-19,105.0,106.0
2379,2020-05-19,253.5,256.0
2380,2020-05-19,3.57,3.58
2382,2020-05-19,68.0,68.3
2383,2020-05-19,137.0,135.0
2385,2020-05-19,82.3,81.0
2387,2020-05-19,29.45,28.95
2388,2020-05-19,30.0,28.9
2390,2020-05-19,9.3,9.9
2392,2020-05-19,36.7,36.25
2393,2020-05-19,32.15,31.7
2395,2020-05-19,291.5,288.0
2397,2020-05-19,76.0,75.9
2399,2020-05-19,10.15,9.89
2401,2020-05-19,10.3,11.15
2402,2020-05-19,12.8,12.75
2404,2020-05-19,195.0,192.0
2405,2020-05-19,10.0,9.95
2406,2020-05-19,9.52,9.44
2408,2020-05-19,59.7,59.2
2409,2020-05-19,7.66,7.66
2412,2020-05-19,111.5,111.0
2413,2020-05-19,12.0,12.15
2414,2020-05-19,24.1,23.95
2415,2020-05-19,16.15,16.1
2417,2020-05-19,13.6,13.35
2419,2020-05-19,20.1,20.15
2420,2020-05-19,33.6,33.55
2421,2020-05-19,51.8,53.0
2423,2020-05-19,23.9,23.65
2425,2020-05-19,24.5,24.3
2426,2020-05-19,13.7,13.65
2427,2020-05-19,10.05,10.05
2428,2020-05-19,86.0,86.2
2429,2020-05-19,19.5,19.45
2430,2020-05-19,16.95,16.85
2431,2020-05-19,8.3,8.19
2433,2020-05-19,52.2,51.9
2434,2020-05-19,6.45,6.4
2436,2020-05-19,25.5,25.3
2438,2020-05-19,5.75,5.69
2439,2020-05-19,130.0,129.5
2440,2020-05-19,9.25,8.9
2441,2020-05-19,44.6,45.05
2442,2020-05-19,7.77,7.85
2443,2020-05-19,2.96,2.96
2444,2020-05-19,16.7,16.55
2448,2020-05-19,36.3,36.05
2449,2020-05-19,32.5,31.05
2450,2020-05-19,27.8,27.95
2451,2020-05-19,69.3,69.5
2453,2020-05-19,16.4,16.2
2454,2020-05-19,462.5,462.0
2455,2020-05-19,88.0,88.3
2456,2020-05-19,97.9,98.3
2457,2020-05-19,6.84,6.88
2458,2020-05-19,93.3,92.9
2459,2020-05-19,40.4,40.4
2460,2020-05-19,7.97,8.03
2461,2020-05-19,14.6,14.5
2462,2020-05-19,26.75,26.7
2464,2020-05-19,37.95,37.1
2465,2020-05-19,9.22,9.25
2466,2020-05-19,29.25,30.05
2467,2020-05-19,28.55,28.25
2468,2020-05-19,12.65,12.6
2497,2020-05-19,15.95,15.95
2471,2020-05-19,21.55,21.25
2472,2020-05-19,41.0001,41.7001
2474,2020-05-19,228.5,224.0
2476,2020-05-19,19.85,19.95
2477,2020-05-19,21.5,21.3
2478,2020-05-19,79.4,77.9
2480,2020-05-19,64.0,63.5
2481,2020-05-19,23.4,23.8
2482,2020-05-19,10.9,10.8
2483,2020-05-19,19.7,19.55
2484,2020-05-19,21.05,21.05
2485,2020-05-19,16.0,15.85
2486,2020-05-19,7.4,7.4
2488,2020-05-19,28.1,28.15
2489,2020-05-19,7.11,7.16
2491,2020-05-19,7.5,7.56
2492,2020-05-19,187.5,190.5
2493,2020-05-19,33.8,33.4
2495,2020-05-19,11.4,11.5
2496,2020-05-19,72.1181,74.3202
2498,2020-05-19,28.35,28.65
2499,2020-05-19,4.12,4.12
2501,2020-05-19,18.95,18.8
2504,2020-05-19,14.35,14.25
2505,2020-05-19,19.95,21.45
2506,2020-05-19,9.0,9.05
2509,2020-05-19,20.25,20.05
2511,2020-05-19,9.79,9.75
2514,2020-05-19,14.5,14.55
2515,2020-05-19,6.84,6.94
2516,2020-05-19,4.69,4.76
2520,2020-05-19,25.7,26.2
2524,2020-05-19,31.7,31.05
2527,2020-05-19,19.6,19.5
2528,2020-05-19,20.2,20.1
2530,2020-05-19,16.9,16.8
2534,2020-05-19,16.95,17.15
2535,2020-05-19,21.65,21.7
2536,2020-05-19,23.15,24.0
2537,2020-05-19,10.1,10.05
2538,2020-05-19,9.7,9.8
2539,2020-05-19,33.6,34.3999
2540,2020-05-19,31.5,30.9
2542,2020-05-19,43.7,44.0
2543,2020-05-19,6.61,6.53
2545,2020-05-19,32.9,32.6
2546,2020-05-19,37.8,38.05
2547,2020-05-19,9.87,9.98
2548,2020-05-19,91.2,90.5
2597,2020-05-19,62.0,61.8
2601,2020-05-19,9.77,9.51
2603,2020-05-19,10.95,10.7
2605,2020-05-19,13.9,14.0
2606,2020-05-19,28.4,28.25
2607,2020-05-19,12.95,12.95
2608,2020-05-19,41.6,41.45
2609,2020-05-19,6.44,6.45
2610,2020-05-19,8.2,8.34
2611,2020-05-19,6.04,6.07
