identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-08-11,28.12,28.18,103000.0,13.178,14.132
00660,2020-08-11,23.62,23.66,7000.0,23.468,23.746000000000002
00661,2020-08-11,28.53,28.58,2050.0,28.340000000000003,28.482
00662,2020-08-11,42.02,42.11,300905.0,42.168,41.1195
00663L,2020-08-11,58.15,57.8,24100.0,58.089999999999996,55.205
00664R,2020-08-11,9.48,9.52,1067000.0,9.512,9.7845
00665L,2020-08-11,22.25,22.85,260000.0,22.52,22.942
00666R,2020-08-11,12.82,12.64,91010.0,12.788,12.6605
00668,2020-08-11,29.62,29.71,283606.0,29.106,28.621500000000005
00668K,2020-08-11,10.07,10.07,100.0,9.888,9.711500000000001
00669R,2020-08-11,10.52,10.48,5191000.0,10.714,10.9165
00670L,2020-08-11,62.9,63.2,602000.0,63.279999999999994,60.135000000000005
00671R,2020-08-11,7.75,7.72,2194000.0,7.728,7.955
00673R,2020-08-11,29.42,29.33,237000.0,29.556,30.109500000000004
00674R,2020-08-11,12.19,12.22,820000.0,12.09,12.758
00675L,2020-08-11,25.28,25.0,791120.0,25.144,23.894
00676R,2020-08-11,5.14,5.17,1696000.0,5.156000000000001,5.306
00677U,2020-08-11,4.93,4.85,218872698.0,5.061999999999999,5.447
00678,2020-08-11,25.95,25.83,506500.0,26.226,26.6435
00680L,2020-08-11,33.76,33.72,75000.0,34.251999999999995,33.69
00681R,2020-08-11,12.22,12.19,98000.0,12.114,12.241499999999998
00682U,2020-08-11,18.71,18.72,81010.0,18.637999999999998,18.8555
00683L,2020-08-11,17.91,17.96,201000.0,17.796,18.213
00684R,2020-08-11,18.9,18.86,34000.0,18.968,18.75
00685L,2020-08-11,22.4,22.34,9000.0,22.351999999999997,21.163999999999998
00686R,2020-08-11,5.6,5.64,107000.0,5.628,5.7885
00688L,2020-08-11,34.1,34.1,112000.0,34.688,34.13250000000001
00689R,2020-08-11,12.49,12.49,100000.0,12.416,12.536999999999999
00690,2020-08-11,26.23,26.13,422329.0,26.18,25.5875
00692,2020-08-11,26.82,26.7,1883367.0,26.684000000000005,25.9625
00693U,2020-08-11,13.65,13.68,6020300.0,13.706,13.949000000000002
00700,2020-08-11,18.9,19.25,108851.0,19.104000000000003,19.235
00701,2020-08-11,21.29,21.24,1542834.0,21.137999999999998,21.1005
00702,2020-08-11,16.9,16.88,171000.0,16.486,16.363
00703,2020-08-11,23.45,23.56,120000.0,23.65,23.3845
00706L,2020-08-11,17.61,17.56,9000.0,17.726,17.5765
00707R,2020-08-11,19.24,19.24,1000.0,19.176,19.255999999999997
00708L,2020-08-11,36.0,35.82,8102400.0,36.751999999999995,33.310500000000005
00709,2020-08-11,19.75,19.78,122000.0,19.71,19.6935
00710B,2020-08-11,19.05,19.03,248020.0,19.028,18.829500000000003
00711B,2020-08-11,23.8,23.77,196000.0,23.612000000000002,22.883
00712,2020-08-11,11.44,11.46,4138337.0,11.113999999999999,10.8335
00713,2020-08-11,32.81,32.69,68650.0,32.642,32.537
00714,2020-08-11,19.03,19.02,64262.0,18.71,18.401
00715L,2020-08-11,4.51,4.53,30582000.0,4.422,4.2700000000000005
00717,2020-08-11,16.78,16.74,820615.0,16.732,16.533499999999997
00728,2020-08-11,23.0,23.03,224000.0,23.002000000000002,22.335500000000003
00730,2020-08-11,17.9,17.81,397489.0,17.863999999999997,17.645
00731,2020-08-11,47.58,47.38,1045000.0,47.05,46.8745
00732,2020-08-11,38.12,38.08,113000.0,38.102,37.956
00733,2020-08-11,25.57,25.2,241001.0,25.854000000000003,24.7965
00735,2020-08-11,24.81,24.94,257000.0,24.868000000000002,23.7945
00736,2020-08-11,20.0,20.16,166147.0,20.142000000000003,19.951
00737,2020-08-11,24.6,24.64,435800.0,24.624000000000002,24.250500000000002
00738U,2020-08-11,31.12,31.0,9452521.0,30.046,25.7115
00739,2020-08-11,25.6,25.76,533543.0,25.588,25.101
00742,2020-08-11,21.22,21.16,615500.0,21.21,21.276999999999997
00743,2020-08-11,25.8,26.03,25520.0,25.877999999999997,25.291999999999998
00752,2020-08-11,27.34,27.21,1068176.0,27.733999999999998,27.389999999999997
00753L,2020-08-11,31.75,32.05,930000.0,32.745999999999995,31.985500000000002
00757,2020-08-11,34.95,34.86,301000.0,35.14399999999999,34.313
00762,2020-08-11,30.46,30.46,100100.0,30.913999999999998,30.122499999999995
00763U,2020-08-11,19.1,19.25,27000.0,19.31,19.5295
00770,2020-08-11,29.92,29.77,49017.0,29.866000000000003,29.035499999999995
00771,2020-08-11,19.29,19.23,19000.0,19.258,18.932000000000002
00774B,2020-08-11,38.8,38.45,3100.0,38.666000000000004,38.510000000000005
00775B,2020-08-11,47.92,48.05,3000.0,48.322,47.9555
00783,2020-08-11,22.3,22.42,1264195.0,22.28,21.7405
008201,2020-08-11,116.9,117.05,2700.0,114.05,113.57249999999999
00830,2020-08-11,20.49,20.48,198589.0,20.567999999999998,19.8785
00850,2020-08-11,26.34,26.14,2940840.0,26.160000000000004,25.3105
00851,2020-08-11,26.42,26.25,29000.0,26.657999999999998,26.1695
00852L,2020-08-11,14.02,14.13,11387005.0,13.552000000000001,13.086500000000001
00861,2020-08-11,24.0,24.02,2233119.0,24.038,23.130499999999998
00865B,2020-08-11,38.79,38.83,120000.0,38.788,38.82600000000001
00866,2020-08-11,20.58,20.66,56000.0,20.222,19.929499999999997
00875,2020-08-11,27.16,27.12,798981.0,27.572000000000003,26.720500000000005
00876,2020-08-11,21.66,21.63,4306617.0,21.875999999999998,21.122999999999998
00878,2020-08-11,15.17,15.08,15819334.0,15.146,15.0935
01001T,2020-08-11,17.19,17.19,0.0,17.041999999999998,16.9
01002T,2020-08-11,17.9,17.89,64000.0,17.71,17.304
