identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-11-03,29.3,29.3,100238.0,21.45,25.332500000000003
00660,2020-11-03,21.22,21.31,75000.0,21.131999999999998,22.56
00661,2020-11-03,29.67,29.55,254000.0,29.266,29.6205
00662,2020-11-03,41.17,41.0,879050.0,41.56,42.9945
00663L,2020-11-03,58.2,58.8,182000.0,57.96,59.335
00664R,2020-11-03,9.4,9.37,3094000.0,9.424000000000001,9.3375
00665L,2020-11-03,21.42,22.14,357000.0,21.248,21.220000000000002
00666R,2020-11-03,12.87,12.5,99000.0,12.806000000000001,12.844
00668,2020-11-03,27.92,28.0,907000.0,27.764,28.952500000000004
00668K,2020-11-03,9.76,9.76,100.0,9.686,10.076
00669R,2020-11-03,10.59,10.58,5785050.0,10.696,10.284500000000001
00670L,2020-11-03,62.05,61.8,2229000.0,63.0,67.505
00671R,2020-11-03,7.55,7.59,4452000.0,7.5,7.2765
00673R,2020-11-03,32.54,32.61,1295000.0,32.832,30.860000000000003
00674R,2020-11-03,12.85,12.82,690000.0,12.906,12.806000000000001
00675L,2020-11-03,25.13,25.44,564000.0,25.094,25.610500000000002
00676R,2020-11-03,5.11,5.07,4384000.0,5.116,5.0745
00677U,2020-11-03,4.72,4.78,152052010.0,4.8340000000000005,4.5120000000000005
00678,2020-11-03,24.3,24.24,374000.0,24.642,25.502
00680L,2020-11-03,29.46,29.42,125120.0,29.73,29.871
00681R,2020-11-03,12.78,12.75,12000.0,12.718,12.7075
00682U,2020-11-03,18.72,18.68,14000.0,18.628,18.6
00683L,2020-11-03,18.0,17.92,400000.0,17.894,17.7915
00684R,2020-11-03,18.58,18.58,0.0,18.656,18.7185
00685L,2020-11-03,22.12,22.34,57000.0,22.064,22.522
00686R,2020-11-03,5.58,5.54,592000.0,5.582,5.5265
00688L,2020-11-03,29.71,29.74,104000.0,29.859999999999996,30.0525
00689R,2020-11-03,13.11,13.1,142000.0,13.062000000000001,13.045000000000002
00690,2020-11-03,25.3,25.47,181001.0,25.334,25.594500000000004
00692,2020-11-03,26.53,26.74,1705420.0,26.574,26.905
00693U,2020-11-03,16.24,16.33,6903000.0,16.32,16.3675
00700,2020-11-03,18.15,18.54,107000.0,18.198,18.228500000000004
00701,2020-11-03,20.39,20.53,484039.0,20.334,20.455000000000002
00702,2020-11-03,15.72,15.75,152041.0,15.494000000000003,16.0485
00703,2020-11-03,24.39,24.98,350039.0,24.54,24.274
00706L,2020-11-03,17.98,17.98,0.0,17.948,17.747
00707R,2020-11-03,18.84,18.84,0.0,18.852,18.9555
00708L,2020-11-03,30.89,30.86,3543000.0,30.584000000000003,31.1685
00709,2020-11-03,18.12,18.2,125187.0,18.014,18.92
00710B,2020-11-03,18.22,18.24,236509.0,18.294,18.466
00711B,2020-11-03,21.39,21.39,133000.0,21.592000000000002,21.847
00712,2020-11-03,10.64,10.63,1552475.0,10.553999999999998,10.766499999999999
00713,2020-11-03,34.33,34.32,81202.0,34.248000000000005,33.626999999999995
00714,2020-11-03,17.57,17.73,29000.0,17.330000000000002,18.1085
00715L,2020-11-03,2.75,2.83,73183000.0,2.87,3.249
00717,2020-11-03,16.33,16.35,644371.0,16.372000000000003,16.616
00728,2020-11-03,21.86,22.16,241000.0,22.11,22.432
00730,2020-11-03,16.49,16.6,324521.0,16.498,16.926
00731,2020-11-03,46.2,46.76,1020000.0,46.164,46.3245
00732,2020-11-03,38.7,38.7,100000.0,38.658,38.6825
00733,2020-11-03,23.99,23.97,202500.0,24.016000000000002,24.0695
00735,2020-11-03,24.85,24.88,116000.0,24.89,25.186
00736,2020-11-03,20.39,20.32,126466.0,20.380000000000003,20.3305
00737,2020-11-03,24.79,24.84,483000.0,24.827999999999996,25.5615
00738U,2020-11-03,25.51,25.58,4204000.0,25.15,25.756
00739,2020-11-03,25.3,25.4,256615.0,25.256,25.7095
00742,2020-11-03,20.81,20.76,101113.0,20.73,20.8215
00743,2020-11-03,25.85,26.19,20342.0,26.142000000000003,26.026999999999997
00752,2020-11-03,29.98,30.27,1157047.0,29.863999999999997,29.247500000000002
00753L,2020-11-03,36.2,37.09,661000.0,36.501999999999995,35.652
00757,2020-11-03,38.24,38.23,1098970.0,38.902,39.665
00762,2020-11-03,30.6,30.61,464050.0,31.014000000000003,31.933000000000003
00763U,2020-11-03,20.2,20.4,174000.0,20.212,20.278
00770,2020-11-03,29.23,28.86,68000.0,29.244,30.353
00771,2020-11-03,18.83,18.82,49000.0,18.854000000000003,19.037
00774B,2020-11-03,37.95,37.95,2100.0,37.938,38.45700000000001
00775B,2020-11-03,44.1,44.1,2000.0,44.402,44.4865
00783,2020-11-03,20.84,20.99,868500.0,20.830000000000002,21.2875
008201,2020-11-03,117.75,117.75,0.0,117.55999999999999,119.01500000000001
00830,2020-11-03,20.65,20.8,926734.0,20.656,21.454
00850,2020-11-03,25.78,25.95,1050320.0,25.851999999999997,26.147
00851,2020-11-03,26.0,26.01,49000.0,26.262,27.558500000000002
00852L,2020-11-03,12.98,13.06,13384196.0,12.768,13.951500000000001
00861,2020-11-03,22.8,22.91,1302054.0,22.951999999999998,23.586499999999997
00865B,2020-11-03,37.7,37.7,110000.0,37.760000000000005,37.8755
00866,2020-11-03,20.1,20.08,28000.0,19.938,20.564
00875,2020-11-03,24.45,24.47,1626208.0,24.848,26.1595
00876,2020-11-03,21.45,21.54,1442478.0,21.558,21.8395
00878,2020-11-03,14.43,14.51,6367577.0,14.472,14.5565
01001T,2020-11-03,18.36,18.37,33000.0,18.376,18.3695
01002T,2020-11-03,18.32,18.38,45000.0,18.327999999999996,18.392
01003T,2020-11-03,19.7,19.76,754000.0,20.252,20.525
01004T,2020-11-03,16.38,16.38,2000.0,16.464,16.4275
01007T,2020-11-03,19.04,19.05,291000.0,19.04,19.011499999999998
1101,2020-11-03,40.7,40.95,7063658.0,40.470000000000006,40.685
1102,2020-11-03,41.9,42.0,4680843.0,41.39,41.0675
1103,2020-11-03,15.65,15.75,153320.0,15.73,15.8225
1104,2020-11-03,20.0,20.0,372499.0,20.03,20.097500000000004
1108,2020-11-03,11.3,11.4,1225995.0,11.34,11.377500000000001
1109,2020-11-03,18.85,18.9,176113.0,18.97,19.3175
1110,2020-11-03,17.2,17.1,107433.0,17.060000000000002,16.747500000000002
1305,2020-11-03,22.5,22.4,8386110.0,22.28,21.375
1201,2020-11-03,20.3,20.3,693413.0,20.26,20.165
1203,2020-11-03,36.0,36.1,121258.0,34.93,34.160000000000025
1210,2020-11-03,44.9,44.9,1220237.0,45.269999999999996,44.9525
1213,2020-11-03,8.45,8.4,7000.0,8.534,9.259500000000001
1215,2020-11-03,68.8,69.6,977813.0,68.9,68.05
1216,2020-11-03,61.5,62.3,5334216.0,61.459999999999994,62.30499999999999
1217,2020-11-03,7.4,7.41,583305.0,7.432,7.475
1218,2020-11-03,21.8,21.95,229249.0,21.85,21.987500000000004
1219,2020-11-03,18.9,18.9,68771.0,18.92,18.972500000000004
1220,2020-11-03,11.85,11.95,126004.0,11.85,11.822500000000002
1225,2020-11-03,31.5,31.65,29627.0,31.6,31.6575
1227,2020-11-03,61.8,61.5,576789.0,61.86,62.339999999999996
1229,2020-11-03,40.1,39.9,1328383.0,40.230000000000004,40.06250000000001
1231,2020-11-03,42.25,42.3,73831.0,42.33,42.355000000000004
1232,2020-11-03,126.0,124.5,121726.0,122.1,119.35
1233,2020-11-03,36.05,36.2,39000.0,36.1,36.17
1234,2020-11-03,32.6,32.65,36642.0,32.629999999999995,32.83
1235,2020-11-03,25.5,25.1,26105.98,25.16,25.080000000000002
1236,2020-11-03,13.4,13.5,14011.0,13.37,13.37
1256,2020-11-03,279.5,279.0,20610.0,283.5,282.75
1301,2020-11-03,80.0,81.0,8197392.0,79.35999999999999,79.85
1307,2020-11-03,20.7,20.8,170352.0,20.890000000000004,21.052500000000002
1303,2020-11-03,59.9,60.8,7117345.0,59.29999999999999,59.81999999999999
1304,2020-11-03,18.3,18.6,17877539.0,18.060000000000002,17.0175
1308,2020-11-03,19.6,19.35,5822151.0,19.15,18.45
1309,2020-11-03,32.5,33.6,24630789.0,33.25,30.6575
1310,2020-11-03,16.3,16.5,3128076.0,16.33,16.3775
1312,2020-11-03,22.5,23.05,39866328.0,22.6,20.547500000000003
1312A,2020-11-03,30.1,30.35,5000.0,30.070000000000004,30.077499999999997
1313,2020-11-03,13.25,13.65,9801250.0,13.26,13.0575
1314,2020-11-03,8.68,8.73,18445313.0,8.632,8.469
1449,2020-11-03,13.05,12.95,99926.3,13.05,14.89
1315,2020-11-03,66.8,66.6,172485.0,67.86,58.21
1316,2020-11-03,11.3,11.2,199001.0,11.259999999999998,11.540000000000001
1319,2020-11-03,38.2,38.3,574551.0,38.34,38.11
1321,2020-11-03,34.0,34.25,92000.0,34.760000000000005,35.099999999999994
1323,2020-11-03,32.8,32.6,80959.0,32.78,32.9325
1324,2020-11-03,9.88,9.88,5155.0,9.804000000000002,9.840500000000002
1325,2020-11-03,137.5,134.5,4838596.0,136.6,133.275
1326,2020-11-03,70.4,70.4,5269189.0,69.42,69.26
1337,2020-11-03,7.24,7.1,2293791.0,7.5120000000000005,7.853999999999999
1338,2020-11-03,53.1,53.4,1006000.0,54.06,55.19500000000001
1339,2020-11-03,42.25,42.25,49055.0,42.46,42.872499999999995
1340,2020-11-03,12.15,12.25,193790.0,12.44,12.4
1402,2020-11-03,26.1,26.2,4937516.0,25.85,25.96
1409,2020-11-03,11.45,11.5,3715305.0,11.419999999999998,11.2475
1451,2020-11-03,16.1,16.1,53654.0,16.090000000000003,16.415
1410,2020-11-03,34.3,34.15,28788.0,33.809999999999995,33.5925
1413,2020-11-03,8.9,8.95,48502.0,8.898,8.982499999999998
1414,2020-11-03,13.5,13.95,9843998.0,11.690000000000001,10.049000000000001
1416,2020-11-03,11.2,11.2,691198.0,11.78,13.355
1417,2020-11-03,10.5,10.65,1119543.0,10.730000000000002,11.0625
1418,2020-11-03,8.0,8.0,11080.0,7.792000000000002,7.889
1419,2020-11-03,43.45,43.6,39043.0,43.629999999999995,43.692499999999995
1423,2020-11-03,15.1,14.95,72312.0,14.99,14.754999999999999
1432,2020-11-03,23.85,22.7,1991453.0,22.35,19.552500000000002
1434,2020-11-03,31.5,31.4,2077310.0,31.5,31.419999999999998
1435,2020-11-03,19.6,21.3,1661334.0,18.630000000000003,17.479999999999997
1436,2020-11-03,37.5,37.7,22058.0,37.67999999999999,37.695
1437,2020-11-03,23.6,23.8,89102.0,23.590000000000003,23.697499999999998
1438,2020-11-03,10.85,11.85,300089.0,12.440000000000001,13.09
1439,2020-11-03,26.05,26.2,33000.0,26.389999999999997,27.235000000000003
1440,2020-11-03,12.6,13.0,24746260.0,12.5,12.147499999999999
1441,2020-11-03,7.92,7.9,282897.0,8.018,8.145
1442,2020-11-03,19.25,18.95,1213004.0,19.43,19.945
1443,2020-11-03,9.13,9.25,55618.0,9.032000000000002,8.9785
1444,2020-11-03,13.2,13.2,16893131.0,13.55,13.870000000000001
1445,2020-11-03,10.3,10.25,204426.0,10.25,9.791500000000001
1446,2020-11-03,33.65,34.85,193229.0,33.82000000000001,33.36
1447,2020-11-03,8.0,7.82,5357040.0,7.978,7.978999999999999
1539,2020-11-03,19.5,19.6,58008.0,19.740000000000002,20.910000000000004
1452,2020-11-03,15.4,15.5,83000.0,15.419999999999998,15.485
1453,2020-11-03,8.5,8.54,60323.0,8.438000000000004,8.5155
1454,2020-11-03,8.55,8.53,28385.0,8.542000000000002,8.432500000000001
1455,2020-11-03,8.05,8.0,514682.0,8.074000000000002,8.4125
1456,2020-11-03,9.55,9.6,45442.0,9.594,9.7315
1457,2020-11-03,13.95,14.05,729796.0,13.940000000000003,13.8475
1459,2020-11-03,8.16,8.2,60540.0,8.274000000000001,8.235499999999998
1460,2020-11-03,9.64,9.61,809250.0,9.674000000000001,9.7105
1463,2020-11-03,12.2,12.1,129130.0,12.27,12.377500000000001
1464,2020-11-03,18.05,18.1,150400.0,18.290000000000003,18.18
1465,2020-11-03,12.8,12.9,51614.0,12.870000000000001,13.02
1466,2020-11-03,23.5,23.35,2152088.0,24.259999999999998,24.965
1467,2020-11-03,19.05,18.75,1180695.0,18.4,18.5375
1468,2020-11-03,11.8,12.2,52000.0,11.88,12.15
1470,2020-11-03,18.0,17.8,5000.0,18.110000000000003,17.970000000000002
1471,2020-11-03,4.97,5.0,388980.0,5.1579999999999995,5.42
1472,2020-11-03,10.9,10.85,75135.0,11.040000000000001,11.39
1473,2020-11-03,17.7,17.65,76126.0,17.77,17.95
1474,2020-11-03,12.5,12.55,454516.0,12.48,12.43
1475,2020-11-03,23.0,20.9,7001.0,24.830000000000002,25.41
1476,2020-11-03,379.5,388.0,1964069.0,376.9,374.325
1477,2020-11-03,186.0,185.5,1292443.0,188.6,180.325
1503,2020-11-03,49.95,49.8,126941.0,49.739999999999995,49.405
1504,2020-11-03,29.8,29.95,2551942.0,29.920000000000005,29.975
1506,2020-11-03,10.55,10.45,180449.0,10.98,11.2675
1507,2020-11-03,64.3,65.0,158247.0,63.5,64.115
1512,2020-11-03,4.75,4.8,140249.0,4.720000000000001,4.671
1513,2020-11-03,49.6,49.6,41145039.0,50.510000000000005,48.4925
1514,2020-11-03,27.95,27.65,1474022.0,28.110000000000003,27.8875
1515,2020-11-03,77.7,79.3,1344283.0,79.44000000000001,82.57000000000001
1516,2020-11-03,22.0,22.15,278460.0,21.71,20.5325
1517,2020-11-03,14.75,15.0,25579631.0,13.3,12.395
1519,2020-11-03,50.9,51.3,4643650.0,51.18000000000001,49.980000000000004
1521,2020-11-03,53.3,53.5,26000.0,53.419999999999995,53.81
1522,2020-11-03,21.0,21.0,144442.0,21.16,21.0775
1524,2020-11-03,9.32,9.39,147803.0,9.402000000000001,9.4005
1525,2020-11-03,64.7,64.1,108000.0,64.8,66.44
1526,2020-11-03,51.1,50.7,3202524.0,50.36000000000001,52.220000000000006
1527,2020-11-03,38.3,38.6,142000.0,38.65,39.095
1528,2020-11-03,7.94,8.01,912150.0,8.000000000000002,8.079
1529,2020-11-03,14.4,14.45,70470.0,14.66,15.05
1530,2020-11-03,29.9,30.0,17300.0,30.160000000000014,29.939999999999998
1531,2020-11-03,11.2,11.25,72297.0,11.319999999999999,11.377500000000001
1532,2020-11-03,33.0,33.15,617492.0,33.739999999999995,33.2375
1533,2020-11-03,30.8,31.25,142105.0,31.51,31.044999999999998
1535,2020-11-03,32.75,33.05,39088.0,32.81,33.465
1536,2020-11-03,88.0,88.9,691924.84,88.76,92.609995
1537,2020-11-03,137.5,137.5,94570.0,137.6,138.025
1538,2020-11-03,8.6522,8.8882,17967.0,5.60932,4.29583
1760,2020-11-03,108.5,112.5,2295302.0,109.4,115.3
1540,2020-11-03,14.55,14.75,123001.0,14.530000000000001,14.527499999999998
1541,2020-11-03,52.6,51.7,25078.0,51.12,52.57000000000001
1558,2020-11-03,136.5,137.0,17000.0,137.0,136.775
1560,2020-11-03,58.2,58.4,260001.0,58.74000000000001,59.94499999999999
1568,2020-11-03,16.45,16.5,230173.0,17.27,16.6575
1582,2020-11-03,85.7,86.0,464087.0,85.28,85.35
1583,2020-11-03,59.7,59.3,6230.0,59.260000000000005,59.665
1587,2020-11-03,25.5,25.9,647000.0,25.3,26.3825
1589,2020-11-03,89.2,90.9,1319331.0,92.2,94.695
1590,2020-11-03,749.0,727.0,1219200.0,729.0,690.85
1592,2020-11-03,10.6,10.5,238000.0,10.59,10.785
1598,2020-11-03,132.0,135.0,2841637.0,132.0,128.3
1603,2020-11-03,28.95,28.3,46796.0,28.889999999999997,29.064999999999998
1604,2020-11-03,23.15,23.35,3595295.0,23.01,22.8975
1605,2020-11-03,18.1,18.0,11433260.0,17.740000000000002,17.335
1608,2020-11-03,10.8,11.35,12555400.0,10.74,10.553500000000001
1609,2020-11-03,20.45,20.45,31042115.0,20.47,20.185
1611,2020-11-03,10.85,10.85,337211.0,10.92,11.0825
1612,2020-11-03,14.95,15.05,2062061.0,14.99,14.795000000000002
1614,2020-11-03,35.0,35.05,67000.0,35.07,35.595000000000006
1615,2020-11-03,21.4,21.15,88100.0,21.31,21.6475
1616,2020-11-03,5.37,5.44,160795.0,5.409999999999999,5.5205
1617,2020-11-03,13.0,13.1,19244.0,13.080000000000002,13.092500000000001
1618,2020-11-03,11.95,12.0,4768150.0,12.059999999999999,10.9755
1626,2020-11-03,22.5,22.4,199500.0,23.25,23.994999999999997
1701,2020-11-03,23.7,23.35,4072018.0,22.979999999999997,23.044999999999998
1702,2020-11-03,42.85,43.05,198711.0,43.03,42.947500000000005
1707,2020-11-03,165.0,166.0,159370.0,166.4,166.825
1762,2020-11-03,64.0,63.8,1056452.0,62.56,64.61500000000001
1708,2020-11-03,22.2,22.2,65731.0,22.160000000000004,22.615000000000002
1709,2020-11-03,14.05,14.15,414459.0,14.12,13.997500000000002
1710,2020-11-03,16.5,16.75,1657673.0,16.580000000000005,16.475
1711,2020-11-03,16.3,16.3,755453.0,16.43,16.385
1712,2020-11-03,19.55,19.8,356224.0,19.580000000000005,19.682499999999997
1713,2020-11-03,18.1,18.1,128105.0,18.0,17.9425
1714,2020-11-03,10.9,10.8,6704244.0,10.6,10.276
1717,2020-11-03,33.55,33.85,3643752.0,33.470000000000006,33.3575
1718,2020-11-03,8.53,8.56,10733348.0,8.597999999999999,8.2185
1720,2020-11-03,36.75,36.7,188270.0,37.059999999999995,37.82000000000001
1721,2020-11-03,10.1,10.05,313242.0,10.001999999999999,10.055000000000001
1722,2020-11-03,51.0,50.8,1437200.0,50.55,50.4925
1723,2020-11-03,91.8,92.2,99600.0,92.2,92.94
1724,2020-11-03,12.75,12.7,16000.0,12.68,12.804999999999998
1725,2020-11-03,13.9,14.15,15000.0,13.860000000000003,13.892500000000002
1726,2020-11-03,69.9,70.1,19036.0,69.94000000000001,69.75
1727,2020-11-03,10.65,10.7,12784.0,10.72,10.7925
1730,2020-11-03,71.4,71.4,23326.0,71.7,72.18
1731,2020-11-03,17.65,17.65,1175958.0,17.43,16.785
1732,2020-11-03,24.5,24.45,6421500.0,22.15,21.177500000000002
1733,2020-11-03,24.15,24.2,116082.0,24.21,24.282500000000002
1734,2020-11-03,33.25,33.3,1228099.0,33.120000000000005,35.08
1735,2020-11-03,16.95,16.95,1000.0,16.8,16.93
1736,2020-11-03,66.5,67.5,713501.0,67.06,69.41499999999999
1737,2020-11-03,32.75,32.65,377491.0,32.67,32.31
2102,2020-11-03,19.8,20.15,499591.0,20.2,20.205
1773,2020-11-03,98.5,99.4,191141.0,99.38,100.39500000000001
1776,2020-11-03,15.65,15.6,7000.0,15.540000000000001,15.6375
1783,2020-11-03,22.55,22.35,33029.0,22.38,22.917499999999997
1786,2020-11-03,64.4,65.1,116201.0,64.26,65.4
1789,2020-11-03,28.6,28.75,781505.0,29.020000000000003,29.8525
1795,2020-11-03,80.3,80.8,429200.0,80.48,81.07000000000001
1802,2020-11-03,12.65,12.95,8055533.0,12.59,12.73
1805,2020-11-03,10.15,9.8,43107.0,9.972,10.188
1806,2020-11-03,6.1,6.09,511643.0,6.1659999999999995,6.3755
1808,2020-11-03,62.4,63.2,118091.0,63.739999999999995,63.67499999999999
1809,2020-11-03,11.35,11.5,1198460.0,11.629999999999999,11.6325
1810,2020-11-03,8.9,9.03,772020.0,9.054,9.388
1817,2020-11-03,30.4,30.5,24160.0,30.389999999999997,30.559999999999995
1902,2020-11-03,2.36,2.35,428000.0,2.36,2.4095
1903,2020-11-03,67.0,67.5,239457.0,67.02000000000001,64.95
1904,2020-11-03,33.5,33.15,4186727.0,34.36,33.475
1905,2020-11-03,9.24,9.27,1142236.0,9.366,9.071499999999999
1906,2020-11-03,14.6,14.6,62300.0,14.680000000000003,14.5975
1907,2020-11-03,20.2,20.1,4369672.0,19.81,18.69
1909,2020-11-03,16.64,16.2912,4058370.0,16.696320000000004,16.62408
2002,2020-11-03,20.5,20.6,11052220.0,20.43,20.555
2002A,2020-11-03,50.0,50.1,52000.0,50.22,50.86
2006,2020-11-03,30.0,29.85,2746340.0,30.090000000000003,29.322499999999998
2007,2020-11-03,6.6,6.76,285242.0,6.792,6.986
2008,2020-11-03,13.25,13.25,14851.0,12.88,13.330000000000002
2009,2020-11-03,9.35,9.45,255530.0,9.368,9.5385
2010,2020-11-03,10.9,11.05,2782290.0,10.85,10.932500000000001
2012,2020-11-03,16.15,16.15,22005.0,16.110000000000003,16.392500000000002
2013,2020-11-03,29.8,30.25,1464030.0,29.770000000000003,29.964999999999996
2014,2020-11-03,9.94,10.0,16393369.0,10.008,9.9765
2015,2020-11-03,57.0,57.1,252113.0,57.260000000000005,56.754999999999995
2017,2020-11-03,8.21,8.17,816460.0,8.33,8.485
2020,2020-11-03,16.2,16.15,89916.0,16.220000000000002,16.1625
2022,2020-11-03,5.19,5.1,927558.0,5.2299999999999995,5.3445
2023,2020-11-03,10.1,10.15,1448926.0,10.349999999999998,10.315499999999998
2024,2020-11-03,14.7,14.8,20001.0,14.8,14.847500000000002
2025,2020-11-03,2.71,2.75,268000.0,2.794000000000001,2.9195
2027,2020-11-03,23.3,24.1,89610070.0,22.37,21.27
2028,2020-11-03,10.2,10.35,350500.0,10.43,10.1625
2029,2020-11-03,18.45,18.35,42766.0,18.46,18.645
2030,2020-11-03,10.25,10.3,87651.0,10.319999999999999,10.245000000000001
2031,2020-11-03,32.3,31.85,1183760.0,32.03,31.877499999999998
2032,2020-11-03,9.79,9.89,103181.0,9.884,9.878
2033,2020-11-03,9.6,9.56,61258.0,9.708,9.844999999999999
2034,2020-11-03,23.05,23.1,311490.07,23.0,23.1475
2038,2020-11-03,9.7,9.74,360250.0,9.764,9.838
2049,2020-11-03,255.016,255.016,821695.0,262.8156,273.8039
2059,2020-11-03,286.0,286.0,160246.0,289.1,287.5
2062,2020-11-03,24.2,24.05,65000.0,24.270000000000003,25.807499999999997
2069,2020-11-03,14.95,14.75,54011.0,14.690000000000001,14.834999999999999
2101,2020-11-03,40.3,40.2,2075947.0,41.76,42.9125
2351,2020-11-03,63.8,62.6,1587734.0,60.5,62.339999999999996
2103,2020-11-03,20.4,20.45,3112131.0,20.71,20.6875
2104,2020-11-03,19.8,20.1,2960906.0,19.86,19.8825
2105,2020-11-03,36.05,36.7,4179146.0,36.42999999999999,37.0
2106,2020-11-03,31.4,32.35,5561813.0,31.389999999999997,30.564999999999998
2107,2020-11-03,20.1,20.05,555313.0,20.200000000000003,20.15
2108,2020-11-03,69.9,72.3,37380980.0,73.25999999999999,61.99000000000001
2109,2020-11-03,11.1,11.2,174336.0,11.36,11.837499999999999
2114,2020-11-03,81.5,81.8,137053.0,81.36,81.375
2115,2020-11-03,41.8,41.8,29986.0,41.7,41.519999999999996
2201,2020-11-03,35.0,35.05,1825931.0,36.87,31.835
2204,2020-11-03,44.1,44.55,320261.0,44.67000000000001,44.352500000000006
2206,2020-11-03,22.75,22.65,517582.0,22.72,23.0725
2207,2020-11-03,624.0,636.0,365422.0,618.6,636.55
2208,2020-11-03,24.3,24.55,751506.0,24.91,24.880000000000003
2227,2020-11-03,248.0,248.0,50169.0,246.9,247.925
2228,2020-11-03,78.1,78.7,81000.0,78.46000000000001,78.72999999999999
2231,2020-11-03,162.0,163.0,704665.0,162.7,165.075
2233,2020-11-03,81.4,80.2,980318.0,80.72,79.19500000000001
2236,2020-11-03,16.55,16.65,12039.8,16.6,16.69748
2239,2020-11-03,79.0,80.2,238000.0,77.58,78.465
2243,2020-11-03,10.85,10.7,19000.0,11.03,11.9925
2301,2020-11-03,46.0,46.5,5233976.0,46.17,45.855000000000004
2302,2020-11-03,18.0,19.25,3728573.0,18.01,16.625
2303,2020-11-03,30.2,29.8,161571703.0,31.620000000000005,31.4575
2305,2020-11-03,7.54,7.68,402480.0,7.798,7.9385
2308,2020-11-03,187.5,188.0,4473008.0,194.1,194.5
2352,2020-11-03,19.0,19.05,3014656.0,19.07,19.0825
2312,2020-11-03,10.6,10.8,9927013.0,10.72,10.965
2313,2020-11-03,43.8,43.75,6654506.0,44.209999999999994,45.230000000000004
2314,2020-11-03,21.9,22.05,704748.0,22.100000000000005,22.35
2316,2020-11-03,28.55,29.05,421864.0,29.01,29.554999999999996
2317,2020-11-03,78.5,78.3,14572543.0,78.12,79.075
2321,2020-11-03,9.27,9.4,60384.0,9.490000000000004,7.757000000000001
2323,2020-11-03,7.94,8.03,6500961.0,8.008000000000001,8.09
2324,2020-11-03,18.7,18.75,4872154.0,18.7,18.740000000000002
2327,2020-11-03,357.0,377.5,26480906.0,354.7,356.95
2328,2020-11-03,17.25,17.3,664780.0,17.43,17.53
2329,2020-11-03,11.15,11.1,1186010.0,11.21,11.2675
2330,2020-11-03,439.5,441.0,30554949.0,438.2,449.025
2331,2020-11-03,17.15,18.0,8970262.0,17.18,16.695
2332,2020-11-03,18.8,18.9,9436854.0,18.36,18.6575
2337,2020-11-03,31.75,31.8,27542100.0,32.660000000000004,32.1775
2338,2020-11-03,27.75,28.15,1454841.0,28.3,29.0925
2340,2020-11-03,22.7,23.0,7295676.0,23.01,23.65
2342,2020-11-03,26.7,27.0,1002312.0,27.220000000000006,28.064999999999998
