identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-04-15,8.13,8.13,100.0,8.05,7.5665
00660,2020-04-15,20.63,20.6,83000.0,20.482,19.347
00662,2020-04-15,33.49,33.4,710917.0,32.052,29.8945
00663L,2020-04-15,35.24,35.54,385000.0,33.733999999999995,30.328500000000002
00664R,2020-04-15,12.47,12.45,8959000.0,12.782,13.010500000000002
00665L,2020-04-15,20.7,20.68,132000.0,20.496,19.162
00666R,2020-04-15,13.67,13.73,85000.0,13.794,14.507
00668,2020-04-15,25.9,25.95,602000.0,25.384000000000004,23.5685
00668K,2020-04-15,8.61,8.61,100.0,8.446000000000002,7.782500000000001
00669R,2020-04-15,12.73,12.76,10015000.0,12.948000000000002,14.375
00670L,2020-04-15,39.2,39.2,3097015.0,36.088,31.345000000000006
00671R,2020-04-15,10.22,10.22,2388000.0,10.702000000000002,11.694
00673R,2020-04-15,27.43,27.63,3845025.0,25.46,26.6555
00674R,2020-04-15,13.96,13.98,1884000.0,14.212,15.194999999999999
00675L,2020-04-15,15.4,15.51,783000.0,14.780000000000001,13.318000000000001
00676R,2020-04-15,6.74,6.71,7711000.0,6.892,7.3785
00677U,2020-04-15,6.81,6.75,229673626.0,7.465999999999999,8.985000000000001
00678,2020-04-15,22.91,22.87,847218.0,22.21,19.641
00680L,2020-04-15,32.41,32.64,210000.0,32.738,32.3575
00681R,2020-04-15,12.79,12.75,30000.0,12.742,12.9255
00682U,2020-04-15,19.73,19.81,215000.0,19.812,19.954500000000003
00683L,2020-04-15,19.86,20.03,13000.0,20.186,20.621000000000002
00684R,2020-04-15,18.1,18.17,309000.0,18.113999999999997,17.8805
00685L,2020-04-15,13.4,13.39,13000.0,12.930000000000001,11.692499999999999
00686R,2020-04-15,7.35,7.31,872000.0,7.529999999999999,8.063500000000001
00688L,2020-04-15,33.13,33.2,108000.0,33.422000000000004,32.9895
00689R,2020-04-15,13.04,13.04,120000.0,13.041999999999998,13.1675
00690,2020-04-15,20.68,20.91,223182.0,20.344,19.467499999999998
00692,2020-04-15,20.94,21.0,3507602.0,20.560000000000002,19.7145
00693U,2020-04-15,13.76,13.76,2680300.0,13.907999999999998,13.9255
00700,2020-04-15,18.43,18.4,101031.0,18.294,17.7495
00701,2020-04-15,19.55,19.69,2161559.0,19.17,18.419999999999998
00702,2020-04-15,16.39,16.32,30273.0,16.116000000000003,15.017500000000002
00703,2020-04-15,19.94,19.76,31000.0,19.71,18.938
00706L,2020-04-15,17.61,17.62,401000.0,17.214,17.060499999999998
00707R,2020-04-15,19.47,19.48,17000.0,19.624000000000002,19.648
00708L,2020-04-15,28.92,28.9,9844000.0,28.163999999999998,25.2235
00709,2020-04-15,17.05,17.07,138028.0,16.952,15.8995
00710B,2020-04-15,18.73,18.63,296000.0,18.184,17.1705
00711B,2020-04-15,20.36,20.39,102000.0,20.004,19.312
00712,2020-04-15,9.71,9.71,5269000.0,9.702000000000002,9.247
00713,2020-04-15,29.12,29.5,120000.0,28.686,27.1415
00714,2020-04-15,18.3,18.32,69000.0,18.204,16.397
00715L,2020-04-15,6.0,6.0,79716665.0,6.409999999999999,4.740499999999999
00717,2020-04-15,16.47,16.49,1395116.0,16.278,15.288500000000003
00728,2020-04-15,17.41,17.52,594156.0,17.186,16.405
00730,2020-04-15,15.9,16.02,529774.0,15.672,14.836999999999998
00731,2020-04-15,42.62,43.08,81000.0,42.232,40.3485
