identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-01-20,10.02,10.02,100.0,9.98,9.822
00660,2020-01-20,26.485,26.92,53150.0,26.36304,26.243990000000004
00661,2020-01-20,30.4,30.4,5000.0,30.074,29.919
00662,2020-01-20,35.22,35.22,184485.0,34.897999999999996,34.183
00663L,2020-01-20,48.87,48.87,11000.0,48.476,47.8945
00664R,2020-01-20,11.26,11.26,1278000.0,11.280000000000001,11.3565
00665L,2020-01-20,28.86,28.86,264000.0,28.704,28.3065
00666R,2020-01-20,12.27,12.27,84000.0,12.312000000000001,12.479000000000001
00668,2020-01-20,31.7,31.7,44269.0,31.468,31.110500000000002
00668K,2020-01-20,10.6,10.6,100.0,10.528,10.3635
00669R,2020-01-20,11.13,11.13,2701000.0,11.209999999999999,11.3395
00670L,2020-01-20,47.86,47.86,120000.0,47.092,44.934
00671R,2020-01-20,10.42,10.42,517000.0,10.494,10.7435
00673R,2020-01-20,13.53,13.53,8494038.0,13.713999999999999,13.303999999999998
00674R,2020-01-20,16.12,16.12,9000.0,16.174,16.332
00675L,2020-01-20,21.1,21.1,95000.0,20.996000000000002,20.740000000000002
00676R,2020-01-20,6.1,6.1,566000.0,6.116,6.161
00677U,2020-01-20,2.45,2.45,124120545.0,2.532,2.7725
00678,2020-01-20,23.55,23.55,63126.0,23.406,23.491
00680L,2020-01-20,23.88,23.88,85000.0,24.003999999999998,23.822499999999998
00681R,2020-01-20,15.78,15.78,0.0,15.818000000000001,15.908499999999998
00682U,2020-01-20,19.41,19.41,70000.0,19.284,19.279
00683L,2020-01-20,19.4,19.4,61000.0,19.291999999999998,19.273
00684R,2020-01-20,18.51,18.51,42000.0,18.564,17.657000000000004
00685L,2020-01-20,18.78,18.78,5000.0,18.602,18.375999999999998
00686R,2020-01-20,6.64,6.64,215000.0,6.667999999999999,6.714
00688L,2020-01-20,24.16,24.16,122000.0,24.266000000000002,24.0995
00689R,2020-01-20,16.17,16.17,100000.0,16.110000000000003,15.379500000000002
00690,2020-01-20,23.555,24.24,216801.0,23.55496,23.521430000000002
00692,2020-01-20,24.21,24.21,2568192.0,24.238,24.1235
00693U,2020-01-20,15.21,15.21,193000.0,15.264000000000001,15.4495
