identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-11-23,11.23,11.23,100.0,23.56,22.579500000000003
00660,2020-11-23,24.31,24.31,33360.0,24.18,22.811
00661,2020-11-23,32.3,32.3,5000.0,32.279999999999994,30.829500000000003
00662,2020-11-23,43.92,43.92,331820.0,43.854,43.119
00663L,2020-11-23,70.95,70.95,85000.0,69.28,63.1725
00664R,2020-11-23,8.5,8.5,4514150.0,8.6,9.0385
00665L,2020-11-23,24.44,24.44,86000.0,24.254,23.241999999999997
00666R,2020-11-23,11.75,11.75,145000.0,11.814,12.1595
00668,2020-11-23,30.25,30.25,95595.0,30.396000000000004,29.296
00668K,2020-11-23,10.58,10.58,100.0,10.642,10.2395
00669R,2020-11-23,9.71,9.71,4261000.0,9.66,10.0845
00670L,2020-11-23,71.15,71.15,870214.0,71.05999999999999,68.61749999999999
00671R,2020-11-23,6.98,6.98,4456100.0,6.992,7.161
00673R,2020-11-23,28.3,28.3,453000.0,28.676,30.573
00674R,2020-11-23,12.95,12.95,377000.0,12.930000000000001,12.830000000000002
00675L,2020-11-23,30.51,30.51,388000.0,29.827999999999996,27.2765
00676R,2020-11-23,4.62,4.62,3470000.0,4.67,4.907
00677U,2020-11-23,3.95,3.95,102333102.0,3.978,4.3020000000000005
00678,2020-11-23,25.67,25.67,410777.0,25.658000000000005,25.3675
00680L,2020-11-23,30.47,30.47,91000.0,29.889999999999997,29.6555
00681R,2020-11-23,12.5,12.5,0.0,12.62,12.706
00682U,2020-11-23,18.41,18.41,38324.0,18.396,18.483999999999998
00683L,2020-11-23,17.39,17.39,747000.0,17.412,17.598
00684R,2020-11-23,18.86,18.86,0.0,18.845999999999997,18.769
00685L,2020-11-23,26.82,26.82,17000.0,26.2,23.968
00686R,2020-11-23,5.04,5.04,692000.0,5.101999999999999,5.3575
00688L,2020-11-23,30.6,30.6,112000.0,30.076,29.816000000000003
00689R,2020-11-23,12.84,12.84,107000.0,12.968,13.0575
00690,2020-11-23,27.98,27.98,107442.0,27.106420000000004,25.71531
00692,2020-11-23,28.76,28.76,2590451.0,28.492,27.570000000000004
00693U,2020-11-23,18.49,18.49,4777270.0,18.21,17.2395
00700,2020-11-23,19.5,19.5,116147.0,19.416000000000004,19.012999999999998
00701,2020-11-23,21.64,21.64,1625985.0,21.576,20.9915
00702,2020-11-23,17.04,17.04,18324.0,17.106,16.3175
00703,2020-11-23,25.46,25.46,103000.0,25.086000000000002,24.9775
00706L,2020-11-23,18.15,18.15,14000.0,18.072,17.9675
00707R,2020-11-23,18.67,18.67,0.0,18.754,18.8545
00708L,2020-11-23,30.0,30.0,1770000.0,30.074,30.719
00709,2020-11-23,20.5,20.5,113106.0,20.376,19.345000000000002
00710B,2020-11-23,18.429,18.67,688000.0,18.3875,18.24289
00711B,2020-11-23,22.1968,22.38,154547.0,22.085739999999998,21.786695
00712,2020-11-23,11.9645,12.13,2361436.0,11.798820000000001,10.989500000000001
00713,2020-11-23,33.81,33.81,237736.0,34.748000000000005,33.484745
00714,2020-11-23,18.78,18.78,9500.0,18.89,18.2375
00715L,2020-11-23,3.75,3.75,67865599.0,3.5799999999999996,3.1965
00717,2020-11-23,16.78,16.78,887472.0,16.776,16.5715
00728,2020-11-23,24.75,24.75,293709.0,24.422,23.1535
00730,2020-11-23,17.46,17.46,802960.0,17.328,16.9035
00731,2020-11-23,47.3,47.3,1199777.0,47.452,45.824865
00732,2020-11-23,39.29,39.29,100076.0,39.296,38.9745
00733,2020-11-23,25.0,25.0,239888.0,24.582,24.183
00735,2020-11-23,27.73,27.73,194000.0,27.318,25.9625
00736,2020-11-23,21.84,21.84,148282.0,21.604000000000003,20.955000000000002
00737,2020-11-23,28.07,28.07,229486.0,27.636000000000003,26.312
00738U,2020-11-23,25.65,25.65,1498000.0,25.754,25.7865
00739,2020-11-23,26.9,26.9,440626.0,26.419999999999998,25.968
00742,2020-11-23,20.5606,21.55,140007.0,20.570140000000002,20.16939
00743,2020-11-23,27.94,27.94,365904.0,27.554000000000002,26.8855
00752,2020-11-23,30.54,30.54,1362579.0,30.174,30.194
00753L,2020-11-23,39.18,39.18,682998.0,38.05,37.7965
00757,2020-11-23,39.68,39.68,640390.0,39.552,39.580499999999994
00762,2020-11-23,33.18,33.18,119143.0,32.9,32.2255
00763U,2020-11-23,21.71,21.71,210400.0,21.284,20.7245
00770,2020-11-23,30.98,30.98,78400.0,31.014,30.4615
00771,2020-11-23,19.18,19.18,26139.0,19.276,19.0655
00774B,2020-11-23,38.56,38.56,402000.0,38.562,38.2735
00775B,2020-11-23,45.8,45.8,202000.0,45.42999999999999,44.710165
00783,2020-11-23,22.2,22.2,1157325.0,21.838,21.404
008201,2020-11-23,126.0,126.0,10900.0,124.3,121.73249999999999
00830,2020-11-23,23.3,23.3,1120519.0,23.168,22.151
00850,2020-11-23,27.67,27.67,5053269.0,27.895999999999997,26.785500000000003
00851,2020-11-23,27.46,27.46,49100.0,27.381999999999998,27.124000000000002
00852L,2020-11-23,15.28,15.28,3903086.0,15.447999999999999,14.35
00861,2020-11-23,25.16,25.16,1760718.0,25.080000000000002,24.063
00865B,2020-11-23,37.55,37.55,431000.0,37.524,37.644
00866,2020-11-23,21.65,21.65,26000.0,21.68,20.967000000000002
00875,2020-11-23,26.56,26.56,1139732.0,26.234,25.651
00876,2020-11-23,24.26,24.26,3059692.0,24.002,22.842
00878,2020-11-23,15.4,15.4,28504109.0,15.238,14.826999999999998
01001T,2020-11-23,18.39,18.39,105000.0,18.386000000000003,18.378999999999998
01002T,2020-11-23,18.71,18.71,355000.0,18.682,18.4945
01003T,2020-11-23,19.57,19.57,26152.0,19.622000000000003,19.8005
