identifier,date_,open_,close_
00657K,2020-06-03,9.35,9.35
00660,2020-06-03,22.67,22.73
00661,2020-06-03,28.62,28.51
00662,2020-06-03,37.26,37.36
00663L,2020-06-03,42.22,42.73
00664R,2020-06-03,11.26,11.21
00665L,2020-06-03,21.47,21.55
00666R,2020-06-03,13.56,13.42
00668,2020-06-03,27.96,28.08
00668K,2020-06-03,9.38,9.38
00669R,2020-06-03,11.58,11.56
00670L,2020-06-03,48.36,48.28
00671R,2020-06-03,9.0,9.04
00673R,2020-06-03,33.6,33.51
00674R,2020-06-03,14.16,14.19
00675L,2020-06-03,18.41,18.64
00676R,2020-06-03,6.1,6.06
00677U,2020-06-03,5.87,5.85
00678,2020-06-03,25.95,26.0
00680L,2020-06-03,31.01,30.91
00681R,2020-06-03,12.99,12.98
00682U,2020-06-03,19.5,19.49
00683L,2020-06-03,19.5,19.48
00684R,2020-06-03,18.19,18.2
00685L,2020-06-03,15.61,15.87
00686R,2020-06-03,6.64,6.61
00688L,2020-06-03,31.36,31.4
00689R,2020-06-03,13.29,13.3
00690,2020-06-03,22.39,22.67
00692,2020-06-03,22.36,22.55
00693U,2020-06-03,13.73,13.7
00700,2020-06-03,18.8,18.87
00701,2020-06-03,20.62,20.82
00702,2020-06-03,16.78,16.81
00703,2020-06-03,21.22,21.14
00706L,2020-06-03,16.89,16.92
00707R,2020-06-03,19.71,19.75
00708L,2020-06-03,27.5,27.43
00709,2020-06-03,19.0,19.08
00710B,2020-06-03,18.88,19.0
00711B,2020-06-03,21.86,21.82
00712,2020-06-03,10.17,10.21
00713,2020-06-03,31.33,31.58
00714,2020-06-03,18.7,18.74
00715L,2020-06-03,5.65,5.94
00717,2020-06-03,16.8,16.83
00728,2020-06-03,19.51,19.69
00730,2020-06-03,16.9,17.17
00731,2020-06-03,45.18,45.53
00732,2020-06-03,37.88,37.85
00733,2020-06-03,21.17,21.38
00735,2020-06-03,20.4,20.51
00736,2020-06-03,18.06,18.2
00737,2020-06-03,23.35,23.44
00738U,2020-06-03,20.11,19.93
00739,2020-06-03,21.02,21.12
00742,2020-06-03,20.82,20.97
00743,2020-06-03,20.83,20.92
00752,2020-06-03,23.73,24.1
00753L,2020-06-03,24.73,24.87
00757,2020-06-03,28.52,28.67
00762,2020-06-03,28.18,28.05
00763U,2020-06-03,17.08,17.0
00770,2020-06-03,26.85,26.81
00771,2020-06-03,18.97,19.05
00774B,2020-06-03,39.17,39.11
00775B,2020-06-03,44.9,44.9
00783,2020-06-03,18.6,18.6
008201,2020-06-03,98.5,98.5
00830,2020-06-03,17.86,17.92
00850,2020-06-03,21.74,21.85
00851,2020-06-03,23.29,23.29
00852L,2020-06-03,12.45,12.46
00861,2020-06-03,21.0,20.99
00865B,2020-06-03,39.45,39.46
00866,2020-06-03,19.01,19.01
00875,2020-06-03,25.3,25.21
01001T,2020-06-03,16.89,16.68
01002T,2020-06-03,17.03,17.02
01003T,2020-06-03,18.91,18.91
01004T,2020-06-03,14.59,14.59
01007T,2020-06-03,17.52,17.67
1101,2020-06-03,43.5,43.65
1102,2020-06-03,44.8,45.2
1103,2020-06-03,16.85,16.9
1104,2020-06-03,17.85,18.05
1108,2020-06-03,9.31,9.66
1109,2020-06-03,17.95,18.05
1110,2020-06-03,16.25,16.2
1201,2020-06-03,22.45,22.45
1203,2020-06-03,28.55,28.5
1210,2020-06-03,43.8,44.1
1213,2020-06-03,6.0,6.0
1305,2020-06-03,19.6,19.6
1215,2020-06-03,72.9,73.5
1216,2020-06-03,74.8,74.3
1217,2020-06-03,7.17,7.2
1218,2020-06-03,25.0,24.9
1219,2020-06-03,19.25,19.2
1220,2020-06-03,10.8,10.85
1225,2020-06-03,37.9,37.9
1227,2020-06-03,66.1,65.8
1229,2020-06-03,42.3,42.4
1231,2020-06-03,42.1,42.15
1232,2020-06-03,120.5,123.0
1233,2020-06-03,36.5,36.35
1234,2020-06-03,33.0,33.1
1235,2020-06-03,25.9999,25.9999
1236,2020-06-03,12.1,12.15
1256,2020-06-03,214.5,213.5
1301,2020-06-03,85.9,86.1
1303,2020-06-03,64.5,65.0
1304,2020-06-03,12.05,12.3
1307,2020-06-03,23.3,23.4
1308,2020-06-03,18.69,19.2675
1309,2020-06-03,14.2,15.1
1310,2020-06-03,16.6,16.65
1312,2020-06-03,14.55,14.85
1312A,2020-06-03,30.5,30.45
1313,2020-06-03,9.46,9.65
1314,2020-06-03,8.33,8.44
1315,2020-06-03,57.6,57.2
1316,2020-06-03,11.05,11.15
1319,2020-06-03,38.6,38.85
1321,2020-06-03,31.55,32.6
1323,2020-06-03,33.0,33.45
1324,2020-06-03,9.76,9.7
1325,2020-06-03,162.0,173.5
1326,2020-06-03,73.9,74.9
1337,2020-06-03,5.28,5.33
1338,2020-06-03,53.4,54.9
1339,2020-06-03,45.35,45.8
1340,2020-06-03,10.3,10.35
1449,2020-06-03,17.3,17.9
1402,2020-06-03,27.55,27.8
1409,2020-06-03,11.0,11.1
1410,2020-06-03,30.65,31.15
1413,2020-06-03,7.14,7.2
1414,2020-06-03,6.65,6.7
1416,2020-06-03,11.4,11.5
1417,2020-06-03,8.25,8.4
1419,2020-06-03,40.6,41.5
1423,2020-06-03,10.7,10.75
1432,2020-06-03,6.0,6.0
1434,2020-06-03,35.8,36.05
1435,2020-06-03,8.66,8.63
1436,2020-06-03,37.6,37.75
1437,2020-06-03,21.2,21.25
1438,2020-06-03,12.45,12.3
1439,2020-06-03,36.7,36.7
1440,2020-06-03,9.25,9.34
1441,2020-06-03,7.04,7.08
1442,2020-06-03,18.05,18.05
1443,2020-06-03,9.0,9.08
1444,2020-06-03,7.35,7.29
1445,2020-06-03,8.39,8.3
1446,2020-06-03,29.85,29.65
1447,2020-06-03,6.05,6.03
1451,2020-06-03,15.0,15.15
1452,2020-06-03,17.15,17.1
1453,2020-06-03,7.29,7.35
1454,2020-06-03,7.85,7.95
1455,2020-06-03,7.13,7.08
1456,2020-06-03,9.43,9.95
1457,2020-06-03,12.05,12.1
1459,2020-06-03,7.65,7.67
1460,2020-06-03,7.99,8.0
1463,2020-06-03,11.95,11.9
1464,2020-06-03,21.4,21.45
1465,2020-06-03,15.4,15.35
1466,2020-06-03,13.3,13.3
1467,2020-06-03,16.95,16.7
1468,2020-06-03,9.91,9.91
1470,2020-06-03,18.9,18.75
1471,2020-06-03,2.17,2.2
1472,2020-06-03,11.25,11.25
1473,2020-06-03,20.3,20.4
1474,2020-06-03,11.05,10.9
1476,2020-06-03,312.5,314.5
1477,2020-06-03,147.0,149.0
1503,2020-06-03,45.85,46.1
1504,2020-06-03,28.1,28.1
1506,2020-06-03,12.7,12.55
1507,2020-06-03,57.6,57.7
1512,2020-06-03,5.47,6.03
1513,2020-06-03,28.3,28.1
1514,2020-06-03,21.35,21.45
1515,2020-06-03,82.5,80.5
1516,2020-06-03,13.6,13.65
1517,2020-06-03,8.05,8.07
1519,2020-06-03,26.2,26.15
1521,2020-06-03,60.0,60.3
1522,2020-06-03,23.8,23.9
1524,2020-06-03,8.82,8.85
1525,2020-06-03,47.1,47.85
1526,2020-06-03,32.0,32.2
1527,2020-06-03,41.5,41.4
1528,2020-06-03,7.79,7.8
1529,2020-06-03,14.65,14.6
1530,2020-06-03,31.95,32.0
1531,2020-06-03,12.6,12.65
1532,2020-06-03,28.0,28.05
1533,2020-06-03,26.9,27.4
1535,2020-06-03,32.6,32.85
1536,2020-06-03,95.5,98.0
1537,2020-06-03,144.0,145.0
1538,2020-06-03,3.7,3.76
1539,2020-06-03,18.0,18.1
1540,2020-06-03,16.45,16.6
1541,2020-06-03,39.6,39.2
1558,2020-06-03,134.5,135.0
1560,2020-06-03,61.1,61.1
1568,2020-06-03,16.0,16.0
1582,2020-06-03,82.4,82.9
1583,2020-06-03,61.3,61.4
1587,2020-06-03,12.85,13.0
1589,2020-06-03,61.2,61.7
1590,2020-06-03,506.0,509.0
1592,2020-06-03,11.0,11.9
1598,2020-06-03,48.3,47.85
1603,2020-06-03,26.75,26.6
1604,2020-06-03,20.35,20.45
1605,2020-06-03,13.85,14.2
1608,2020-06-03,9.33,9.4
1609,2020-06-03,10.85,10.9
1611,2020-06-03,13.95,13.8
1612,2020-06-03,10.15,10.1
1614,2020-06-03,31.6,31.6
1615,2020-06-03,22.5,22.5
1616,2020-06-03,4.26,4.35
1617,2020-06-03,11.4,11.35
1618,2020-06-03,8.12,8.18
1626,2020-06-03,26.6,26.75
1701,2020-06-03,21.45,21.55
1760,2020-06-03,136.5,134.0
1702,2020-06-03,45.45,45.55
1707,2020-06-03,193.0,193.0
1708,2020-06-03,24.3,24.25
1709,2020-06-03,13.4,13.4
1710,2020-06-03,17.05,17.25
1711,2020-06-03,14.45,14.7
1712,2020-06-03,18.5,18.45
1713,2020-06-03,18.1,18.15
1714,2020-06-03,7.38,7.39
1717,2020-06-03,33.9,32.95
1718,2020-06-03,6.32,6.42
1720,2020-06-03,39.1,39.35
1721,2020-06-03,9.97,9.87
1722,2020-06-03,49.6,49.4
1723,2020-06-03,102.5,105.0
1724,2020-06-03,12.3,12.35
1725,2020-06-03,14.4,14.75
1726,2020-06-03,69.5,69.4
1727,2020-06-03,9.53,9.5
1730,2020-06-03,76.5,76.7
1731,2020-06-03,13.95,13.95
1732,2020-06-03,30.6,31.0
1733,2020-06-03,24.7,24.7
1734,2020-06-03,21.85,21.95
