identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-04-29,8.41,8.41,100.0,11.469999999999999,9.6285
00660,2020-04-29,20.4246,20.76,94000.0,19.89132,19.85689
00661,2020-04-29,25.45,25.45,63000.0,24.634,23.93
00662,2020-04-29,34.03,34.03,928528.0,33.864,32.5925
00663L,2020-04-29,38.31,38.31,196000.0,36.594,34.469
00664R,2020-04-29,11.9,11.9,7252002.0,12.192,11.9935
00665L,2020-04-29,21.61,21.61,183000.0,20.864,20.480999999999998
00666R,2020-04-29,13.44,13.44,80000.0,13.738,13.927000000000001
00668,2020-04-29,8.78,8.78,100.0,12.106,19.299500000000002
00668K,2020-04-29,8.78,8.78,100.0,8.610000000000001,8.402
00669R,2020-04-29,12.39,12.39,10190000.0,12.684000000000001,13.0505
00670L,2020-04-29,40.82,40.82,1833000.0,39.948,37.1555
00671R,2020-04-29,9.96,9.96,2614100.0,10.084,10.561000000000002
00673R,2020-04-29,47.81,47.81,3610150.0,46.712,33.489999999999995
00674R,2020-04-29,14.16,14.16,1031000.0,14.132,14.383499999999998
00675L,2020-04-29,16.74,16.74,716348.0,15.988,15.068999999999999
00676R,2020-04-29,6.43,6.43,7074100.0,6.5920000000000005,6.8225
00677U,2020-04-29,6.85,6.85,237053484.0,7.481999999999999,7.649000000000001
00678,2020-04-29,24.4,24.4,154564.0,24.34,21.851499999999998
00680L,2020-04-29,34.26,34.26,56000.0,34.422000000000004,33.87050000000001
00681R,2020-04-29,12.38,12.38,35000.0,12.382,12.5145
00682U,2020-04-29,19.82,19.82,20000.0,19.95,19.942
00683L,2020-04-29,20.31,20.31,12000.0,20.5,20.426
00684R,2020-04-29,17.98,17.98,17000.0,17.939999999999998,17.9725
00685L,2020-04-29,14.6,14.6,51000.0,14.028,13.2055
00686R,2020-04-29,7.01,7.01,1477000.0,7.194,7.447000000000001
00688L,2020-04-29,34.87,34.87,104000.0,35.04600000000001,34.534000000000006
00689R,2020-04-29,12.68,12.68,164000.0,12.672,12.8025
00690,2020-04-29,20.9021,21.51,187296.0,20.37736,19.917735
00692,2020-04-29,21.61,21.61,3104413.0,21.192,20.7175
00693U,2020-04-29,13.85,13.85,7353500.0,14.034,13.875499999999999
00700,2020-04-29,18.7,18.7,113349.0,18.458000000000002,18.3035
00701,2020-04-29,19.89,19.89,3278699.0,19.408,19.1535
00702,2020-04-29,16.2405,16.45,56000.0,15.626420000000001,15.524244999999999
00703,2020-04-29,20.2,20.2,110000.0,20.1,19.7365
00706L,2020-04-29,17.69,17.69,264000.0,17.468,17.294999999999998
00707R,2020-04-29,19.34,19.34,4000.0,19.53,19.5795
00708L,2020-04-29,27.91,27.91,4448000.0,28.089999999999996,27.389499999999998
00709,2020-04-29,17.2,17.2,106000.0,16.901999999999997,16.762
00710B,2020-04-29,17.5524,18.28,308001.0,17.594640000000002,17.374744999999997
00711B,2020-04-29,19.3511,19.94,105000.0,19.442320000000002,19.37971
