identifier,date_,open_,close_,MA_5,MA_20
00657K,2020-11-19,31.73,31.59,27.668,23.413500000000003
00660,2020-11-19,24.04,24.2,23.912,22.6425
00661,2020-11-19,32.12,32.12,32.14,30.601999999999997
00662,2020-11-19,43.65,43.48,43.814,43.0565
00663L,2020-11-19,69.15,69.2,67.18,62.01249999999999
00664R,2020-11-19,8.62,8.6,8.742,9.1245
00665L,2020-11-19,24.19,24.01,24.224,23.022
00666R,2020-11-19,11.82,11.85,11.77,12.2455
00668,2020-11-19,30.23,30.25,30.363999999999997,29.200500000000005
00668K,2020-11-19,10.59,10.59,10.638,10.2015
00669R,2020-11-19,9.68,9.7,9.658,10.132
00670L,2020-11-19,70.0,69.85,71.00999999999999,68.0175
00671R,2020-11-19,7.04,7.06,6.99,7.197500000000001
00673R,2020-11-19,28.92,28.77,29.118000000000002,30.760499999999997
00674R,2020-11-19,12.96,13.0,12.88,12.828999999999999
00675L,2020-11-19,29.74,29.8,28.910000000000004,26.7685
00676R,2020-11-19,4.68,4.67,4.756,4.9555
00677U,2020-11-19,4.04,3.99,3.9939999999999998,4.3355
00678,2020-11-19,25.52,25.42,25.851999999999997,25.372
00680L,2020-11-19,29.8,29.89,29.462,29.452999999999996
00681R,2020-11-19,12.61,12.62,12.709999999999999,12.742999999999999
00682U,2020-11-19,18.4,18.41,18.408,18.5075
00683L,2020-11-19,17.43,17.44,17.464,17.6205
00684R,2020-11-19,18.82,18.86,18.818,18.7685
00685L,2020-11-19,26.17,26.2,25.418,23.526
00686R,2020-11-19,5.11,5.11,5.19,5.404
00688L,2020-11-19,30.11,30.11,29.666000000000004,29.600500000000004
00689R,2020-11-19,12.97,12.97,13.070000000000002,13.102500000000001
00690,2020-11-19,27.78,27.72,27.28,26.174
00692,2020-11-19,28.48,28.44,28.292,27.3485
00693U,2020-11-19,18.13,18.14,17.9,17.051000000000002
00700,2020-11-19,19.38,19.32,19.368000000000002,18.904500000000002
00701,2020-11-19,21.6,21.56,21.512,20.842999999999996
00702,2020-11-19,17.1,17.08,17.03,16.2225
00703,2020-11-19,24.88,24.76,25.008,24.884
00706L,2020-11-19,18.11,18.12,17.934,17.919999999999998
00707R,2020-11-19,18.67,18.67,18.838,18.874499999999998
00708L,2020-11-19,29.9,29.8,30.288,30.7935
00709,2020-11-19,20.24,20.3,20.25,19.189500000000002
00710B,2020-11-19,18.61,18.62,18.564,18.4565
00711B,2020-11-19,22.24,22.26,22.206,21.903
00712,2020-11-19,12.0,11.95,11.654,11.001
00713,2020-11-19,35.44,35.38,35.176,34.59
00714,2020-11-19,19.09,18.78,18.938,18.1445
00715L,2020-11-19,3.55,3.55,3.44,3.162
00717,2020-11-19,16.8,16.74,16.734,16.555
00728,2020-11-19,24.35,24.52,23.82,22.864
00730,2020-11-19,17.32,17.31,17.204,16.8075
00731,2020-11-19,47.05,47.05,47.815999999999995,47.022000000000006
00732,2020-11-19,39.3,39.3,39.17999999999999,38.923
00733,2020-11-19,24.42,24.45,24.212,24.113
00735,2020-11-19,27.37,27.05,26.919999999999998,25.7455
00736,2020-11-19,21.58,21.5,21.374000000000002,20.8365
00737,2020-11-19,27.43,27.36,27.2,26.049500000000002
00738U,2020-11-19,25.67,25.55,25.939999999999998,25.7845
00739,2020-11-19,26.2,26.3,26.128000000000004,25.887
00742,2020-11-19,21.65,21.55,21.503999999999998,21.058
00743,2020-11-19,27.22,27.43,27.252,26.7185
00752,2020-11-19,30.25,29.91,30.188,30.1935
00753L,2020-11-19,38.0,37.33,38.132,37.643
00757,2020-11-19,39.36,39.26,39.674,39.558
00762,2020-11-19,32.6,32.58,32.714,32.144999999999996
00763U,2020-11-19,21.08,21.07,21.002,20.612000000000002
00770,2020-11-19,30.84,30.76,31.264,30.437
00771,2020-11-19,19.31,19.31,19.284,19.055500000000002
00774B,2020-11-19,38.59,38.56,38.471999999999994,38.223
00775B,2020-11-19,45.33,45.33,45.198,44.7815
00783,2020-11-19,21.69,21.71,21.636000000000003,21.3125
