identifier,date_,open_,close_
00657K,2020-08-18,28.5,28.59
00660,2020-08-18,23.78,23.69
00661,2020-08-18,29.18,29.18
00662,2020-08-18,42.74,42.78
00663L,2020-08-18,59.45,59.0
00664R,2020-08-18,9.36,9.42
00665L,2020-08-18,24.08,23.68
00666R,2020-08-18,12.43,12.38
00668,2020-08-18,29.84,29.73
00668K,2020-08-18,10.06,10.06
00669R,2020-08-18,10.46,10.49
00670L,2020-08-18,65.05,65.0
00671R,2020-08-18,7.59,7.62
00673R,2020-08-18,28.92,28.92
00674R,2020-08-18,12.37,12.32
00675L,2020-08-18,25.81,25.41
00676R,2020-08-18,5.07,5.1
00677U,2020-08-18,4.7,4.68
00678,2020-08-18,25.82,25.95
00680L,2020-08-18,31.82,31.78
00681R,2020-08-18,12.53,12.56
00682U,2020-08-18,18.55,18.55
00683L,2020-08-18,17.61,17.57
00684R,2020-08-18,19.07,18.97
00685L,2020-08-18,22.81,22.63
00686R,2020-08-18,5.56,5.58
00688L,2020-08-18,32.16,32.16
00689R,2020-08-18,12.9,12.88
00690,2020-08-18,26.14,25.96
00692,2020-08-18,26.95,26.83
00693U,2020-08-18,14.29,14.26
00700,2020-08-18,19.79,19.59
00701,2020-08-18,21.43,21.42
00702,2020-08-18,16.72,16.63
00703,2020-08-18,23.55,23.55
00706L,2020-08-18,17.67,17.72
00707R,2020-08-18,19.2,19.2
00708L,2020-08-18,34.6,34.93
00709,2020-08-18,20.05,20.04
00710B,2020-08-18,19.03,19.0
00711B,2020-08-18,23.1,23.06
00712,2020-08-18,11.35,11.37
00713,2020-08-18,33.33,33.28
00714,2020-08-18,18.8,18.83
00715L,2020-08-18,4.54,4.51
00717,2020-08-18,16.88,16.91
00728,2020-08-18,22.85,22.7
00730,2020-08-18,17.9,17.83
00731,2020-08-18,48.24,48.25
00732,2020-08-18,38.2,38.2
00733,2020-08-18,25.85,25.75
00735,2020-08-18,24.82,24.76
00736,2020-08-18,20.25,20.24
00737,2020-08-18,25.0,25.03
00738U,2020-08-18,29.58,30.0
00739,2020-08-18,26.1,26.04
00742,2020-08-18,21.37,21.42
00743,2020-08-18,26.46,26.46
00752,2020-08-18,27.43,27.42
00753L,2020-08-18,32.71,32.99
00757,2020-08-18,36.5,36.51
00762,2020-08-18,30.58,30.52
00763U,2020-08-18,19.45,19.41
00770,2020-08-18,30.03,30.02
00771,2020-08-18,19.37,19.35
00774B,2020-08-18,38.85,38.9
00775B,2020-08-18,46.7,46.7
00783,2020-08-18,22.5,22.71
008201,2020-08-18,118.5,119.25
00830,2020-08-18,20.82,20.84
00850,2020-08-18,26.35,26.22
00851,2020-08-18,26.92,26.92
00852L,2020-08-18,14.16,14.11
00861,2020-08-18,24.0,23.95
00865B,2020-08-18,38.82,38.82
00866,2020-08-18,20.65,20.66
00875,2020-08-18,26.54,26.54
00876,2020-08-18,21.85,21.69
00878,2020-08-18,15.3,15.27
01001T,2020-08-18,17.22,17.3
01002T,2020-08-18,18.05,18.01
01003T,2020-08-18,19.27,19.3
01004T,2020-08-18,15.16,15.2
1101,2020-08-18,43.45,44.0
1102,2020-08-18,43.0,43.3
1103,2020-08-18,17.1,16.9
1104,2020-08-18,18.8,18.85
1108,2020-08-18,10.9,10.75
1109,2020-08-18,18.5,18.4
1110,2020-08-18,16.4,16.25
1201,2020-08-18,20.9,20.8
1203,2020-08-18,30.5,30.7
1210,2020-08-18,49.0,48.95
1213,2020-08-18,9.5,9.5
1215,2020-08-18,72.2,72.2
1305,2020-08-18,19.6,19.45
1216,2020-08-18,69.0,68.7
