identifier,date_,open_,close_
00657K,2020-02-12,9.86,9.86
00662,2020-02-12,36.8,36.79
00663L,2020-02-12,45.31,45.8
00664R,2020-02-12,11.6,11.53
00665L,2020-02-12,26.08,26.28
00666R,2020-02-12,12.82,12.74
00668,2020-02-12,31.78,31.73
00668K,2020-02-12,10.6,10.6
00669R,2020-02-12,11.1,11.08
00670L,2020-02-12,51.65,52.0
00671R,2020-02-12,10.0,9.96
00673R,2020-02-12,15.82,15.67
00674R,2020-02-12,16.04,16.04
00675L,2020-02-12,19.53,19.83
00676R,2020-02-12,6.28,6.24
00677U,2020-02-12,2.6,2.58
00678,2020-02-12,23.8,23.76
00680L,2020-02-12,25.88,25.77
00681R,2020-02-12,15.14,15.14
00682U,2020-02-12,19.62,19.5
00683L,2020-02-12,19.92,19.92
00684R,2020-02-12,18.15,18.15
00685L,2020-02-12,17.35,17.58
00686R,2020-02-12,6.85,6.8
00688L,2020-02-12,26.08,26.08
00689R,2020-02-12,15.46,15.46
00690,2020-02-12,23.6,23.74
00692,2020-02-12,23.58,23.73
00693U,2020-02-12,14.53,14.5
00700,2020-02-12,20.28,20.32
00701,2020-02-12,21.8,21.9
00702,2020-02-12,21.13,21.13
00703,2020-02-12,21.36,21.38
00706L,2020-02-12,16.99,17.02
00707R,2020-02-12,20.14,20.14
00708L,2020-02-12,23.72,23.69
00709,2020-02-12,21.46,21.4
00710B,2020-02-12,20.24,20.23
00711B,2020-02-12,22.77,22.76
00712,2020-02-12,19.0,18.97
00713,2020-02-12,31.7,31.77
00714,2020-02-12,23.0,23.01
00715L,2020-02-12,16.65,16.96
00717,2020-02-12,19.67,19.67
00728,2020-02-12,20.2,20.38
00730,2020-02-12,18.16,18.26
00731,2020-02-12,47.49,47.57
00732,2020-02-12,38.66,38.66
00733,2020-02-12,20.82,21.02
00735,2020-02-12,21.6,21.57
00736,2020-02-12,20.26,20.29
00737,2020-02-12,23.89,23.95
00738U,2020-02-12,19.72,19.65
00739,2020-02-12,21.0,21.18
00742,2020-02-12,20.34,20.34
00743,2020-02-12,21.25,21.28
00752,2020-02-12,24.66,24.93
00753L,2020-02-12,27.23,27.62
00757,2020-02-12,27.27,27.24
00762,2020-02-12,27.5,27.78
00763U,2020-02-12,17.98,18.04
00770,2020-02-12,26.78,26.76
00771,2020-02-12,20.88,20.86
00774B,2020-02-12,40.3,40.3
00775B,2020-02-12,46.35,46.39
00783,2020-02-12,18.32,18.61
008201,2020-02-12,100.7,101.05
00830,2020-02-12,18.23,18.33
00850,2020-02-12,22.87,23.03
00851,2020-02-12,23.03,23.08
00852L,2020-02-12,18.32,18.4
00861,2020-02-12,21.22,21.33
00865B,2020-02-12,39.32,39.32
00866,2020-02-12,20.88,20.88
01001T,2020-02-12,16.27,16.25
01002T,2020-02-12,17.8,17.8
01003T,2020-02-12,18.0,18.0
01004T,2020-02-12,13.96,13.97
01007T,2020-02-12,17.36,17.35
1101,2020-02-12,42.6,42.8
1102,2020-02-12,46.0,46.1
1103,2020-02-12,19.9,19.95
1104,2020-02-12,18.1,18.05
1108,2020-02-12,7.8,7.8
1109,2020-02-12,17.35,17.55
1110,2020-02-12,16.9,16.9
1201,2020-02-12,21.7,21.7
1203,2020-02-12,27.0,26.8
1210,2020-02-12,40.75,40.65
1305,2020-02-12,19.0,19.1
1215,2020-02-12,61.9,61.7
1216,2020-02-12,74.4,74.4
1217,2020-02-12,7.16,7.1
1218,2020-02-12,20.1,20.05
1219,2020-02-12,17.95,18.0
1220,2020-02-12,10.25,10.2
1225,2020-02-12,32.55,32.85
1227,2020-02-12,71.1,71.0
1229,2020-02-12,38.0,38.0
1231,2020-02-12,41.05,41.05
1232,2020-02-12,121.5,123.0
1233,2020-02-12,38.5,38.2
1234,2020-02-12,32.9,32.9
1235,2020-02-12,22.05,22.2
1236,2020-02-12,13.25,13.2
1256,2020-02-12,200.0,204.0
1301,2020-02-12,93.5,94.0
1303,2020-02-12,70.0,69.8
1304,2020-02-12,12.35,12.35
1307,2020-02-12,22.0,22.0
1308,2020-02-12,14.8575,15.0675
1309,2020-02-12,9.65,9.73
1310,2020-02-12,18.15,18.25
1312,2020-02-12,16.7,17.15
1313,2020-02-12,10.0,10.0
1314,2020-02-12,8.25,8.24
1315,2020-02-12,51.9,51.5
1316,2020-02-12,12.5,12.55
1319,2020-02-12,41.0,41.5
1321,2020-02-12,32.6,32.55
1323,2020-02-12,33.05,33.4
1324,2020-02-12,9.51,9.63
1325,2020-02-12,27.2,25.6
1326,2020-02-12,83.9,84.9
1337,2020-02-12,5.3,5.3
1338,2020-02-12,58.5,59.8
1339,2020-02-12,49.05,50.6
1449,2020-02-12,11.85,12.3
1340,2020-02-12,13.15,13.45
1402,2020-02-12,28.5,28.6
1409,2020-02-12,12.5,12.35
1410,2020-02-12,28.3,28.5
1413,2020-02-12,9.76,9.41
1414,2020-02-12,6.92,6.94
1416,2020-02-12,12.3,12.3
1418,2020-02-12,7.28,7.0
1419,2020-02-12,40.05,40.4
1423,2020-02-12,10.2,10.2
1432,2020-02-12,5.8,5.72
1434,2020-02-12,33.65,33.65
1435,2020-02-12,8.25,8.93
1436,2020-02-12,38.95,39.15
1437,2020-02-12,22.55,22.75
1438,2020-02-12,12.6,12.6
1439,2020-02-12,33.6,33.7
1440,2020-02-12,10.05,10.1
1441,2020-02-12,9.3,9.25
1442,2020-02-12,18.2,18.5
1443,2020-02-12,9.39,9.27
1444,2020-02-12,9.1,9.03
1445,2020-02-12,7.16,7.21
1446,2020-02-12,33.1,33.15
1447,2020-02-12,6.67,6.72
1451,2020-02-12,20.55,20.65
1452,2020-02-12,18.0,18.05
1453,2020-02-12,8.14,8.14
1454,2020-02-12,7.83,7.78
1455,2020-02-12,7.25,7.26
1456,2020-02-12,10.65,10.7
1457,2020-02-12,13.7,13.7
1459,2020-02-12,6.87,6.82
1460,2020-02-12,8.32,8.31
1463,2020-02-12,12.65,12.8
1464,2020-02-12,23.6,23.5
1465,2020-02-12,14.95,14.75
1466,2020-02-12,7.91,7.9
1467,2020-02-12,7.84,7.87
1468,2020-02-12,9.92,10.05
1470,2020-02-12,20.95,21.0
1471,2020-02-12,2.62,2.66
1472,2020-02-12,25.55,25.45
1473,2020-02-12,27.9,27.85
1474,2020-02-12,10.35,10.05
1475,2020-02-12,11.15,10.5
1476,2020-02-12,370.0,370.0
1477,2020-02-12,150.0,148.5
1503,2020-02-12,44.8,44.95
1504,2020-02-12,26.95,26.95
1506,2020-02-12,12.7,12.95
1507,2020-02-12,62.4,62.3
1512,2020-02-12,3.61,3.68
1513,2020-02-12,28.2,28.05
1514,2020-02-12,20.55,20.75
1515,2020-02-12,61.0,61.9
1516,2020-02-12,14.85,14.65
1517,2020-02-12,8.95,8.96
1519,2020-02-12,31.9,31.4
1521,2020-02-12,60.9,61.0
1522,2020-02-12,25.55,25.45
1524,2020-02-12,9.4,9.4
1525,2020-02-12,50.2,51.6
1526,2020-02-12,20.25,20.4
1527,2020-02-12,45.8,45.8
1528,2020-02-12,8.08,8.08
1529,2020-02-12,15.0,15.25
1530,2020-02-12,31.0,31.2
1531,2020-02-12,14.55,14.55
1532,2020-02-12,28.9,28.9
1533,2020-02-12,34.6,34.55
1535,2020-02-12,34.2,34.2
1536,2020-02-12,118.0,118.0
1537,2020-02-12,147.5,148.0
1538,2020-02-12,4.51,4.51
1539,2020-02-12,18.85,19.0
1540,2020-02-12,18.15,18.25
1541,2020-02-12,37.7,37.85
1558,2020-02-12,129.0,129.5
1560,2020-02-12,64.0,64.3
1568,2020-02-12,17.7,17.85
1582,2020-02-12,85.8,86.5
1583,2020-02-12,60.0,60.0
1587,2020-02-12,14.2,14.0
1589,2020-02-12,57.2,57.8
1590,2020-02-12,507.0,520.0
1592,2020-02-12,13.8,14.3
1598,2020-02-12,37.0,37.25
1603,2020-02-12,27.0,26.65
1604,2020-02-12,19.55,19.55
1605,2020-02-12,14.2,14.25
1608,2020-02-12,9.07,9.08
1609,2020-02-12,10.8,10.75
1611,2020-02-12,11.4,11.5
1612,2020-02-12,10.5,10.55
1614,2020-02-12,30.0,30.7
1615,2020-02-12,18.8,19.05
1616,2020-02-12,4.93,4.91
1617,2020-02-12,11.6,11.7
1760,2020-02-12,78.9,80.1
1618,2020-02-12,8.7,8.69
1626,2020-02-12,26.6,26.6
1701,2020-02-12,20.4,20.2
1702,2020-02-12,48.85,48.8
1707,2020-02-12,189.0,188.5
1708,2020-02-12,24.45,24.35
1709,2020-02-12,13.15,13.25
1710,2020-02-12,19.2,19.35
1711,2020-02-12,15.15,15.15
1712,2020-02-12,19.15,19.0
1713,2020-02-12,18.1,17.7
1714,2020-02-12,7.97,7.77
1717,2020-02-12,27.1,27.0
1718,2020-02-12,7.67,7.7
1720,2020-02-12,33.65,33.65
1721,2020-02-12,10.4,10.25
1722,2020-02-12,47.35,47.8
1723,2020-02-12,118.0,118.5
1724,2020-02-12,12.85,12.95
1725,2020-02-12,14.7,14.75
1726,2020-02-12,71.1,70.4
1727,2020-02-12,11.55,11.6
1730,2020-02-12,75.6,74.1
1731,2020-02-12,13.95,13.85
1732,2020-02-12,21.6,20.35
1733,2020-02-12,25.0,25.05
1734,2020-02-12,22.2,21.65
1735,2020-02-12,17.6,17.65
1736,2020-02-12,74.8,76.6
1737,2020-02-12,31.8,31.9
1762,2020-02-12,37.85,37.2
1773,2020-02-12,90.3,91.8
1776,2020-02-12,17.75,17.55
1783,2020-02-12,23.0,22.95
1786,2020-02-12,62.6,63.5
1789,2020-02-12,27.9,27.95
1795,2020-02-12,91.4,92.7
1802,2020-02-12,10.25,10.3
1805,2020-02-12,9.06,9.0
1806,2020-02-12,6.12,6.1
1808,2020-02-12,59.8,60.0
1809,2020-02-12,10.0,10.1
1810,2020-02-12,7.88,7.94
1817,2020-02-12,33.75,33.9
1902,2020-02-12,19.85,19.85
1903,2020-02-12,31.55,31.4
1904,2020-02-12,20.15,20.15
1905,2020-02-12,8.92,8.89
1906,2020-02-12,12.9,12.95
1907,2020-02-12,13.5,13.4
1909,2020-02-12,14.1,14.05
2002,2020-02-12,23.4,23.45
2002A,2020-02-12,55.1,55.0
2006,2020-02-12,22.7,22.7
2007,2020-02-12,3.9,3.92
2009,2020-02-12,8.7,8.69
2010,2020-02-12,10.0,10.05
2012,2020-02-12,19.65,19.7
2013,2020-02-12,23.6,23.4
2014,2020-02-12,9.34,9.44
2015,2020-02-12,53.4,53.4
2017,2020-02-12,6.19,6.39
2020,2020-02-12,15.6,15.6
2022,2020-02-12,4.9,4.9
2023,2020-02-12,9.18,9.2
2024,2020-02-12,12.0,12.3
2025,2020-02-12,2.0,2.05
2027,2020-02-12,29.7,29.85
2028,2020-02-12,9.24,9.34
2029,2020-02-12,19.55,19.5
2030,2020-02-12,11.35,11.4
2031,2020-02-12,29.4,29.3
2032,2020-02-12,8.83,8.87
2033,2020-02-12,8.96,8.94
2034,2020-02-12,25.45,25.4
2038,2020-02-12,6.88,6.95
2049,2020-02-12,311.0,310.0
2059,2020-02-12,362.0,360.5
2062,2020-02-12,24.8,24.65
2069,2020-02-12,16.7,16.7
2101,2020-02-12,43.7,45.25
2102,2020-02-12,11.4,11.5
2103,2020-02-12,21.75,22.2
2105,2020-02-12,39.5,39.45
2106,2020-02-12,28.8,28.75
2107,2020-02-12,18.35,18.5
2108,2020-02-12,29.6,29.8
2109,2020-02-12,11.0,11.05
2114,2020-02-12,82.5,82.7
2115,2020-02-12,38.0,38.0
2201,2020-02-12,19.65,20.05
2204,2020-02-12,35.55,35.95
2206,2020-02-12,20.65,20.75
2207,2020-02-12,625.0,630.0
2208,2020-02-12,24.6,24.5
2227,2020-02-12,264.0,265.5
2228,2020-02-12,99.3,102.0
2231,2020-02-12,216.0,217.0
2233,2020-02-12,66.2,66.8
2236,2020-02-12,19.85,19.8
2351,2020-02-12,64.1,63.4
2239,2020-02-12,80.5,83.0
2243,2020-02-12,13.7,14.2
2301,2020-02-12,47.15,47.1
