identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-12-02,33.11,33.11,111000.0,24.415999999999997,21.5305
00660,2020-12-02,24.67,24.67,68008.0,24.631999999999998,23.954
00661,2020-12-02,33.12,33.12,82000.0,33.236000000000004,32.134499999999996
00662,2020-12-02,45.6,45.6,298328.0,45.054,44.166000000000004
00663L,2020-12-02,71.65,71.65,170000.0,70.59,67.25999999999999
00664R,2020-12-02,8.45,8.45,4901000.0,8.508000000000001,8.739500000000001
00665L,2020-12-02,24.15,24.15,156000.0,24.584,24.273500000000002
00666R,2020-12-02,11.82,11.82,107000.0,11.734,11.831
00668,2020-12-02,30.6,30.6,57233.0,30.689999999999998,30.247500000000002
00668K,2020-12-02,10.71,10.71,100.0,10.751999999999999,10.588000000000001
00669R,2020-12-02,9.57,9.57,1767000.0,9.541999999999998,9.7075
00670L,2020-12-02,76.75,76.75,1249100.0,74.91,72.08250000000001
00671R,2020-12-02,6.71,6.71,2761100.0,6.802,6.9505
00673R,2020-12-02,27.12,27.12,305369.0,26.660000000000004,28.5965
00674R,2020-12-02,13.41,13.41,423000.0,13.498000000000001,13.048000000000002
00675L,2020-12-02,30.89,30.89,390000.0,30.392000000000003,28.996999999999996
00676R,2020-12-02,4.59,4.59,4922000.0,4.628,4.749
00677U,2020-12-02,3.84,3.84,81923380.0,3.832,3.9835000000000003
00678,2020-12-02,26.66,26.66,545001.0,26.23,25.843
00680L,2020-12-02,29.02,29.02,167000.0,29.583999999999996,29.622000000000003
00681R,2020-12-02,12.75,12.75,241000.0,12.656,12.683
00682U,2020-12-02,18.16,18.16,109000.0,18.28,18.384
00683L,2020-12-02,16.9,16.9,1215000.0,17.154,17.3825
00684R,2020-12-02,19.08,19.08,6000.0,18.973999999999997,18.8655
00685L,2020-12-02,27.13,27.13,14000.0,26.674,25.468
00686R,2020-12-02,5.02,5.02,197000.0,5.054,5.1855
00688L,2020-12-02,29.15,29.15,104000.0,29.73,29.759499999999996
00689R,2020-12-02,13.17,13.17,100000.0,13.036000000000001,13.0485
00690,2020-12-02,26.98,26.98,122412.0,26.994,26.58832
00692,2020-12-02,28.78,28.78,3036965.0,28.628000000000004,28.226999999999997
00693U,2020-12-02,17.83,17.83,6757000.0,18.116,17.869
00700,2020-12-02,19.36,19.36,117000.0,19.558,19.432
00701,2020-12-02,21.47,21.47,1319798.0,21.518,21.384500000000003
00702,2020-12-02,17.45,17.45,16000.0,17.502,16.968
00703,2020-12-02,24.88,24.88,216000.0,25.196,25.227
00706L,2020-12-02,17.93,17.93,1000.0,18.002000000000002,17.991999999999997
00707R,2020-12-02,18.77,18.77,0.0,18.71,18.794
00708L,2020-12-02,27.92,27.92,5625000.0,27.516,29.616500000000002
00709,2020-12-02,20.8,20.8,112000.0,20.684,20.209
00710B,2020-12-02,18.4783,18.72,1033332.0,18.462539999999997,18.378625
00711B,2020-12-02,21.9786,22.16,128000.0,22.02818,22.008855
00712,2020-12-02,12.1815,12.35,1826236.0,12.329460000000001,11.66121
00713,2020-12-02,33.93,33.93,66100.0,33.912,33.92158
00714,2020-12-02,18.73,18.73,6000.0,18.715999999999998,18.660000000000004
00715L,2020-12-02,4.08,4.08,59255999.0,4.234,3.653
00717,2020-12-02,16.82,16.82,756574.0,16.830000000000002,16.7225
00728,2020-12-02,24.52,24.52,243000.0,24.368,23.9135
00730,2020-12-02,17.82,17.82,1165980.0,17.613999999999997,17.256
00731,2020-12-02,47.28,47.28,1062000.0,47.178,46.787305
00732,2020-12-02,39.35,39.35,100000.0,39.248,39.176500000000004
00733,2020-12-02,26.1,26.1,277090.0,25.671999999999997,24.71
00735,2020-12-02,28.48,28.48,146001.0,27.958000000000006,26.9885
00736,2020-12-02,21.82,21.82,133541.0,21.854000000000003,21.4935
00737,2020-12-02,29.42,29.42,136282.0,29.259999999999998,27.738
00738U,2020-12-02,24.9,24.9,6365000.0,24.25,25.416000000000004
00739,2020-12-02,27.11,27.11,257941.0,26.744,26.450499999999998
00742,2020-12-02,20.4652,21.45,127670.0,20.545319999999997,20.424619999999997
00743,2020-12-02,28.5,28.5,401006.0,27.878000000000004,27.563
00752,2020-12-02,29.96,29.96,3510327.0,30.482,30.442
00753L,2020-12-02,37.66,37.66,1352000.0,38.617999999999995,38.574
00757,2020-12-02,41.38,41.38,753476.0,40.92999999999999,40.1505
00762,2020-12-02,34.6,34.6,155782.0,34.05800000000001,33.1285
00763U,2020-12-02,22.91,22.91,1044000.0,22.582,21.4435
00770,2020-12-02,32.12,32.12,63000.0,31.802,31.242
00771,2020-12-02,19.17,19.17,37000.0,19.198,19.181
00774B,2020-12-02,38.78,38.78,2000.0,38.672000000000004,38.522000000000006
00775B,2020-12-02,45.55,45.55,2000.0,45.583999999999996,45.20632
00783,2020-12-02,22.07,22.07,1122100.0,21.796,21.7395
008201,2020-12-02,129.95,129.95,6100.0,126.63,124.495
00830,2020-12-02,24.6,24.6,808200.0,24.03,23.2295
00850,2020-12-02,27.7,27.7,1831795.0,27.536,27.335999999999995
00851,2020-12-02,28.18,28.18,33000.0,27.996,27.625999999999998
00852L,2020-12-02,15.66,15.66,4002613.0,15.76,15.315999999999999
00861,2020-12-02,25.95,25.95,2049873.0,25.56,24.9085
00865B,2020-12-02,37.59,37.59,201000.0,37.616,37.598
00866,2020-12-02,22.02,22.02,167000.0,22.008000000000003,21.616999999999997
00875,2020-12-02,27.1,27.1,794664.0,27.034000000000002,26.3375
00876,2020-12-02,25.68,25.68,5579701.0,25.112000000000002,23.999000000000002
00878,2020-12-02,15.54,15.54,17380260.0,15.439999999999998,15.145000000000001
01001T,2020-12-02,18.41,18.41,43000.0,18.398000000000003,18.3855
01002T,2020-12-02,18.75,18.75,198000.0,18.788,18.6375
01003T,2020-12-02,19.6,19.6,18000.0,19.544,19.5745
01004T,2020-12-02,16.97,16.97,283000.0,16.913999999999998,16.7645
01007T,2020-12-02,19.8,19.8,41000.0,19.712,19.266205
1101,2020-12-02,43.2,43.2,12633496.0,43.1,42.4575
1102,2020-12-02,43.25,43.25,5169956.0,43.589999999999996,43.495000000000005
1103,2020-12-02,18.3,18.3,848556.0,18.2,17.404999999999998
1104,2020-12-02,22.7,22.7,1527195.0,23.32,22.305
1108,2020-12-02,11.65,11.65,1563115.0,11.67,11.4675
1109,2020-12-02,20.7,20.7,800808.0,20.529999999999998,20.0025
1110,2020-12-02,17.5,17.5,51725.0,17.4,17.1475
1305,2020-12-02,22.55,22.55,9101376.0,23.18,23.017500000000002
1201,2020-12-02,21.4,21.4,1015387.0,21.389999999999997,20.802500000000002
1203,2020-12-02,36.3,36.3,60268.0,36.7,36.25
1210,2020-12-02,46.35,46.35,1403298.0,46.6,46.295
1213,2020-12-02,8.5,8.5,1002.0,8.482,8.6595
1215,2020-12-02,70.9,70.9,750125.0,71.18,71.41
1216,2020-12-02,65.3,65.3,10720218.0,65.94,66.375
1217,2020-12-02,8.25,8.25,2780346.0,8.232,7.952500000000001
1218,2020-12-02,23.5,23.5,777671.0,23.52,23.057499999999997
1219,2020-12-02,19.6,19.6,703832.0,19.44,19.15
1220,2020-12-02,12.45,12.45,802068.0,12.34,12.209999999999999
1225,2020-12-02,32.15,32.15,36113.0,32.08,32.0375
1227,2020-12-02,61.4,61.4,2974197.0,61.96,62.56999999999999
1229,2020-12-02,41.3,41.3,1524605.0,41.470000000000006,41.292500000000004
1231,2020-12-02,44.65,44.65,353054.0,44.83,44.2475
1232,2020-12-02,123.5,123.5,34282.0,124.6,124.775
1233,2020-12-02,35.8,35.8,25084.0,35.83,35.99
1234,2020-12-02,33.0,33.0,297814.0,33.0,32.9775
1235,2020-12-02,23.7351,25.6,61489.62,23.4106,23.345695
1236,2020-12-02,14.2,14.2,212453.0,13.76,13.5875
1256,2020-12-02,315.0,315.0,21522.0,315.6,309.175
1301,2020-12-02,87.7,87.7,7846393.0,87.06,86.685
1307,2020-12-02,22.8,22.8,250127.0,22.84,21.907500000000002
1303,2020-12-02,65.6,65.6,6180658.0,65.44,64.605
1304,2020-12-02,19.75,19.75,11961648.0,19.979999999999997,19.5525
1308,2020-12-02,19.2,19.2,1464235.0,19.36,19.37
1309,2020-12-02,31.4,31.4,10812612.0,32.21999999999999,31.447499999999998
1310,2020-12-02,17.45,17.45,2460563.0,17.44,17.085
1312,2020-12-02,22.7,22.7,21552185.0,23.270000000000003,23.3975
