identifier,date_,adj_close_,close_,volume_,MA_5,MA_20
00657K,2020-07-10,9.41,9.41,100.0,9.472,11.2365
00660,2020-07-10,22.8743,23.25,85000.0,23.285559999999997,22.863509999999998
00662,2020-07-10,40.61,40.61,392000.0,40.166,38.6245
00663L,2020-07-10,49.9,49.9,158000.0,50.42,46.495
00664R,2020-07-10,10.31,10.31,3743000.0,10.258,10.7105
00665L,2020-07-10,24.53,24.53,1197000.0,25.114,22.186
00666R,2020-07-10,12.34,12.34,100000.0,12.178,13.0785
00668,2020-07-10,27.4,27.4,357000.0,27.753999999999998,27.752500000000005
00668K,2020-07-10,9.31,9.31,100.0,9.43,9.4115
00669R,2020-07-10,11.53,11.53,13828000.0,11.315999999999999,11.4075
00670L,2020-07-10,58.4,58.4,1174000.0,57.510000000000005,52.967499999999994
00671R,2020-07-10,8.13,8.13,4128000.0,8.182,8.5705
00673R,2020-07-10,31.74,31.74,632000.0,30.919999999999998,32.019
00674R,2020-07-10,13.55,13.55,415000.0,13.572,13.824000000000002
00675L,2020-07-10,21.72,21.72,498000.0,21.944,20.249000000000002
00676R,2020-07-10,5.59,5.59,3987000.0,5.55,5.796
00677U,2020-07-10,6.16,6.16,364900000.0,5.932,6.3475
00678,2020-07-10,26.75,26.75,347000.0,26.732,25.9985
00680L,2020-07-10,33.23,33.23,159000.0,32.0,31.503500000000003
00681R,2020-07-10,12.38,12.38,105000.0,12.596,12.735
00682U,2020-07-10,19.39,19.39,120000.0,19.378000000000004,19.422
00683L,2020-07-10,19.17,19.17,46000.0,19.130000000000003,19.2195
00684R,2020-07-10,18.38,18.38,6000.0,18.384,18.347
00685L,2020-07-10,18.95,18.95,15000.0,18.982,17.4105
00686R,2020-07-10,6.08,6.08,129000.0,6.058,6.329
00688L,2020-07-10,33.68,33.68,142000.0,32.39399999999999,31.910000000000004
00689R,2020-07-10,12.68,12.68,136000.0,12.918000000000001,13.050999999999998
00690,2020-07-10,23.9437,24.64,429401.0,24.07584,23.035085000000002
00692,2020-07-10,24.48,24.48,4015000.0,24.184,23.407999999999998
00693U,2020-07-10,14.8,14.8,4184000.0,14.838,14.366999999999999
00700,2020-07-10,19.93,19.93,120000.0,20.15,18.96
00701,2020-07-10,21.09,21.09,2328000.0,21.26,20.9355
00702,2020-07-10,15.6383,15.84,64062.0,15.96408,16.205464999999997
00703,2020-07-10,23.92,23.92,620000.0,23.522000000000002,22.039
00706L,2020-07-10,17.29,17.29,14000.0,17.194,17.271499999999996
00707R,2020-07-10,19.42,19.42,1000.0,19.485999999999997,19.477
00708L,2020-07-10,29.64,29.64,6950000.0,29.522000000000002,28.561
00709,2020-07-10,18.9,18.9,131000.0,19.262,19.0045
00710B,2020-07-10,18.0887,18.58,188000.0,18.096539999999997,18.120079999999998
00711B,2020-07-10,21.7168,22.12,317091.0,21.65394,21.408319999999996
00712,2020-07-10,9.5294,9.9,6261700.0,9.84708,10.189625000000001
00713,2020-07-10,30.7575,32.31,137600.0,30.98218,30.217269999999996
00714,2020-07-10,17.7706,18.02,58000.0,18.078300000000002,18.266664999999996
00715L,2020-07-10,5.04,5.04,42980000.0,5.587999999999999,5.9535
00717,2020-07-10,16.0218,16.35,979232.0,16.029639999999997,16.092850000000002
00728,2020-07-10,21.42,21.42,323100.0,21.648000000000003,20.5325
00730,2020-07-10,16.89,17.75,430049.0,16.9795,16.520834999999998
00731,2020-07-10,44.8959,46.9,1296150.0,45.19838,44.236335
00732,2020-07-10,37.94,37.94,102000.0,37.806,37.675
00733,2020-07-10,23.6461,24.0,252857.0,23.96732,22.611605
00735,2020-07-10,22.37,22.37,316000.0,22.439999999999998,21.393499999999996
00736,2020-07-10,19.85,19.85,180050.0,19.786,18.785
00737,2020-07-10,23.77,23.77,558000.0,23.798000000000002,23.253
00738U,2020-07-10,20.49,20.49,2291000.0,20.186,19.651
00739,2020-07-10,25.059,25.56,1601374.0,24.60412,22.10507
00742,2020-07-10,20.5987,21.59,745000.0,20.703660000000003,20.258104999999997
00743,2020-07-10,25.59,25.59,123000.0,25.244,22.482
00752,2020-07-10,28.17,28.17,2007000.0,27.356,25.467999999999996
00753L,2020-07-10,33.97,33.97,2066000.0,33.001999999999995,28.159499999999998
00757,2020-07-10,33.81,33.81,484000.0,32.878,30.671999999999997
00762,2020-07-10,29.75,29.75,505000.0,29.302,28.355
00763U,2020-07-10,19.1,19.1,90000.0,18.884,18.200499999999998
00770,2020-07-10,28.77,28.77,129000.0,28.5,27.543
00771,2020-07-10,18.39,18.39,84000.0,18.357999999999997,18.56
00774B,2020-07-10,37.3401,38.12,122000.0,37.61434,37.86215
00775B,2020-07-10,46.3101,46.99,35000.0,45.63798,45.07131
00783,2020-07-10,22.25,22.25,3290000.0,21.03,19.5185
008201,2020-07-10,117.35,117.35,10500.0,117.1,104.7675
00830,2020-07-10,19.37,19.37,2162000.0,19.134000000000004,18.596
00850,2020-07-10,23.75,23.75,4855000.0,23.744,22.7845
00851,2020-07-10,26.02,26.02,131000.0,25.474,24.2055
00852L,2020-07-10,11.9,11.9,20861000.0,12.302000000000001,12.256499999999999
00861,2020-07-10,22.3,22.3,7581000.0,22.234,21.589000000000002
00865B,2020-07-10,38.94,38.94,124000.0,38.902,39.042
00866,2020-07-10,18.97,18.97,34000.0,19.169999999999998,19.038999999999998
00875,2020-07-10,26.06,26.06,1810461.0,25.704,25.031
00876,2020-07-10,20.66,20.66,29753840.0,20.522,
00878,2020-07-10,15.0,15.0,0.0,,
01001T,2020-07-10,16.75,16.75,13000.0,16.742,16.6845
01002T,2020-07-10,17.01,17.01,1622021.0,16.997999999999998,16.997
01003T,2020-07-10,19.0,19.0,286131.0,19.024,19.064
01004T,2020-07-10,14.5254,14.7,68000.0,14.442359999999999,14.42556
01007T,2020-07-10,17.538,17.75,116750.0,17.56172,17.528609999999997
1101,2020-07-10,40.3914,44.95,18356281.0,40.31052,39.018815000000004
1102,2020-07-10,43.3,46.3,10718289.0,42.925920000000005,41.41789
