identifier,date_,open_,close_,MA_5,MA_20
00657K,2020-07-09,9.49,9.49,9.456,11.2185
00660,2020-07-09,23.66,23.71,23.768,23.28
00661,2020-07-09,28.48,28.48,28.118000000000002,28.304000000000002
00662,2020-07-09,40.47,40.44,39.934000000000005,38.559000000000005
00663L,2020-07-09,51.5,51.0,50.054,46.2915
00664R,2020-07-09,10.16,10.21,10.312,10.745999999999999
00665L,2020-07-09,25.9,25.81,24.494,22.0105
00666R,2020-07-09,12.06,12.02,12.434000000000001,13.145499999999998
00668,2020-07-09,27.9,27.77,27.839999999999996,27.936500000000002
00668K,2020-07-09,9.41,9.44,9.434000000000001,9.442499999999999
00669R,2020-07-09,11.25,11.28,11.282,11.368
00670L,2020-07-09,58.45,58.25,56.93000000000001,52.589999999999996
00671R,2020-07-09,8.11,8.12,8.232,8.600999999999999
00673R,2020-07-09,30.51,30.48,30.742,32.0915
00674R,2020-07-09,13.5,13.42,13.61,13.864
00675L,2020-07-09,22.39,22.17,21.744,20.142500000000002
00676R,2020-07-09,5.5,5.51,5.586,5.8185
00677U,2020-07-09,5.91,5.9,5.888,6.3100000000000005
00678,2020-07-09,26.82,26.86,26.627999999999997,25.9255
00680L,2020-07-09,31.99,32.08,31.660000000000004,31.308999999999997
00681R,2020-07-09,12.59,12.61,12.655999999999999,12.7685
00682U,2020-07-09,19.38,19.28,19.428,19.4255
00683L,2020-07-09,19.05,18.98,19.156,19.232999999999997
00684R,2020-07-09,18.42,18.42,18.378,18.34
00685L,2020-07-09,19.46,19.32,18.766000000000002,17.326
00686R,2020-07-09,6.0,6.02,6.0920000000000005,6.349
00688L,2020-07-09,32.46,32.4,32.096,31.743000000000002
00689R,2020-07-09,12.92,12.92,12.969999999999999,13.081
00690,2020-07-09,24.98,24.99,24.548,23.5935
00692,2020-07-09,24.62,24.62,23.97,23.3155
00693U,2020-07-09,14.9,14.9,14.709999999999999,14.3055
00700,2020-07-09,20.27,20.37,19.692,18.842
00701,2020-07-09,21.33,21.31,21.234,20.917499999999997
00702,2020-07-09,16.11,16.15,16.264000000000003,16.553
00703,2020-07-09,23.68,24.12,23.026,21.844
00706L,2020-07-09,17.19,17.2,17.15,17.276999999999997
00707R,2020-07-09,19.47,19.47,19.504,19.4835
00708L,2020-07-09,29.99,30.16,29.4,28.445000000000004
00709,2020-07-09,19.37,19.36,19.330000000000002,19.0595
00710B,2020-07-09,18.6,18.58,18.59,18.7055
00711B,2020-07-09,22.04,22.01,22.032,21.853
00712,2020-07-09,10.18,10.14,10.31,10.762
00713,2020-07-09,32.6,32.7,32.458,31.716500000000003
00714,2020-07-09,18.21,18.18,18.426000000000002,18.692
00715L,2020-07-09,5.68,5.56,5.792,6.066000000000001
00717,2020-07-09,16.34,16.35,16.36,16.477999999999998
00728,2020-07-09,21.88,21.94,21.436,20.445500000000003
00730,2020-07-09,17.79,17.95,17.744,17.325
00731,2020-07-09,47.4,47.36,47.146,46.162
00732,2020-07-09,37.95,37.95,37.71,37.672000000000004
00733,2020-07-09,24.9,24.4,24.4,22.752
00735,2020-07-09,22.66,22.58,22.322,21.3475
00736,2020-07-09,19.86,20.02,19.578,18.707500000000003
00737,2020-07-09,23.8,23.85,23.740000000000002,23.2525
00738U,2020-07-09,20.57,20.72,20.014000000000003,19.630000000000003
00739,2020-07-09,25.2,25.75,24.144,22.160500000000003
00742,2020-07-09,21.79,21.72,21.712,21.2255
00743,2020-07-09,25.26,25.89,24.322,22.058
00752,2020-07-09,28.0,28.12,26.619999999999997,25.180500000000002
00753L,2020-07-09,33.89,35.11,31.360000000000003,27.4215
00757,2020-07-09,33.45,33.65,32.12,30.427999999999997
00762,2020-07-09,29.67,29.65,29.088,28.329
00763U,2020-07-09,19.0,19.23,18.704,18.097
00770,2020-07-09,28.75,28.69,28.394,27.503000000000004
00771,2020-07-09,18.36,18.34,18.386,18.6065
00774B,2020-07-09,38.0,38.33,38.45,38.697
00775B,2020-07-09,46.5,46.5,46.14,45.708999999999996
00783,2020-07-09,21.5,22.26,20.285999999999998,19.229999999999997
008201,2020-07-09,118.0,117.15,111.99000000000001,103.1375
00830,2020-07-09,19.23,19.21,18.994,18.592000000000002
00850,2020-07-09,23.95,23.91,23.508000000000003,22.661
00851,2020-07-09,25.8,25.83,25.156,24.068
00852L,2020-07-09,12.4,12.36,12.378,12.379000000000001
00861,2020-07-09,22.32,22.34,22.118000000000002,21.5375
00865B,2020-07-09,38.88,38.9,38.92,39.08
00866,2020-07-09,19.1,19.17,19.131999999999998,19.0745
00875,2020-07-09,25.83,25.78,25.612000000000002,24.985
00876,2020-07-09,20.7,20.83,20.372,
01001T,2020-07-09,16.74,16.75,16.734,16.6685
01002T,2020-07-09,16.99,17.0,16.99,16.982999999999997
01003T,2020-07-09,19.01,19.02,19.026000000000003,19.032500000000002
01004T,2020-07-09,14.67,14.67,14.612,14.564999999999998
01007T,2020-07-09,17.79,17.8,17.774,17.7305
1101,2020-07-09,45.4,45.3,44.4,43.315000000000005
1102,2020-07-09,46.0,46.05,45.480000000000004,44.21
1103,2020-07-09,18.2,18.2,18.07,17.5375
