identifier,date_,open_,close_
00657K,2020-03-26,7.71,7.71
00660,2020-03-26,20.05,19.74
00661,2020-03-26,23.52,23.77
00662,2020-03-26,29.2,29.0
00663L,2020-03-26,30.21,30.27
00664R,2020-03-26,13.55,13.52
00665L,2020-03-26,19.25,19.87
00666R,2020-03-26,14.51,14.33
00668,2020-03-26,23.03,23.2
00668K,2020-03-26,7.58,7.58
00669R,2020-03-26,14.55,14.71
00670L,2020-03-26,29.69,29.41
00671R,2020-03-26,11.98,12.05
00673R,2020-03-26,26.55,27.03
00674R,2020-03-26,15.17,15.19
00675L,2020-03-26,13.23,13.28
00676R,2020-03-26,7.37,7.31
00677U,2020-03-26,9.16,9.43
00678,2020-03-26,20.1,20.0
00680L,2020-03-26,32.77,32.94
00681R,2020-03-26,12.83,12.75
00682U,2020-03-26,19.88,19.8
00683L,2020-03-26,20.6,20.52
00684R,2020-03-26,17.81,17.87
00685L,2020-03-26,11.63,11.78
00686R,2020-03-26,8.0,7.98
00688L,2020-03-26,33.21,33.61
00689R,2020-03-26,13.17,13.02
00690,2020-03-26,19.6,19.67
00692,2020-03-26,20.0,19.81
00693U,2020-03-26,14.24,14.21
00700,2020-03-26,17.85,18.0
00701,2020-03-26,18.86,18.3
00702,2020-03-26,14.29,14.56
00703,2020-03-26,18.76,18.97
00706L,2020-03-26,16.58,16.69
00707R,2020-03-26,19.85,19.91
00708L,2020-03-26,25.26,24.97
00709,2020-03-26,16.05,16.0
00710B,2020-03-26,16.3,16.25
00711B,2020-03-26,18.59,19.52
00712,2020-03-26,7.52,8.08
00713,2020-03-26,26.9,26.92
00714,2020-03-26,15.62,15.5
00715L,2020-03-26,4.22,3.92
00717,2020-03-26,14.72,14.78
00728,2020-03-26,16.43,16.5
00730,2020-03-26,14.75,14.8
00731,2020-03-26,39.72,40.0
00732,2020-03-26,38.3,38.3
00733,2020-03-26,16.15,16.36
00735,2020-03-26,17.68,17.7
00736,2020-03-26,15.36,15.76
00737,2020-03-26,17.54,17.32
00738U,2020-03-26,16.27,16.25
00739,2020-03-26,19.72,19.8
00743,2020-03-26,20.48,19.74
00752,2020-03-26,21.85,22.0
00753L,2020-03-26,20.57,20.6
00757,2020-03-26,21.6,21.47
00762,2020-03-26,21.29,21.02
00763U,2020-03-26,14.96,15.1
00770,2020-03-26,20.76,20.71
00771,2020-03-26,15.8,15.98
00774B,2020-03-26,40.29,40.29
00775B,2020-03-26,40.3,40.3
00783,2020-03-26,17.56,17.56
00830,2020-03-26,14.15,14.08
00850,2020-03-26,19.25,19.33
00851,2020-03-26,17.79,17.78
00852L,2020-03-26,8.56,8.52
00861,2020-03-26,17.2,17.2
00865B,2020-03-26,40.0,39.95
00866,2020-03-26,15.2,15.49
01001T,2020-03-26,16.03,16.08
01002T,2020-03-26,16.85,16.88
01003T,2020-03-26,19.27,19.27
01004T,2020-03-26,14.12,14.1
01007T,2020-03-26,16.8,16.89
1101,2020-03-26,39.5,38.6
1102,2020-03-26,39.5,38.8
1103,2020-03-26,15.25,15.0
1104,2020-03-26,15.25,15.2
1108,2020-03-26,6.11,6.18
1109,2020-03-26,15.15,15.15
1110,2020-03-26,14.85,15.4
1201,2020-03-26,18.2,17.95
1203,2020-03-26,26.2,26.5
1210,2020-03-26,35.3,34.9
1305,2020-03-26,14.1,13.55
1213,2020-03-26,5.4,5.7
1215,2020-03-26,55.0,55.2
1216,2020-03-26,66.3,65.8
1217,2020-03-26,6.87,6.94
1218,2020-03-26,19.65,20.75
1219,2020-03-26,17.7,17.8
1220,2020-03-26,9.62,9.7
1225,2020-03-26,30.2,30.4
1227,2020-03-26,57.9,57.1
1229,2020-03-26,33.25,33.3
1231,2020-03-26,37.3,37.25
1232,2020-03-26,106.0,105.0
1233,2020-03-26,35.2,34.9
1234,2020-03-26,29.4,29.4
1235,2020-03-26,23.8,23.05
1236,2020-03-26,10.4,10.35
1256,2020-03-26,177.0,176.5
1301,2020-03-26,76.0,74.1
1303,2020-03-26,56.8,55.6
1304,2020-03-26,9.7,9.55
1307,2020-03-26,17.35,17.05
1308,2020-03-26,14.49,14.28
1309,2020-03-26,7.71,7.82
1310,2020-03-26,13.75,13.3
1312,2020-03-26,12.55,12.1
1312A,2020-03-26,30.0,30.05
1313,2020-03-26,8.06,8.0
1314,2020-03-26,7.19,7.09
1315,2020-03-26,45.75,45.1
1316,2020-03-26,8.18,8.19
1319,2020-03-26,31.2,30.4
1321,2020-03-26,24.6,24.8
1323,2020-03-26,29.3,29.3
1324,2020-03-26,7.6,7.57
1325,2020-03-26,38.15,38.5
1326,2020-03-26,69.3,68.5
1337,2020-03-26,3.65,3.57
1338,2020-03-26,39.75,40.2
1339,2020-03-26,34.9,36.55
1449,2020-03-26,10.6,10.5
1340,2020-03-26,8.54,8.55
1402,2020-03-26,22.85,22.65
1409,2020-03-26,10.05,10.0
1410,2020-03-26,27.85,27.6
1413,2020-03-26,6.4,6.7
1414,2020-03-26,5.52,5.5
1416,2020-03-26,10.45,10.35
1417,2020-03-26,7.88,7.9
1418,2020-03-26,5.11,5.8
1423,2020-03-26,9.18,9.78
1432,2020-03-26,4.31,4.38
1434,2020-03-26,30.85,30.75
1435,2020-03-26,7.31,7.21
1436,2020-03-26,35.45,35.2
1437,2020-03-26,19.0,18.8
1438,2020-03-26,9.9,10.5
1439,2020-03-26,29.1,29.35
1440,2020-03-26,8.17,8.26
1441,2020-03-26,5.6,5.62
1442,2020-03-26,14.95,14.75
1443,2020-03-26,8.6,8.67
1444,2020-03-26,6.6,6.43
1445,2020-03-26,6.82,7.1
1446,2020-03-26,23.65,23.6
1447,2020-03-26,5.28,5.1
1451,2020-03-26,14.8,14.5
1452,2020-03-26,16.1,16.1
1453,2020-03-26,6.67,6.66
1454,2020-03-26,7.48,7.7
1455,2020-03-26,5.5,5.46
1456,2020-03-26,6.59,7.23
1457,2020-03-26,10.85,11.25
1459,2020-03-26,5.33,5.43
1460,2020-03-26,5.48,5.58
1463,2020-03-26,10.1,9.99
1464,2020-03-26,17.6,17.2
1465,2020-03-26,13.75,13.8
1466,2020-03-26,6.19,6.45
1467,2020-03-26,7.88,8.0
1468,2020-03-26,9.4,9.4
1470,2020-03-26,19.7,19.7
1471,2020-03-26,1.58,1.61
1472,2020-03-26,9.23,9.23
1473,2020-03-26,21.9,21.55
1474,2020-03-26,8.0,7.78
1476,2020-03-26,250.0,246.0
1477,2020-03-26,111.5,107.0
1503,2020-03-26,40.0,39.6
1504,2020-03-26,24.15,24.65
1506,2020-03-26,9.6,9.55
1507,2020-03-26,56.9,56.3
1512,2020-03-26,2.9,3.0
1513,2020-03-26,21.85,21.8
1514,2020-03-26,15.35,15.75
1515,2020-03-26,42.0,41.8
1516,2020-03-26,13.2,13.1
1517,2020-03-26,6.34,6.46
1519,2020-03-26,23.85,23.8
1521,2020-03-26,53.2,53.2
1522,2020-03-26,20.5,20.1
