identifier,date_,open_,close_
00657K,2020-02-04,9.54,9.54
00660,2020-02-04,26.07,26.06
00662,2020-02-04,32.91,35.51
00663L,2020-02-04,42.72,43.79
00664R,2020-02-04,11.47,11.81
00665L,2020-02-04,26.47,24.11
00666R,2020-02-04,12.8,13.4
00668,2020-02-04,31.1,31.14
00668K,2020-02-04,10.3,10.3
00669R,2020-02-04,11.55,11.42
00670L,2020-02-04,41.5,47.86
00671R,2020-02-04,11.16,10.41
00673R,2020-02-04,13.61,15.77
00674R,2020-02-04,15.96,15.99
00675L,2020-02-04,20.41,19.03
00676R,2020-02-04,6.22,6.38
00677U,2020-02-04,3.03,2.85
00678,2020-02-04,23.6,22.99
00680L,2020-02-04,24.28,26.31
00681R,2020-02-04,15.02,15.04
00682U,2020-02-04,19.29,19.38
00683L,2020-02-04,19.45,19.43
00684R,2020-02-04,18.41,18.38
00685L,2020-02-04,16.45,16.94
00686R,2020-02-04,6.78,6.96
00688L,2020-02-04,24.53,26.65
00689R,2020-02-04,15.31,15.34
00690,2020-02-04,23.03,23.4
00692,2020-02-04,23.92,23.26
00693U,2020-02-04,15.28,14.44
00700,2020-02-04,19.68,19.57
00701,2020-02-04,23.68,21.59
00702,2020-02-04,20.91,20.93
00703,2020-02-04,20.7,20.67
00706L,2020-02-04,17.35,17.28
00707R,2020-02-04,19.93,19.93
00708L,2020-02-04,21.27,23.99
00709,2020-02-04,21.02,21.07
00710B,2020-02-04,20.24,20.21
00711B,2020-02-04,22.86,22.83
00712,2020-02-04,18.9,18.92
00713,2020-02-04,31.25,31.42
00714,2020-02-04,22.56,22.59
00715L,2020-02-04,17.23,17.11
00717,2020-02-04,19.68,19.69
00728,2020-02-04,21.4,20.11
00730,2020-02-04,17.92,18.06
00731,2020-02-04,46.52,46.96
00732,2020-02-04,38.75,38.75
00733,2020-02-04,20.38,20.55
00735,2020-02-04,20.65,20.97
00736,2020-02-04,20.56,20.0
00737,2020-02-04,22.72,23.43
00738U,2020-02-04,19.04,19.83
00739,2020-02-04,19.67,20.05
00742,2020-02-04,20.2,20.2
00743,2020-02-04,20.95,20.08
00752,2020-02-04,23.6,23.93
00753L,2020-02-04,25.51,25.28
00757,2020-02-04,26.23,26.48
00762,2020-02-04,24.75,27.0
00763U,2020-02-04,17.77,17.77
00770,2020-02-04,25.79,25.92
00771,2020-02-04,20.87,20.88
00774B,2020-02-04,40.31,40.31
00775B,2020-02-04,46.98,46.98
00783,2020-02-04,17.6,17.15
008201,2020-02-04,95.55,97.35
00830,2020-02-04,17.47,17.47
00850,2020-02-04,22.3,22.61
00851,2020-02-04,22.3,22.35
00852L,2020-02-04,17.39,17.54
00861,2020-02-04,20.44,20.53
00865B,2020-02-04,39.58,39.61
00866,2020-02-04,20.49,20.52
01001T,2020-02-04,16.23,16.23
01002T,2020-02-04,17.7,17.68
01003T,2020-02-04,18.01,18.01
01004T,2020-02-04,13.88,13.89
01007T,2020-02-04,17.21,17.24
1101,2020-02-04,41.6,42.4
1102,2020-02-04,45.4,45.5
