identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-09-10,9.79,9.79,100.0,13.559999999999999,13.544999999999998
00660,2020-09-10,23.85,23.93,24000.0,23.664,23.7695
00661,2020-09-10,29.23,29.23,16000.0,28.851999999999997,29.095
00662,2020-09-10,43.21,43.12,635270.0,43.47,44.103500000000004
00663L,2020-09-10,57.15,57.2,67000.0,56.739999999999995,57.50999999999999
00664R,2020-09-10,9.53,9.52,14089000.0,9.574,9.5165
00665L,2020-09-10,20.91,20.85,288000.0,21.136000000000003,22.515
00666R,2020-09-10,13.16,13.2,85000.0,13.1,12.734
00668,2020-09-10,29.53,29.52,307000.0,29.651999999999997,30.025
00668K,2020-09-10,10.02,10.02,100.0,10.106,10.192
00669R,2020-09-10,10.39,10.36,3839000.0,10.344,10.3325
00670L,2020-09-10,65.35,65.85,1941160.0,66.24000000000001,69.08250000000001
00671R,2020-09-10,7.47,7.48,13805000.0,7.442,7.3694999999999995
00673R,2020-09-10,32.42,32.31,356000.0,31.79,29.741999999999997
00674R,2020-09-10,12.55,12.55,83000.0,12.642,12.5735
00675L,2020-09-10,24.64,24.7,762000.0,24.446,24.823500000000003
00676R,2020-09-10,5.17,5.17,7070000.0,5.186,5.157
00677U,2020-09-10,5.05,5.05,138447001.0,5.394,4.951
00678,2020-09-10,24.54,24.4,458000.0,24.497999999999998,25.277
00680L,2020-09-10,31.38,31.44,65000.0,31.534,31.658500000000004
00681R,2020-09-10,12.54,12.54,8000.0,12.528,12.532
00682U,2020-09-10,18.64,18.59,30000.0,18.588,18.583
00683L,2020-09-10,17.83,17.69,238000.0,17.735999999999997,17.6595
00684R,2020-09-10,18.76,18.82,2000.0,18.89,18.906
00685L,2020-09-10,21.89,21.96,14000.0,21.716,22.0215
00686R,2020-09-10,5.64,5.63,162000.0,5.68,5.6395
00688L,2020-09-10,31.9,31.9,100000.0,31.951999999999998,32.113
00689R,2020-09-10,12.89,12.85,110000.0,12.856,12.864500000000001
00690,2020-09-10,25.13,25.18,201040.0,25.107999999999997,25.466
00692,2020-09-10,26.34,26.39,1402416.0,26.212,26.503500000000003
00693U,2020-09-10,15.33,15.3,5608060.0,15.312000000000001,14.7
00700,2020-09-10,18.43,18.35,112000.0,18.455999999999996,19.086999999999996
00701,2020-09-10,20.95,20.97,647446.0,20.936,21.1515
00702,2020-09-10,16.31,16.39,15000.0,16.492,16.564
00703,2020-09-10,23.86,23.56,62000.0,24.082,24.087
00706L,2020-09-10,17.53,17.53,13000.0,17.536,17.5815
00707R,2020-09-10,19.25,19.25,0.0,19.246000000000002,19.241
00708L,2020-09-10,33.15,33.26,5041000.0,32.798,33.309000000000005
00709,2020-09-10,19.91,19.95,114441.0,19.798,19.985
00710B,2020-09-10,19.12,19.13,772050.0,19.134,19.0915
00711B,2020-09-10,22.68,22.68,1892000.0,22.772,22.9065
00712,2020-09-10,11.28,11.3,2778999.0,11.208,11.2635
00713,2020-09-10,33.5,33.5,60895.0,33.366,33.273
00714,2020-09-10,18.71,18.73,15000.0,18.782,18.803
00715L,2020-09-10,3.69,3.66,27892000.0,3.8440000000000003,4.2455
00717,2020-09-10,16.89,16.84,554758.0,16.898,16.95
00728,2020-09-10,21.73,21.73,218000.0,21.862000000000002,22.174500000000002
00730,2020-09-10,17.44,17.4,404192.0,17.452,17.669500000000003
00731,2020-09-10,47.14,47.1,1016000.0,47.016000000000005,47.506
