identifier,date_,open_,close_,MA_5,MA_20
6117,2020-10-12,17.25,18.55,17.5,17.655
6120,2020-10-12,11.3,11.15,11.209999999999999,11.557500000000001
6128,2020-10-12,26.5,26.9,26.57,26.8425
6133,2020-10-12,8.07,7.98,8.008,8.062000000000001
6136,2020-10-12,17.4,17.3,17.4,17.4275
6139,2020-10-12,26.9,26.4,26.630000000000003,27.5325
6141,2020-10-12,25.45,25.25,24.950000000000003,25.407500000000002
6142,2020-10-12,8.17,8.18,8.158000000000001,8.248000000000001
6152,2020-10-12,8.75,9.0,8.712,8.975
6153,2020-10-12,27.8,27.4,27.48,27.9625
6155,2020-10-12,20.75,20.3,20.71,21.2125
6164,2020-10-12,7.46,7.34,7.359999999999999,7.087999999999999
6165,2020-10-12,83.5,82.9,78.04,68.32000000000001
6166,2020-10-12,66.0,63.6,65.74000000000001,67.10499999999999
6168,2020-10-12,14.7,14.4,14.64,14.959999999999999
6172,2020-10-12,26.95,26.75,26.410000000000004,25.815000000000005
6176,2020-10-12,109.0,109.0,108.9,109.45
6177,2020-10-12,29.2,29.0499,28.98,29.394995
6183,2020-10-12,47.7,47.4,47.14,47.614999999999995
6184,2020-10-12,40.8,40.8,40.720000000000006,40.575
6189,2020-10-12,34.5,34.4,33.92,33.602500000000006
6191,2020-10-12,21.65,21.25,21.020000000000003,20.6525
6192,2020-10-12,65.4,65.8,64.78,64.465
6196,2020-10-12,114.0,110.5,107.7,104.6
6197,2020-10-12,34.45,34.2,33.970000000000006,33.8525
6201,2020-10-12,34.65,34.6,34.339999999999996,34.2875
6202,2020-10-12,67.6,66.6,65.64000000000001,65.26
6205,2020-10-12,33.05,32.55,33.41,32.995
6206,2020-10-12,61.1,60.9,61.17999999999999,62.260000000000005
6209,2020-10-12,35.6,34.4,34.64,35.302499999999995
6213,2020-10-12,124.0,122.5,125.2,127.675
6214,2020-10-12,82.3,81.8,82.28,83.10999999999999
6215,2020-10-12,15.25,15.7,15.539999999999997,16.1225
6216,2020-10-12,25.6,25.35,25.5,25.547500000000003
6224,2020-10-12,83.3,88.0,82.32,79.1
6225,2020-10-12,4.05,3.91,4.146,4.5755
6226,2020-10-12,7.7,7.58,7.728,7.9799999999999995
6230,2020-10-12,260.5,260.0,259.4,259.375
6235,2020-10-12,16.25,16.2,15.980000000000004,16.127499999999998
6239,2020-10-12,87.9,89.0,87.03999999999999,87.67999999999999
6243,2020-10-12,12.25,11.7,12.27,12.575
6251,2020-10-12,17.8,17.3,17.759999999999998,18.15
6257,2020-10-12,39.45,38.85,38.82,38.9125
6269,2020-10-12,125.5,122.0,123.6,124.025
6271,2020-10-12,140.0,136.5,136.1,132.425
6277,2020-10-12,83.3,82.0,83.02,83.8
6278,2020-10-12,104.0,102.5,104.5,112.45
6281,2020-10-12,69.0,68.7,69.22,69.475
6282,2020-10-12,25.3,25.4,24.759999999999998,24.825
6283,2020-10-12,39.5,38.25,37.47,30.21
6285,2020-10-12,76.8,76.3,77.17999999999999,79.03
6288,2020-10-12,35.7,34.6,35.010000000000005,34.1425
6289,2020-10-12,4.43,4.16,4.426,5.101
6405,2020-10-12,18.5,18.7,18.98,19.3175
6409,2020-10-12,1000.0,989.0,995.6,942.73431
6412,2020-10-12,67.4,66.3,67.28,67.27
6414,2020-10-12,235.0,239.0,234.2,237.925
6415,2020-10-12,2040.0,1990.0,1974.0,1797.25
6416,2020-10-12,134.5,129.0,134.2,139.2
6431,2020-10-12,29.1999,29.1,29.539979999999996,30.324965
6442,2020-10-12,29.65,29.2,29.74,30.764999999999997
6443,2020-10-12,33.9,36.6,30.47,27.909990000000004
6449,2020-10-12,49.8,48.45,50.230000000000004,50.545
6451,2020-10-12,102.0,100.5,99.74,100.37
6452,2020-10-12,56.6,56.6,56.6,56.6
6456,2020-10-12,126.0,122.5,126.6,129.225
6464,2020-10-12,135.5,133.0,136.3,128.0
6477,2020-10-12,49.1,49.1,40.94,38.475
6491,2020-10-12,211.5,206.5,208.3,206.3
6504,2020-10-12,250.0,241.5,251.9,248.075
6505,2020-10-12,81.7,81.9,81.22,81.80499999999999
6525,2020-10-12,58.4,57.8,57.260000000000005,56.96
6531,2020-10-12,339.5,331.0,336.2,344.25
6533,2020-10-12,165.5,163.0,159.7,149.2
6541,2020-10-12,40.7999,39.15,40.40996,40.94746
6552,2020-10-12,47.7,46.15,48.260000000000005,47.3275
6558,2020-10-12,37.4,36.9,36.45,37.135000000000005
6573,2020-10-12,15.85,15.75,15.63,15.639999999999997
6579,2020-10-12,70.9,69.8,70.2,69.94000000000001
6581,2020-10-12,68.6,68.4,67.47999999999999,67.755
6582,2020-10-12,184.0,177.0,179.3,171.475
